,company,company_address,employment_type,job_category,job_description,job_requirements,job_title,salary_range,salary_type,seniority,url
0,PEOPLE PROFILERS PTE. LTD.,"SHAW TOWERS, 100 BEACH ROAD 189702",Permanent,Information Technology,Roles & Responsibilities Fast expanding company  Work with cutting edge technologies Central location Competitive salary based on experience  Role:  Developing scalable processes for large-scale data analysis and model development Apply machine learning to model complex business trends Project management Guide junior members Keep up to date with new technologies ,"RequirementsRequirements:  Master’s degree in Computer Science, Data Analytics or similar At least 3 years related work experience Previous experience in deep learning/machine learning/AI Very familiar with Python & Java, & Linux architecture  Interested applicants may wish to email your resume in a detailed Word format to ruth.gan@peopleprofilers.com. Please include last drawn and expected salaries and notice period. We regret that only shortlisted candidates will be notified.   Gan Huiru  Recruitment Consultant  Tel: +65 6594 9897 Fax +65 6835 7890  Address: 100 Beach Road #33-06 Shaw Tower Singapore 189702 Email: ruth.gan@peopleprofilers.com EA License Number: 02C4944 Registration Number: R1768917","Machine Learning Engineer (AI / Python, Java)","$5,000to$9,000",Monthly,Senior Executive,https://www.mycareersfuture.sg/job/machine-learning-engineer-people-profilers-86ca09b7c18737a29fe5afad398348ca
1,Company Undisclosed,Unknown,"Permanent, Contract, Full Time",Information Technology,Roles & Responsibilities- Prepare product business case - Work closely with sales and product engineering to define and manage the product roadmap - Work closely with product marketing on product GTM activities - Work closely with product engineering on product implementation and support - Manage product P&L,"Requirements- BSc/BA in Computer Science, Engineering or related field - Proven experience as a Product Manager or similar role - Experience in product lifecycle management - Background in software or applications - Familiarity with Agile framework - Organizational and leadership abilities - Excellent communication skills - Problem-solving aptitude - Knowledge around Analytics/AI is required   License Number: 12C6060","Senior Product Manager (Analytics, AI Products)(Ref 22685)","$5,000to$10,000",Monthly,"Middle Management, Manager, Professional",https://www.mycareersfuture.sg/job/senior-product-manager-8c0b76d9f59f0a67eea9caf4a75030ac
2,SCHELLDEN GLOBAL PTE. LTD.,"INTERNATIONAL PLAZA, 10 ANSON ROAD 079903",Full Time,Information Technology,"Roles & Responsibilities Use machine learning and analytical techniques to build prediction models for different use cases.  Design, develop and test advanced models for predictive behavior.  Co-operate with software engineering teams to drive real-time model implementations and new feature creations.  Design efficient, scalable, automated processes for large scale data analyses, model development, model validation and model implementation  Research and evaluate pioneering machine learning and statistical model Requirement","Requirements Good understanding about supervised and unsupervised learning algorithms.  Generate and test working Hypothesis.  Mandatory coding experience in Python  Experience working with modern Deep Learning techniques, framework and applications.  Experience in DL framework (e.g Caffe, Tourch, Tensorflow).  Exposure to GPU technology and CUDA programming  2+ year experience in Algorithms, statistical analysis, computational NLP and/or machine learning.  Strong teamwork and interpersonal skills.  Action oriented with strong analytical and problem solving skill.",ML-AI Engineer,"$4,000to$8,000",Monthly,Middle Management,https://www.mycareersfuture.sg/job/ml-ai-engineer-schellden-global-9b6b43f90a5cc023a39fe57bbc0a624e
3,A*STAR RESEARCH ENTITIES,"UOB PLAZA, 80 RAFFLES PLACE 048624","Contract, Full Time",Sciences / Laboratory / R&D,"Roles & ResponsibilitiesThe Agency for Science, Technology and Research (A*STAR) is Singapore's lead public sector agency that fosters world-class scientific research and talent to drive economic growth and transform Singapore into a vibrant knowledge-based and innovation driven economy.  For more information about A*STAR, please visit: www.a-star.edu.sg The A*STAR Artificial Intelligence (AI) Programme is seeking exceptional engineers to expand our dynamic and multi-disciplinary AI team . Our current team members have degrees in computer science, information systems, psychology, cognitive science and neuroscience from Berkeley, CMU, NTU, NUS, MIT, Princeton, Stanford, UCSD, UIUC, etc. We work on some of the most crucial, incredibly hard, and future-oriented problems in AI.                                      The goal of our programme is to develop next-generation AI technologies that will enable machines to :   1) Learn like humans (as would a child from instruction, demonstration, or experience with a small number of examples); 2)  Reason for humans (by being able to explain their reasoning, and to personalise recommendations based on their understanding of individual users); and 3)   Deeply  understand  humans  (using  knowledge  of  human  needs/motivations,   social/cultural   norms,  and commonsense) .   Our overarching technical approach is to combine various state-of-the art techniques with top-down knowledge. Briefly, our current research topics include :   ·         Personalised  explainable  AI :   AI that  is able to  provide  personalised  explanations  of the  reasoning underlying .its recommendations and decisions ·         Socio-cultural  visual  intelligence :   AI that  can  provide  coherent  descriptions  of visual  scenes  taking context and social-cultural knowledge into account ·         Socio-cultural understanding  of speech and text:   AI that can recognise figurative  language, infer their social-cultural significance , and ultimately, understand meaning in speech and texts ·         Human-like  learning  and  lnstructable  AI :    AI  that  can  learn  from  real-world  experience ,  and  be programmed by non-experts, through verbal/text  instruction and visual demonstrations ·         Cognitive  architectures :    Cognitive  architectures  have  the  goal  of  bringing  together  the  necessary cognitive machinery necessary for general artificial intelligence for autonomous behaviour .  ","Requirements Ph.D. in any Al-related field (e.g. cognitive science , computer vision, deep learning, information retrieval, knowledge representation , linguistics , machine learning, natural language processing, psychology , reasoning, robotics , etc.) Entry level candidates with a track record of the above mentioned are encouraged to apply Publications in good conferences/journals.  Strong programming skills or other quantitative skills (e.g. statistical analysis).    The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.","Scientist (Cognitive, Human-Like, Empathetic & Explainable Machine-Learning)","$4,500to$9,000",Monthly,Executive,https://www.mycareersfuture.sg/job/scientist-astar-research-entities-e60a59683c91cd8d8e20dbd02473de95
4,DBS BANK LTD.,Unknown,"Permanent, Full Time",Banking and Finance,"Roles & Responsibilities Drive enterprise strategy on testing and production deployment of machine learning and AI products  Drive the discussion between data science and IT on the architecture and solution design to ensure production and deployment is fully considered Drive the testing and deployment of the machine learning products into production Lead the requirement gathering and release road map for analytic platform features Develop enterprise standards and practice on testing and production deployment of machine learning and AI products Drive the adoption of software development practice in data science teams, such as agile development, software development life cycle (SDLC), continues improvement and continues deployment (CI/CD) and testing strategy. ","Requirements Solid track record of deploying machine learning solution into production environment and integrate into operation  Expert in identifying and solving issues when putting model into production – load balancing, distribution, through-put, latency, availability, stability, refactoring, repackaging, versioning, scoring, real time / online scoring, performance monitoring and management,   Expert on the open source stack of bid data and machine learning solutions such as Hadoop, Spark, YARN, Mesos, Hive, Impala, Spark Streaming, Kafka, API, Anaconda / R studio server, Kubernetes,  Familiar with development, deployment, production and operation life cycle of the machine learning product and software best practices such as SDLC, CICD, Test-Driven Development (TDD) Excellent problem-solving skills and strategic thinker Proficiency in Python, R, Spark, Java and Scala Good interpersonal skill and able to influence the decision making of data science and IT team Solid written and communication skills ","SVP / VP, Senior Data Scientist, Data & Transformation, Technology and Operations (1800039X)","$9,500to$19,000",Monthly,"Senior Management, Middle Management",https://www.mycareersfuture.sg/job/svp-vp-senior-data-scientist-data-transformation-technology-operations-dbs-bank-af5fcadc3df9dce77d6b77d10a7c84c8
5,INTEL MOBILE COMMUNICATIONS SOUTH EAST ASIA PTE. LTD.,Unknown,Internship,Information Technology,"Roles & ResponsibilitiesResponsible for path finding and proof of concept for software projects related to internet of things (IoT) and cloud AI analytic for state-of-the-art embedded communication system  What you will learn: - Opportunities to participate in a full software development life cycle, from path finding, prototyping, planning, to executing and testing. - Apply state-of-the-art deep learning technology to implement AI analytics for automatic bug classification and anomaly detection - Participate in end-to-end IOT development, including firmware, backend (NodeJS) and frontend (ReactJS) for advanced device management and automation. - Gain C/C++ advance programming experience from industry professionals. - Experience working in a multinational environment across different geographies. - Gain insights into software and platform development processes.","Requirements- Computer Engineering, Electronic/Electrical Engineering or Computer Science. - Applicants should have excellent analytical and computing skills. - C/C++/Assembly programming skills in either Windows or Linux development environment. - Strong in scripting languages, JS, Python, Perl. - Passionate and motivated to learn about Mobile/IoT embedded system development.",JR0084915 Software Development Intern,"$1,600to$3,000",Monthly,Non-executive,https://www.mycareersfuture.sg/job/jr0084915-software-development-intern-intel-mobile-communications-south-east-asia-014faa7c08ae38bde156e3590198236b
6,NANYANG TECHNOLOGICAL UNIVERSITY,"NANYANG TECHNOLOGICAL UNIVERSITY, 50 NANYANG AVENUE 639798","Contract, Full Time","Engineering, Sciences / Laboratory / R&D",Roles & ResponsibilitiesThe research fellow is expected to work in the exciting areas of AI in digital manufacturing including but not limited to the following:  Machine learning/knowledge discovery Applications of AI techniques to digital manufacturing/additive manufacturing Algorithm design and optimization for digital manufacturing/additive manufacturing  He/she is expected to work closely with his/her co-workers.,"Requirements A PhD degree in engineering or computer science from a top-tier university. Experience and publications in any of these areas: Artificial intelligence, machine learning and digital manufacturing Self-motivated with good communication and team-working skills. Good spoken and written English. Fresh PhD graduates are welcome to apply.  Experienced applicants are preferred.     We regret that only shortlisted candidates will be notified.   ",Research Fellow,"$4,500to$6,500",Monthly,"Professional, Executive",https://www.mycareersfuture.sg/job/research-fellow-nanyang-technological-university-31d1f217862d1c23a2347d41fcfcb0a8
7,NANYANG TECHNOLOGICAL UNIVERSITY,"NANYANG TECHNOLOGICAL UNIVERSITY, 50 NANYANG AVENUE 639798","Contract, Full Time","Engineering, Sciences / Laboratory / R&D","Roles & ResponsibilitiesThe research associates is expected to work in the exciting areas of AI in digital manufacturing including but not limited to the following:  Machine learning/knowledge discovery, applications of AI techniques to additive manufacturing  Sensors and signal processing for digital manufacturing    They are expected to work closely with a research fellow.","Requirements At least a Master’s degree in computer science, computer engineering, electronic engineering or mechanical engineering from a top-tier university. Experience in any of these areas: artificial intelligence, machine learning, sensors and signal processing, additive manufacturing, digital manufacturing.   Self-motivated with good communication and team-working skills. Good spoken and written English. Fresh graduates are welcome to apply.  Experienced applicants are preferred.     We regret that only shortlisted candidates will be notified.",Research Associate,"$3,200to$4,400",Monthly,"Professional, Executive",https://www.mycareersfuture.sg/job/research-associate-nanyang-technological-university-9389e4053f5cb92885640d9a778b2083
8,A*STAR RESEARCH ENTITIES,"UOB PLAZA, 80 RAFFLES PLACE 048624","Contract, Full Time",Sciences / Laboratory / R&D,"Roles & ResponsibilitiesA Bioinformatician research fellow (postdoctoral) position is available in Dr Jinmiao Chen’s Single-Cell Computational Immunology (SCCI) lab. The position will perform single-cell RNA-seq data analysis and derive knowledge from the data by applying state-of-the-art tools or developing novel computational methods. The analytical scope may include data pre-processing, quality control to remove low quality cells, normalization/batch effect correction, dimensionality reduction, clustering analysis, automatic cell type identification, cell lineage and pseuedotime inference, cell-to-cell interactions, integration of heterogeneous datasets and data types, building human single-cell atlas, and etc. The work will involve a wide range of exciting and cutting-edge research projects including human cancer immunology (ex Leukemia, Gasstric Cancer, Lung Cancer, etc), infectious diseases (ex TB, Dengue, HIV, HBV, etc), autoimmune diseases (ex SLE, psoriasis, atopic dermatitis, etc), and fundamental research to understand immune system (ex. heterogeneity, origins and functions of dendritic cells, macrophages, T cells, B cells and etc). Where existing computational methods are not adequate to handle the data, the candidate will have the opportunity to develop novel methods under the Principal Investigator’s supervision and with help from other lab members. The lab is currently focusing on developing Single-Cell Big Data & Artificial Intelligence framework and several AI analytical tools under development are to be released in near future. The candidate will have the opportunity to work in a collaborative environment, interact with excellent scientists from multiple disciplines, and grow rapidly in both biological and computational knowledge and skills. The position will have the opportunity to publish first-authored and co-authored papers in high-impact journals and international conferences, as well as patent publication and potential commercialization of the tools to be developed. In addition, the candidate will have the opportunity to work with MNC pharmaceutical companies via industrial collaborations.  Single-cell analysis of crosstalk between tumor, immune cells and pathogens in gastric cancer Mapping hematopoietic lineages of healthy and high-risk acute myeloid leukemia patients with FLT3-ITD mutations using single-cell omics Develop computational methods for analysing single-cell data Collaborate with other labs and provide data analysis on various projects ","Requirements PhD in any of computational biology, bioinformatics, biostatistics, computer science/engineering, mathematics or related fields Programming skills using any of R/python/perl/shell script/C++/Matlab/Java or similar Experience in analysis of NGS, or single-cell RNA-seq data (preferred) Machine learning and AI background (optional) Data management, database design and implementation (optional) Self-motivated with internal drive Able to work under supervision and autonomously/independently Good team player, with good interpersonal skills ","Research Fellow (Bioinformatics, SCCI Lab, SIgN  /  A*STAR","$4,500to$9,000",Monthly,Fresh/entry level,https://www.mycareersfuture.sg/job/research-fellow-bioinformatics-scci-lab-sign-astar-astar-research-entities-10db1df4dc570a54309e32a3649f08c4
9,Institute of Technical Education,2 ANG MO KIO DRIVE 567720,Contract,"Education and Training, Public / Civil Service","Roles & ResponsibilitiesResponsibilities As a Lecturer, your contributions go beyond teaching and facilitating learning. You play a critical role in recognising and nurturing the many talents of your students. In addition, you will carry out industry or consultancy projects to help you remain relevant in your profession and industry changes, as well as maintain strong linkages with partners in the industry and schools. You will also have the opportunity to be attached to industry on a regular basis to update your skills and knowledge. Those with good and relevant experience can look forward to Senior Lecturer or equivalent positions, with career development opportunities.Requirements  College Central  You should be trained in Information Technology, Computer Science or Software Engineering, with at least 3 years of relevant work experience in Web/Mobile applications development, Content Management System or IT related field. You should be competent with Adobe CC applications and have good programming skills in iOS programming (SWIFT), C#, PHP, HTML5, CSS, JavaScript, Python. Candidates with experience and/or IT certifications in areas of Data Analytics, Internet of Things (IoT), or Artificial Intelligence (AI) and Machine Learning (ML) will have an advantage College East You should be trained in Information Technology, Computer Science, Data Science and/or Analytics, with at least 3 years of relevant work experience to be able to develop students' skills in implementing IoT/software applications, including data analytics solutions. You should possess relevant experience in one or more of the following areas: - development of IoT applications - data analytics technologies and Big Data - proficiency in programming languages such as Python, R or similar (familiarity with Python-based libraries such as scikit-learn, numpy/scipy and pandas is preferred) - programming web and mobile applications would be advantageous ",Unknown,Lecturer - IT Applications Development,"$3,000to$6,000",Monthly,Executive,https://www.mycareersfuture.sg/job/lecturer-applications-development-institute-technical-education-b94141d17ac8e368f676354f9cbe7d01
