,company,company_address,employment_type,job_category,job_description,job_requirements,job_title,salary_range,salary_type,seniority,url
0,ARCSTONE PTE. LTD.,"ALEXANDRA 38, 38 ALEXANDRA TERRACE 119932",Full Time,"Consulting , Engineering, Information Technology, Manufacturing","Roles & ResponsibilitiesWhy Arcstone? Arcstone is a fast-growing startup whose mission is to accelerate the digitization of the global supply chain, starting by bringing the manufacturing industry into Industry 4.0 and beyond. Our vision is to enable a world where products are made sustainably faster, better and cheaper with our software as the backbone to make this happen. Imagine scanning a product in a store and being able to trace the entire history of how it was made. What materials were used? Where did they come from? How much electricity and water did it consume? How did it impact the world? With this information at our fingertips, there will no longer be any excuse for irresponsibly made products that are bad for the earth. Consumers will be empowered to bring about the change they want to see in the world and secure a better future for generations to come. With your help, we can make this a reality.   How will we achieve this? Arcstone is at the forefront of helping manufacturers gain better visibility and optimization of their production processes through digitization. Our flagship product, a cutting-edge manufacturing execution system (MES), enables manufacturers to respond faster and better to customer needs. By helping our clients reach their maximum potential through our software solutions, we are simultaneously building the critical foundation for the data-driven manufacturing ecosystem that will make our vision a reality.   Where are we now? Arcstone has worked with numerous companies globally, from large MNCs to small MNEs and successfully transformed their production operations into the new age of digitalization. In addition, Arcstone has partnered the globally recognized Top 3 consulting firms, leading systems integrators, and industrial hardware and automation companies to continue to expand our presence and reach. Arcstone has recently completed a new round of venture capital funding with existing and new investors who believe in our vision, including Wavemaker Partners, Enterprise Singapore, 500 Startups, Global Brain, and Aletra Capital Partners. We are accelerating towards the next phase of our mission and are looking for talented individuals to join our dynamic, collaborative and passionate team.   What will be your role? In order to provide the best possible solutions to our clients, Arcstone requires exceptional talent ever ready to assume key roles in meeting our client’s varied manufacturing needs. We are looking for talented problems solvers that can not only bring creative and practical solutions, but also ones that are always passionate to learn on the job. As a Software Developer, you will be working with a talented team in creating customized software solutions for our clients. You will be directly responsible for the development of new modules and features directly related to the manufacturing shop floor and any of the necessary functions as required by existing, new or internally designed features and modules. You will also be client facing to perform fact finding and interviews to ensure that Arcstone is always developing on the cutting edge of features to be used across different manufacturing facilities regardless of the industry. In addition to new client work, you will also be involved in the research and development of the company as we are currently in the process of developing ground-breaking work on the utilization of machine learning and artificial intelligence for the manufacturing industry.   What will be your area of focus?  Devise and develop software solutions to solve present and potential manufacturing problems utilizing the some of the world’s most advanced IoT sensors and tools Liaise with our engineers to iterate constantly and maximize value for the customer, always. Work with a global team to solve some of world’s most complex manufacturing problems and to coordinate, develop and integrate solutions that have a direct impact on the manufacturing floor Research and propose the right technologies and architecture for new projects Perform work requests for software changes and enhancements Relentlessly and swiftly execute on deliverables with precision and good judgment 	  ","RequirementsWhat are the requirements of the job?  BA/BS from a globally recognized university. We are looking for folks who have succeeded academically and professionally at the highest levels. 2 – 5 years of software development experience, ideally in enterprise software companies Strong professional experience in WPF and VB.NET/C# Deep understanding of OOP, SOLID principles and Design Patterns Experience working in ASP.NET MVC, WCF, and SQL Server Experience working with Entity Framework Knowledge of DevExpress is a plus Comfort with ambiguity, uncertainty, and a dynamic business landscape; flexible with no 9 to 5 mentality Self-motivated and driven to excel and deliver, able to handle stress with a positive attitude    The Right Fit:  We at Arcstone are extremely passionate about the product, the service we provide for our customers, and the transformation we are making in the manufacturing industry. We are looking for people who can bring that same level of passion and zeal for our mission. Our core belief is to hire the right person for the company, and that means looking for someone with truly amazing potential and can grow along with the rest of the company. Do carefully consider the requirements before submitting your application. We look forward to hearing from you!",Software Developer - VB.NET,Salary undisclosed,Unknown,"Professional, Executive, Junior Executive, Senior Executive",https://www.mycareersfuture.sg/job/software-developer-vbnet-arcstone-4719e6fe7de55ba13db9c54f90e61d85
1,A*STAR RESEARCH ENTITIES,"UOB PLAZA, 80 RAFFLES PLACE 048624","Contract, Full Time",Sciences / Laboratory / R&D,"Roles & ResponsibilitiesThe Agency for Science, Technology and Research (A*STAR) is Singapore's lead public sector agency that fosters world-class scientific research and talent to drive economic growth and transform Singapore into a vibrant knowledge-based and innovation driven economy.  For more information about A*STAR, please visit: www.a-star.edu.sg The A*STAR Artificial Intelligence (AI) Programme is seeking exceptional engineers to expand our dynamic and multi-disciplinary AI team . Our current team members have degrees in computer science, information systems, psychology, cognitive science and neuroscience from Berkeley, CMU, NTU, NUS, MIT, Princeton, Stanford, UCSD, UIUC, etc. We work on some of the most crucial, incredibly hard, and future-oriented problems in AI.                                      The goal of our programme is to develop next-generation AI technologies that will enable machines to :   1) Learn like humans (as would a child from instruction, demonstration, or experience with a small number of examples); 2)  Reason for humans (by being able to explain their reasoning, and to personalise recommendations based on their understanding of individual users); and 3)   Deeply  understand  humans  (using  knowledge  of  human  needs/motivations,   social/cultural   norms,  and commonsense) .   Our overarching technical approach is to combine various state-of-the art techniques with top-down knowledge. Briefly, our current research topics include :   ·         Personalised  explainable  AI :   AI that  is able to  provide  personalised  explanations  of the  reasoning underlying .its recommendations and decisions ·         Socio-cultural  visual  intelligence :   AI that  can  provide  coherent  descriptions  of visual  scenes  taking context and social-cultural knowledge into account ·         Socio-cultural understanding  of speech and text:   AI that can recognise figurative  language, infer their social-cultural significance , and ultimately, understand meaning in speech and texts ·         Human-like  learning  and  lnstructable  AI :    AI  that  can  learn  from  real-world  experience ,  and  be programmed by non-experts, through verbal/text  instruction and visual demonstrations ·         Cognitive  architectures :    Cognitive  architectures  have  the  goal  of  bringing  together  the  necessary cognitive machinery necessary for general artificial intelligence for autonomous behaviour .  ","Requirements Ph.D. in any Al-related field (e.g. cognitive science , computer vision, deep learning, information retrieval, knowledge representation , linguistics , machine learning, natural language processing, psychology , reasoning, robotics , etc.) Entry level candidates with a track record of the above mentioned are encouraged to apply Publications in good conferences/journals.  Strong programming skills or other quantitative skills (e.g. statistical analysis).    The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.","Scientist (Cognitive, Human-Like, Empathetic & Explainable Machine-Learning)","$4,500to$9,000",Monthly,Executive,https://www.mycareersfuture.sg/job/scientist-astar-research-entities-e60a59683c91cd8d8e20dbd02473de95
2,A*STAR RESEARCH ENTITIES,"UOB PLAZA, 80 RAFFLES PLACE 048624","Contract, Full Time",Sciences / Laboratory / R&D,"Roles & ResponsibilitiesA Bioinformatician research fellow (postdoctoral) position is available in Dr Jinmiao Chen’s Single-Cell Computational Immunology (SCCI) lab. The position will perform single-cell RNA-seq data analysis and derive knowledge from the data by applying state-of-the-art tools or developing novel computational methods. The analytical scope may include data pre-processing, quality control to remove low quality cells, normalization/batch effect correction, dimensionality reduction, clustering analysis, automatic cell type identification, cell lineage and pseuedotime inference, cell-to-cell interactions, integration of heterogeneous datasets and data types, building human single-cell atlas, and etc. The work will involve a wide range of exciting and cutting-edge research projects including human cancer immunology (ex Leukemia, Gasstric Cancer, Lung Cancer, etc), infectious diseases (ex TB, Dengue, HIV, HBV, etc), autoimmune diseases (ex SLE, psoriasis, atopic dermatitis, etc), and fundamental research to understand immune system (ex. heterogeneity, origins and functions of dendritic cells, macrophages, T cells, B cells and etc). Where existing computational methods are not adequate to handle the data, the candidate will have the opportunity to develop novel methods under the Principal Investigator’s supervision and with help from other lab members. The lab is currently focusing on developing Single-Cell Big Data & Artificial Intelligence framework and several AI analytical tools under development are to be released in near future. The candidate will have the opportunity to work in a collaborative environment, interact with excellent scientists from multiple disciplines, and grow rapidly in both biological and computational knowledge and skills. The position will have the opportunity to publish first-authored and co-authored papers in high-impact journals and international conferences, as well as patent publication and potential commercialization of the tools to be developed. In addition, the candidate will have the opportunity to work with MNC pharmaceutical companies via industrial collaborations.  Single-cell analysis of crosstalk between tumor, immune cells and pathogens in gastric cancer Mapping hematopoietic lineages of healthy and high-risk acute myeloid leukemia patients with FLT3-ITD mutations using single-cell omics Develop computational methods for analysing single-cell data Collaborate with other labs and provide data analysis on various projects ","Requirements PhD in any of computational biology, bioinformatics, biostatistics, computer science/engineering, mathematics or related fields Programming skills using any of R/python/perl/shell script/C++/Matlab/Java or similar Experience in analysis of NGS, or single-cell RNA-seq data (preferred) Machine learning and AI background (optional) Data management, database design and implementation (optional) Self-motivated with internal drive Able to work under supervision and autonomously/independently Good team player, with good interpersonal skills ","Research Fellow (Bioinformatics, SCCI Lab, SIgN  /  A*STAR","$4,500to$9,000",Monthly,Fresh/entry level,https://www.mycareersfuture.sg/job/research-fellow-bioinformatics-scci-lab-sign-astar-astar-research-entities-10db1df4dc570a54309e32a3649f08c4
3,Institute of Technical Education,2 ANG MO KIO DRIVE 567720,Contract,"Education and Training, Public / Civil Service","Roles & ResponsibilitiesResponsibilities As a Lecturer, your contributions go beyond teaching and facilitating learning. You play a critical role in recognising and nurturing the many talents of your students. In addition, you will carry out industry or consultancy projects to help you remain relevant in your profession and industry changes, as well as maintain strong linkages with partners in the industry and schools. You will also have the opportunity to be attached to industry on a regular basis to update your skills and knowledge. Those with good and relevant experience can look forward to Senior Lecturer or equivalent positions, with career development opportunities.Requirements  College Central  You should be trained in Information Technology, Computer Science or Software Engineering, with at least 3 years of relevant work experience in Web/Mobile applications development, Content Management System or IT related field. You should be competent with Adobe CC applications and have good programming skills in iOS programming (SWIFT), C#, PHP, HTML5, CSS, JavaScript, Python. Candidates with experience and/or IT certifications in areas of Data Analytics, Internet of Things (IoT), or Artificial Intelligence (AI) and Machine Learning (ML) will have an advantage College East You should be trained in Information Technology, Computer Science, Data Science and/or Analytics, with at least 3 years of relevant work experience to be able to develop students' skills in implementing IoT/software applications, including data analytics solutions. You should possess relevant experience in one or more of the following areas: - development of IoT applications - data analytics technologies and Big Data - proficiency in programming languages such as Python, R or similar (familiarity with Python-based libraries such as scikit-learn, numpy/scipy and pandas is preferred) - programming web and mobile applications would be advantageous ",Unknown,Lecturer - IT Applications Development,"$3,000to$6,000",Monthly,Executive,https://www.mycareersfuture.sg/job/lecturer-applications-development-institute-technical-education-b94141d17ac8e368f676354f9cbe7d01
4,WORKATO PTE. LTD.,71 AYER RAJAH CRESCENT 139951,"Permanent, Full Time",Information Technology,"Roles & ResponsibilitiesRole Workato is looking for Integration Developers who are passionate about the challenges of integration and workflow automation with applications and IOT devices incorporating Artificial Intelligence, Machine Learning, Bots, and Natural Language Processing to drive better user and customer experience, enhance productivity and lower costs.   Responsibilities   Lead and participate in both pre and post sales activities with direct end customers and partners   Design and develop integration and automation solutions   Develop new application and system connectors   Be a Workato Subject Matter Expert with the ability to discover and demonstrate how Workato can effectively help companies with their business automation needs across a broad set of industries   Develop collateral: presentations, demos, reference recipes, white papers, best practices, training materials  ","Requirements  BA/BS or equivalent education - Computer degree is a plus   Knowledge of software development lifecycle and agile development methodologies   Knowledge of Java programming and relational Databases (e.g.MS SQL Server, Oracle, MySQL)   Knowledge of APIs - REST/JSON, SOAP/XML is a plus   Ability to learn new concepts, technologies and solve problems   Good communication and presentation skills   Strong interpersonal skills with the ability to convey and relate ideas to others and work collaboratively to get things done  ",Integration Developer,"$2,000to$10,000",Monthly,Executive,https://www.mycareersfuture.sg/job/integration-developer-workato-7aa624a95f67e02ce0e7ee515817fa33
5,NANYANG TECHNOLOGICAL UNIVERSITY,"NANYANG TECHNOLOGICAL UNIVERSITY, 50 NANYANG AVENUE 639798","Contract, Full Time",Sciences / Laboratory / R&D,"Roles & ResponsibilitiesUnder the Air Traffic Management Research Institute (ATMRI) (http://atmri.ntu.edu.sg/), Nanyang Technological University, you will be part of a research team to study the use of Artificial Intelligence and Data Analytics in Air Traffic Management Systems. Specifically, you will  Undertake research and development related to Artificial Intelligence and Machine Learning applied to Air Traffic Management Develop algorithms and models, perform data mining, doing analytics, and building high quality strategic planning system for future for Air Traffic Management (ATM) systems. You will provide expertise on algorithmic concepts for the broader applied analytics of ATM and inspire the adoption of advanced analytics and data science across the entire breadth of ATM system. ","Requirements Master’s Degree in Aerospace Engineering/Computer Engineering  Research experience in Air Traffic Algorithm/Software design and development. Demonstrated expertise in MATLAB, C++, Python Programming Languages Understanding of Machine Learning techniques/Deep Learning algorithms Good English writing and communication skills Independent and team player ",Research Associate,"$3,500to$3,800",Monthly,Professional,https://www.mycareersfuture.sg/job/research-associate-nanyang-technological-university-2d73ff04ea5b96e57a1d935c883b6ebe
6,THE SUPREME HR ADVISORY PTE. LTD.,"AZ @ PAYA LEBAR, 140 PAYA LEBAR ROAD 409015",Full Time,Information Technology,"Roles & ResponsibilitiesWriting reusable, testable, and efficient code for applications •           Ability to provide technical support when required •           Able to identify, design and propose solutions to client requirement •           Design and develop Odoo apps (such as developing new module and perform customization and enhancement on existing modules •           Architect solutions for Artificial Intelligence (Ai) •           Support and maintain customer requirements •              Support in ad-hoc tasks assigned by the project manager",RequirementsDylan Then Reg No: R1878687 The Supreme HR Advisory Pte Ltd EA No: 14C7279  ,Developer [ SDLC /  PHYTHON /  Computer Science],"$4,000to$4,500",Monthly,Senior Executive,https://www.mycareersfuture.sg/job/developer-sdlc-phython-computer-science-supreme-hr-advisory-3d172c766c073b6dd332c9697888e9ce
7,OUTSYSTEMS SINGAPORE PTE. LTD.,"SUNTEC TOWER THREE, 8 TEMASEK BOULEVARD 038988",Permanent,Information Technology,"Roles & ResponsibilitiesJob description, low-code style: As the #1 low-code application development platform, OutSystems provides customers with everything they need to build apps incredibly fast. So, let’s cut to the chase: we are looking for a Developer to develop and test collaborative applications that provide business solutions to our customers. The longer story: The OutSystems low-code platform enables customers to facilitate digital transformation through massive efficiency gains in building and supporting enterprise-grade applications. By leveraging automation, artificial intelligence and deep technology integrations, software developers and business users can build applications through an intuitive, visual interface, rather than traditional coding. Customers experience tremendous cost savings and create competitive advantages by developing custom applications in days and weeks versus months and years, despite a shortage of skilled developers. The Developer to be based in Singapore will be a part of a young and dynamic team and will work under the supervision of experienced OutSystems Service Delivery personnel. This role will master OutSystems Platform technology in conjunction with modern software engineering practices for developing web business applications in the context of agile projects.  Main Responsibilities:  Develop solution features following OutSystems development best practices, ensuring solution quality, performance and usability; Develop integrations with external systems according to the defined architecture guidelines; Finish all assigned tasks with quality within the defined timebox; Conducts unit testing and integration testing, executing the necessary bug fixing.  Requirements and Qualifications:  Proficiency with at least one programming language: PHP, C# or Java; Proficiency in web-based languages: JavaScript, CSS, HTML; Knowledge in ASP.NET; Programming with databases: SQL Server, Oracle or MySQL; Knowledge in Database Modeling; OutSystems development experience and certifications are a plus; Degree in Computer Science or Engineering. Academic achievements valued; Fluency in English, written and spoken (mandatory).    Working at OutSystems We don’t have many rules, but we have a lot of common sense. Our commitment to our culture is highlighted in The Small Book of the Few Big Rules, written by our Founder and CEO, Paulo Rosado. This commitment to culture has landed us in the top six Forbes Best Cloud Computing Companies and CEOs To Work For three years running.  Disrupting the status quo is in our DNA. In fact, it’s why our company exists We ask “why” a lot. It helps us connect our individual work to the bigger picture, and sometimes even uncover a better way  Our offices are great places to be but will never be the stuff of future tech mockumentaries. We’re much more down-to-earth than that   About OutSystems Our software platform is revolutionizing how organizations build and deliver business-transforming applications. OutSystems is one of the fastest growing B2B software companies in the world, with a base in Lisbon, Portugal, international locations in Atlanta, Boston, London, Amsterdam, Dubai, Tokyo, Sydney, and Singapore, and customers in more than 52 countries.  Recognized as a leader in our market by top analyst firms, like Forrester and Gartner Winner of multiple industry awards, including the prestigious CODiE award Loved by customers who have voted us the best low-code software platform (Gartner Peer Reviews, TrustRadius, and G2 Crowd)  https://www.outsystems.com/company/careers/  ","RequirementsCompetencies and Skills:  Communication skills; Agile methodologies practices; Customer orientation and interpersonal skills; Self-motivation and team player attitude; Transparency and ability to establish trust and supportive relationships; Strong quality orientation and attention to detail; Ability to organize, estimate, and prioritize project tasks; Web application development and project delivery practices; Understanding of web architectures and web application performance. ",Software Developer,"$40,000to$50,000",Annually,Junior Executive,https://www.mycareersfuture.sg/job/software-developer-outsystems-singapore-f271a6f694aa540ac1490e820b4d40eb
8,GROUPM ASIA PACIFIC HOLDINGS PTE. LTD.,"CHINA SQUARE CENTRAL, 18 CROSS STREET 048423",Full Time,Others,"Roles & ResponsibilitiesXaxis Singapore Overview of job   Xaxis is an agency of GroupM, the world’s largest media investment company and are a part of WPP. In fact, we are responsible for one in every three ads you see globally. We are currently looking for a Data Science Manager to join us. We are looking for a Data Scientist who will support our analytics, product team, sales, and marketing teams with insights gained from analysing a multitude of data sources across the programmatic advertising space. The ideal candidate is adept at using large data sets to find opportunities for campaign optimization and using models to test the effectiveness of different courses of action. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets, working with stakeholders to improve business outcomes, and effectively communicating their ideas and solutions to the wider organisation. At GroupM APAC, our people are our strength, which is why fostering a culture of diversity and inclusion is important to us. Reporting of the role This role reports to: Director, of Marketing Science APAC in Singapore  3 best things about the job:  Ability to work collaboratively with global data engineering, data science, and product teams Ability to experiment with new technologies / algorithms to solve business needs Ability to be involved in the forefront of the AdTech industry    In this role, our Manager, Data Science APAC will take the lead in the brainstorming and development of custom bidding algorithms for key clients across APAC.  You will provide guidance and direction on the ideal application of our data platforms, enabling our regional teams to leverage the data and outputs into actionable and insightful visualisations. The role of Manager, Data Science APAC will, put simply, ‘make data happen’ for Xaxis – and is a key role given the growth of data-driven marketing, and the key opportunity for programmatic media in this space.  Your success will lie in your capability to leverage; disparate data sets, multiple platforms, and multiple stakeholders, while delivering high quality actionable solutions to our regional and local teams. In three months:   You will have a firm understanding of where Xaxis “data” resides, it’s value, and be able to access it with ease You will understand the internal processes, products, and services Xaxis provides to its clients and how your role ties into that value chain      In six months:  You will be part of internal innovation projects and initiatives where you will begin to provide actionable recommendations on the usage of our data You will understand how Xaxis data can be leveraged to solve problems and where to go to find the required pieces of information. You will become confident in your capabilities and be able to independently support regional and local markets on their requests and problems  In 12 months:  You will become a central decision maker and point of contact for future developments and investments in the space of data science at Xaxis APAC You will take part in global hackathons where you will be provided opportunities to expand your skillsets and ingest ideas from other regional teams, leveraging those ideas for the APAC markets   What your day job looks like at Xaxis:  Custom Algorithm Brainstorming and Development: Act as the marketing science lead for custom algorithm development as part of the internal Xaxis Copilot team Innovation and Development of Marketing Science Products and Processes: Take the lead in developing new ways to “look at data” and help build our portfolio of analytics capabilities by leveraging our data and tools.   Product Development, Product & Strategy Testing: Be the key point of contact in the marketing science team for our APAC product team, to assist in development and testing Programmatic Analytics Platform Management: Manage the end to end process of analytics strategy, tagging, and monitoring for our ([m]Platform) internal analytics platform for key clients across APAC    Minimum qualifications: The ideal candidate will hold a bachelors or master’s degree in statistics, mathematics, business analytics, and or computer science with a minimum of 4 years’ experience, preferably in the advertising / marketing industry.  You will a need deep understanding of supervised, unsupervised, and dimension reduction machine learning techniques and be familiar with CRISP-DM methodology.  You will also need to be proficient in R, Python, and be able to easily extract data via API calls and from SQL databases (ETL).  Additionally, this role will require you to have a solid understanding of statistics, and be able to conduct statistical tests.   Most importantly, we are looking for someone that is a great collaborator, communicator, and team player.   Other Skillsets Desired:  Familiar with Web Scraping Familiar with Amazon Web Services (e.g. EC2, S3, Redshift) Familiar with Google Cloud Platform (e.g. Compute Engine, BigQuery, Cloud Storage) Familiar with Spark Familiar with R Shiny Familiar with advanced analytics techniques for programmatic advertising Elementary proficiency in HTML and JavaScript  More about Xaxis Xaxis is The Outcome Media Company. It combines advanced artificial intelligence with proprietary data and proven expertise to optimize programmatic media investments and achieve improved, verifiable results for its clients. Xaxis offers managed programmatic services in 47 markets including North America, Europe, Asia Pacific, Latin America, the Middle East, and Africa. For more information, visit www.xaxis.com About Singapore  GroupM Singapore operates in one of the most dynamic and exciting environments in the world. Although it is a small domestic market, there is a vibrant media industry which is undergoing rapid evolution as digital technology reshapes the way marketing supports advertisers’ needs. Being at the crossroads of Asia means that aside from the local clients and media owners, we also have a high proportion of multi-national clients and media owners. As the largest media investment management company in Singapore with over 41% market share (Recma) and over 650 employees, GroupM Singapore is the premiere organisation to join and develop a career in.","RequirementsXaxis Singapore  What your day job looks like at Xaxis:  Custom Algorithm Brainstorming and Development: Act as the marketing science lead for custom algorithm development as part of the internal Xaxis Copilot team Innovation and Development of Marketing Science Products and Processes: Take the lead in developing new ways to “look at data” and help build our portfolio of analytics capabilities by leveraging our data and tools.   Product Development, Product & Strategy Testing: Be the key point of contact in the marketing science team for our APAC product team, to assist in development and testing Programmatic Analytics Platform Management: Manage the end to end process of analytics strategy, tagging, and monitoring for our ([m]Platform) internal analytics platform for key clients across APAC    Minimum qualifications: The ideal candidate will hold a bachelors or master’s degree in statistics, mathematics, business analytics, and or computer science with a minimum of 4 years’ experience, preferably in the advertising / marketing industry.  You will a need deep understanding of supervised, unsupervised, and dimension reduction machine learning techniques and be familiar with CRISP-DM methodology.  You will also need to be proficient in R, Python, and be able to easily extract data via API calls and from SQL databases (ETL).  Additionally, this role will require you to have a solid understanding of statistics, and be able to conduct statistical tests.   Most importantly, we are looking for someone that is a great collaborator, communicator, and team player.   Other Skillsets Desired:  Familiar with Web Scraping Familiar with Amazon Web Services (e.g. EC2, S3, Redshift) Familiar with Google Cloud Platform (e.g. Compute Engine, BigQuery, Cloud Storage) Familiar with Spark Familiar with R Shiny Familiar with advanced analytics techniques for programmatic advertising Elementary proficiency in HTML and JavaScript ",Data Science Manager - Analytics Manager,"$4,000to$7,000",Monthly,Manager,https://www.mycareersfuture.sg/job/data-science-manager-analytics-manager-groupm-asia-pacific-holdings-5686cc3415838b170e1681edb551e84e
9,Company Undisclosed,Unknown,Permanent,"Engineering, Information Technology","Roles & ResponsibilitiesPosition          : Backend Engineer  Location          : Central  Working hours : 5 days / 9am – 6pm Salary              : Up to $5,000 + other benefits    Duration           : Permanent Role   Main Responsibilities:  Build the next generation Fintech application providing analytics and trading algorithms for both stocks and crypto markets. Design, develop, testing and operational maintenance of the software components owned by the team. Solve sophisticated problems related to Big Data, Model Learning and Artificial Intelligence. Design highly scalable and available distributed data processing systems. ","RequirementsRequirements:  Proven experience with B2C software development 3+ years of Linux/Unix software development experience in any of the following programming languages Golang/C/C++/PHP Demonstrated experience with DBMS: relational, key-value and distributed storages Comfortable working in a Linux/Unix environment and the command line Experience writing functional and unit tests  Desired:  Good understanding of TCP/IP stack and HTTP protocol in particular Good understanding of micro-service architecture: its advantages, disadvantages, and associated challenges Understanding of testing and code verification process; ability to create and manage test plans Experience with Docker Experience with monitoring and logging tools and services  In order to speed up the short listing process, qualified or interested candidates are strongly encouraged to submit your updated resume in MS Word format to clover@searchpersonnel.com.sg To find out about other career opportunities in Search Personnel Pte Ltd, do visit www.searchpersonnel.com.sg / www.facebook.com/search.personnel for complete job listings. We wish you all the best in your career search. **We do not charge our candidates any referral fee.** Clover Lim Yong Le Executive Consultant Reg no.: R1875879 | EA No: 13C6684",Backend Engineer,"$3,000to$6,000",Monthly,Junior Executive,https://www.mycareersfuture.sg/job/backend-engineer-2591ccd83787622e701a0479f1d705e4
