,company,company_address,employment_type,job_category,job_description,job_requirements,job_title,salary_range,salary_type,seniority,url
0,Company Undisclosed,Unknown,"Contract, Full Time",Information Technology,"Roles & Responsibilities Total Experience of 8 to 11 years which includes on  Informatica (Power center and BDM) with hands on technical experience. Hands on Cognos and Tableau Reporting is also desired·         Minimum of 6 to 8 years of technical hands on experience in Informatica PowerCenter 9.1 or higher and Oracle 11g preferably as Database or other databases such as SQL Server/Teradata etc.·   Approx  5 years experience in Cognos Frame work Manager, Cognos Report Studio and other studios 10.1 preferably . Good to have Cognos 11 Analytics exposure.·         Hands-on knowledge on Informatica PowerCenter 9.1 or higher·         Hands-on knowledge on Unix Shell Scripting, PL/SQL Queries·         2-3 years of Informatica BDM Experience with Cloudera Big Data environment.·         Sound Technical knowledge in writing sql queries and well aware of performance tuning and optimization. Sound knowledge on uage of indexes and other optimization techniques·         Provide technical knowledge of Extract/Transform/Load (ETL) solutions for Business Intelligence projects·         Work closely with project Business Analyst, Data Modeler and Architects to ensure that the end to end designs meet the business and data requirements·         Develop the task plan for ETL developers for a specific project·         Assist in the ongoing development of technical best practices for data movement, data quality, data cleansing and other ETL and Reporting related activities.·         Participation and contribution in quality assurance walk through of ETL and reporting components·         Responsible for the design, development and deployment of List, Cross Tab, Charts, Dashboard and multi-dimensional reports using the Cognos Business Intelligence solution.·         Working with business users to design and develop Cognos BI 10.1 reports using Report Studio , Query Studio with data drill-down and slice-and-dice options·         Support development teams with performance tuning and troubleshooting issues·         Review of ETL and reporting design documents and working closely with Business/Architect team·         Should have good troubleshooting the Joins/performance issues at Cognos Framework Manager level and worked on Star and snow flake schemas designs.·         Understands the range of options and best practices for common ETL design techniques such as change data capture, key generation and optimization·         Perform root cause analysis on all processes and resolve all issues raised by business·         Be able to proactively monitor the overall system from the data load perspective and take appropriate actions to improve the overall implementation and performance·         Should have strong ability to troubleshoot performance and configuration related issues including connectivity issues due to firewalls, load balancers etc.·         Sound knowledge of SDLC, estimations and preparing POC’s as per client needs·         Good to have Telecom Domain experience·         Team handling experience of 10 to 15 resources and preferably direct responsible for their performance cycle , coaching and mentoring the Junior resources for their career growth.·         Good to have Project Management experience ",RequirementsMust have completed completed Bachelor's Degree,Software Consultant,"$6,000to$8,500",Monthly,Senior Executive,https://www.mycareersfuture.sg/job/software-consultant-8df2e0d22f14ec84418afbe29f5923e0
1,6ESTATES PTE. LTD.,79 AYER RAJAH CRESCENT 139955,Full Time,Information Technology,"Roles & ResponsibilitiesWe are looking for the right individual who has the passion and desire to crack the code for this very hot field in AI and Big Data. 6Estates engineers build tools and solutions that ensure the delivery of high quality software for our stakeholders. For someone who wants to learn and grow, this role provides you the unique opportunity to work along with all the experts of different fields. As a Big Data Engineer, you will work with a team of talents to design, architect, and develop on the big data analytics platform. You will also touch on researching, introducing modern technologies and integrating your amazing innovations and ideas into our production systems.","Requirements1. Minimum Bachelor’s degree in Computer Science and 3+ years of experience in administration/architecture in the field of big data specific to Hadoop, HBase 2. Excellent implementation skills in Java or Scala. 3. Expert knowledge of Linux/Unix programming. 4. Experience in Apache Hadoop, Spark, Zookeeper, Elasticsearch, etc. 5. Strong knowledge of distributed system architecture and implementation. 6. Knowledge of Information Retrieval / NLP / Data Mining is a plus. 7. Fluent in English and Chinese to liaise with Chinese speaking associates",Big Data Engineer,"$4,000to$8,000",Monthly,Professional,https://www.mycareersfuture.sg/job/big-data-engineer-6estates-a22e4c3b90cea5bc9767d75c5f0bb827
2,DBS BANK LTD.,Unknown,"Permanent, Full Time",Banking and Finance,"Roles & ResponsibilitiesJob Purpose The Lead Data Scientist manages a team of data scientists within Consumer Banking Group Technology, Big Data & Analytics Technology division to drive value for the business by leveraging machine learning.  He/ She will have opportunities to work on various projects that provide data-driven insights that enable enhanced capabilities in the areas of business growth, risk management, productivity etc.  Also, he/she will be responsible to lead a team of ML engineers that will work with data scientists to create, optimize and productionize of machine learning models for various business units within the organization. Keep innovating and optimizing data and machine learning workflow to enable data-driven business activities at large scale.   Responsibilities  Lead, guide, and manage the team of data scientists Overall accountable for the team’s delivery of data science projects that drive value for business Establish, apply and maintain best practices and principles of machine learning engineering. Manage and guide a team of ML engineers that work with data scientists to build end-to-end machine learning and analytics solution to solve business challenges Manage and guide a team of experienced data scientists to drive projects and be accountable for the output of the team Partner with business stakeholders to understand needs and identify opportunities to apply data science Frame this opportunity as a data science problem, formulating hypotheses and techniques for experimentation Oversee the process of data exploration & preparation, the conduct of experiments, review of model performance, and presentation of results to business stakeholders for their feedback Lead the presentation of key insights to management with actionable recommendations Manage the team to facilitate deployment of finalised solutions to production environment Oversee the ongoing monitoring of model performance, and the process of model retraining if necessary ","Requirements At least 5 years of industry experience in data science PhD or advanced degree holder in computer science, machine learning, statistics, decision science, mathematics or equivalent Prior experience managing teams of PhD-level data scientists preferred Excellent advanced analytics skills, with prior industry experience developing machine learning solutions for classification, prediction, forecasting and/or anomaly detection problems Excellent understanding of software engineering principles and design patterns. Excellent programming skills in either Python, Scala, or Java. In-depth understanding of data science and machine learning technologies and methodologies. Good working knowledge of high performance computing, parallel data processing, and big data stack, e.g. Spark and Hadoop/Yarn. Highly proficient in data manipulation Strong expertise in at least one of the following areas (or equivalent): deep learning, NLP, graph mining, anomaly detection, large-scale recommender engines, large-scale optimizations, large-scale multivariate time-series forecasting, causal and statistical reasoning Ability to present analysis in a manner accessible by non-practitioners Good verbal and written communication skills and the ability to interact professionally with business executives Has a ‘can-do’ attitude Prior experience in banks not required but may be considered ","SVP / VP, Lead Data Scientist, Group Consumer Banking and Big Data Analytics Tech (180003Y7)","$9,500to$18,000",Monthly,Senior Management,https://www.mycareersfuture.sg/job/svp-vp-lead-data-scientist-group-consumer-banking-big-data-analytics-tech-dbs-bank-1e58ca9d6b252e4547ae9c9c64bc7b6d
3,SCHELLDEN GLOBAL PTE. LTD.,"INTERNATIONAL PLAZA, 10 ANSON ROAD 079903",Full Time,Information Technology,"Roles & ResponsibilitiesMassive data: You will source / examine, analyze, engineer data pipelines for gigabytes/terabytes of structured and unstructured data with our platform to create value for customers.  Pushing the limits: This role will be on the cutting edge of our Data / Machine Learning platform. As we push to solve more of our customer challenges, you will be prototyping new features, tools and ideas. Innovate at a very fast pace to maintain our competitive edge.  Linux hacking: You will be masterfully using the command line, including tools like vi/emacs and understanding beyond basics of grep, bash, awk, sed, etc to aggressively dive into data, systems, and compute platforms to get the results you are seeking.  Production deployment: You will be responsible for integration and deployment of the machine learning pipelines into production where your ideas can come to life.  Coordinate and work with cross functional teams, sometimes located at different geo locations.","RequirementsCommercial software engineering: You have 3+ years of professional software development experience with languages and systems such as Java, Python (PySpark), and version control (git), with good analytical & debugging skills.  Big data: You have extensive experience with data analytics and working knowledge of big data infrastructure such as Hadoop Eco System, HDFS, Spark, Google Cloud, Big Query, Data Flow (nice to have). You've routinely built data pipelines with gigabytes/terabytes of data and understand the challenges of manipulating such large datasets.  Data Modeling: Flair for data, schema, data model, PL/SQL, Star & snow flake schema, how to bring efficiency in data modeling for efficient querying data for analysis, understands criticality TDD and develops data validation techniques.  Real Time Systems: Understands evolution of databases for in-memory, NoSQL & indexing technologies along with experience on real-time & stream processing systems like kafka, Storm.  Project management: You demonstrate excellent project and time management skills, exposure to scrum or other agile practices in JIRA.",Big Data Engineer,"$4,000to$8,000",Monthly,Middle Management,https://www.mycareersfuture.sg/job/big-data-engineer-schellden-global-6fdb5be88c9cb16e84d51c2f07f72b40
4,DBS BANK LTD.,Unknown,"Permanent, Full Time",Banking and Finance,"Roles & Responsibilities Manage the Avaloq Configuration / Release Management tasks and work on the BAU tasks in non-production environments Env Planning (DB, application), Avaloq ICE Streaming, Release calendars preparation and communicate with all stakeholders Definition of Connect Direct (NDM), IBM MQ, Avaloq Tools Upgrade, TWS Definition and Batch support, and FIX Platform interface setup Projects and Enhancement requests. Plan and manage the end-to-end deployment and delivery of IT infrastructure for Bank’s project from deployment planning, setup & testing, pre-production readiness to production cutover. Collaborate with Architecture and Engineering team, Application teams, Infrastructure teams, and service providers in delivering quality IT solutions and services to meet business objectives. Ensure the project meet schedule and within the allocated budget and resources. Adhere to the bank's Project Management, Deployment and Change management process.  Prepare and submit the necessary change requests and requisition forms for the deployment of infrastructure for the project, such as facility request, IP/DNS/Hostname request, SAN requisition, etc. Conduct proper transition from Project to Operations before project closure. Prepare all project documentation such as SOM and status reports, assure report accuracy and timeliness. e.g. Weekly Project Status report, etc. Work collaboratively with technology team and vendors, provide single point of contact and drive resolution of issues that arise in projects. Maintain business partnership with Line of Business (LOBs) and constantly collect and manage user’s demands and applications’ infra requirements. Coordinate with DBA, Solaris, Linux, Windows, Network, ID Mgmt and other Infra admin teams on the system issue related tasks Co-ordinate with various Infra teams to apply the OS / DB / MQ patches  Apply the innovative thinking to automate the manual tasks, provide infrastructure services effortlessly, improve performance and resilience of the systems. ","Requirements The candidate need to have minimum of 5 years IT experience with Avaloq Release Management and infrastructure project delivery. The candidate should have strong infrastructure technical background with hands on Open Systems platform such as Solaris, Linux, virtualization, network, and storage. Moderate information security knowledge Have a good understanding of ITIL processes and project management processes. Development experience in SQL & PL/SQL, preferably in Oracle 11g / 12c environment Must have hands-on experience in IBM MQ series, Connect Direct and SSH such as file transfer tools Good to have knowledge on the Micro services and cloud services A Bachelor’s degree in Computer Science (or equivalent experience) 5 -8 years of development and delivery experience Able to perform Unix / Linux scripting. Monitor and address issues relating to capacity constraints and performance related items. Analyze and perform database performance tuning. Develop and maintain high-performance, scalable utilities to support technology research and data transformation. Contribute to the establishment and maintenance of distributed computing platform / Messaging services Good leadership skills in working with Application teams and service providers in defining and executing infrastructure deployment plan, coordination of all infrastructure required activities, cutover/migration strategy and test plan. Good in documentation, tracking, form submission, raising change request and project status reports.  Should be an effective communicator with good people management skills to handle diverse groups/teams in the project. Should be a proactive self-starter with strong analytical skill, team-player, independent, pro-active, resourceful.  ","AVP / Senior Associate, Lead Development Engineer, Grp Consumer Banking & Big Data Analytics (180002YV","$5,500to$11,000",Monthly,"Manager, Senior Executive",https://www.mycareersfuture.sg/job/avp-senior-associate-lead-development-engineer-grp-consumer-banking-big-data-analytics-180002yv-dbs-bank-1e4f251f52dccafe737359d25ed7c91a
5,DBS BANK LTD.,Unknown,"Permanent, Full Time",Banking and Finance,"Roles & Responsibilities Develop world-class solution/application for your team Be up to date of the market landscape for solution/application insights, direction, vendors, and methods Provides expertise to identify and translate system requirements into software design artefacts Provide input during the business development life cycle Participate in experimentation to assess new solution/application paths Identify challenges to help the development of formalized solution methodologies Contribute to a repository for solution/application artefacts Interface and coordinate tasks with internal and external technical resources. Collaborate to provision estimates, develop overall implementation solution/application plan, and serve as a lead as required, to implement the installation, customization, and integration efforts Actively contribute to the quality assurance for services within the solution/application area Provide relevant and timely project information to senior management Actively contribute to the change in delivery and deployment strategy for all applications to a total replacement for applications at the end of their technology or functionality lifecycle Maintain and monitor all aspects for the proper running of the application Understand the system process flow of the primary business processes. Provide a clear picture of the functionality map and the applications footprint of various applications across the map ","Requirements Solid experience in Java, JavaScript, IBM MQ & JMS, Spring boot, Hibernate, Eclipse, JUnit, Apache, etc. Hands-on Design, Development, Deployment, Configuration & Support of various Integration platform components 10 + years of experience in the Technology field including hands on in both development and support of SOA or Microservices Proven experience in design and development of APIs using API Gateways including Gateway deployment, configuration, policy development, migration, debugging and troubleshooting Working knowledge of Web API, REST, XML, JSON, Security (OAuth, OpenID Connect)  Ability to work with Linux OS to deploy and configure AXWAY gateway and other components  Solid hands-on design and development experience in TIBCO suite of BW, BPM, BE, EMS, Hawk, and Adapters etc.  Track record in providing application and technical assistance on multiple systems and platforms Understanding of XML file format, hashing and encryption, and transfer protocols (SFTP, NDM, etc.) Experience of Cloud based architecture and development Experience in Software delivery frameworks such as agile, waterfall Experience of CI/CD Core Competencies Solid software engineering experience Strong analytical and problem solving skills Technical depth across a number of technologies (languages, OS, Databases) Excellent written and verbal reasoning and communication skills Ability to lead technical solutions end to end Ability to work across organizational boundaries and build networks to deliver solutions ","AVP / Snr Assoc, Development Engr,  Group Consumer Banking &  Big Data Analystics Tech, T&O (180001ZD)","$5,500to$11,000",Monthly,"Manager, Senior Executive",https://www.mycareersfuture.sg/job/avp-snr-assoc-development-engr-group-consumer-banking-big-data-analystics-tech-to-dbs-bank-27f316b2556ce41e9d3ea1fb3eab6ea5
6,DBS BANK LTD.,Unknown,"Permanent, Full Time",Banking and Finance,"Roles & Responsibilities Develop world-class solution/application for your team Be up to date of the market landscape for solution/application insights, direction, vendors, and methods Provides expertise to identify and translate system requirements into software design artefacts Provide input during the business development life cycle Participate in experimentation to assess new solution/application paths Identify challenges to help the development of formalized solution methodologies Contribute to a repository for solution/application artefacts Interface and coordinate tasks with internal and external technical resources. Collaborate to provision estimates, develop overall implementation solution/application plan, and serve as a lead as required, to implement the installation, customization, and integration efforts Actively contribute to the quality assurance for services within the solution/application area Provide relevant and timely project information to senior management Actively contribute to the change in delivery and deployment strategy for all applications to a total replacement for applications at the end of their technology or functionality lifecycle Maintain and monitor all aspects for the proper running of the application Understand the system process flow of the primary business processes. Provide a clear picture of the functionality map and the applications footprint of various applications across the map ","Requirements Solid experience in Java, JavaScript, IBM MQ & JMS, Spring boot, Hibernate, Eclipse, JUnit, Apache, etc. Hands-on Design, Development, Deployment, Configuration & Support of various Integration platform components 10 + years of experience in the Technology field including hands on in both development and support of SOA or Microservices Proven experience in design and development of APIs using API Gateways including Gateway deployment, configuration, policy development, migration, debugging and troubleshooting Working knowledge of Web API, REST, XML, JSON, Security (OAuth, OpenID Connect)  Ability to work with Linux OS to deploy and configure AXWAY gateway and other components  Solid hands-on design and development experience in TIBCO suite of BW, BPM, BE, EMS, Hawk, and Adapters etc.  Track record in providing application and technical assistance on multiple systems and platforms Understanding of XML file format, hashing and encryption, and transfer protocols (SFTP, NDM, etc.) Experience of Cloud based architecture and development Experience in Software delivery frameworks such as agile, waterfall Experience of CI/CD Core Competencies Solid software engineering experience Strong analytical and problem solving skills Technical depth across a number of technologies (languages, OS, Databases) Excellent written and verbal reasoning and communication skills Ability to lead technical solutions end to end Ability to work across organizational boundaries and build networks to deliver solutions ","VP / AVP, Development Engineer,  Group Consumer Banking & Big Data Analytics Tech, T&O (180001ZC)","$6,500to$13,000",Monthly,Manager,https://www.mycareersfuture.sg/job/vp-avp-development-engineer-group-consumer-banking-big-data-analytics-tech-to-dbs-bank-3754b22e68f3171e65628771aa1eef42
7,DBS BANK LTD.,Unknown,"Permanent, Full Time",Banking and Finance,"Roles & ResponsibilitiesJob Purpose The Data Engineer will provide big data engineering support to the Analytic Center of Excellence.  This role’s primary job responsibility is defining the framework and process for preparing data for analytical uses. The right candidate will be excited by the prospect of designing data engineering solutions from ground up and will support data analysts and data scientists on data initiatives and will ensure optimal data delivery architecture is consistent throughout ongoing projects.   Responsibilities  Create and maintain optimal data pipeline architecture; Assemble large, complex data sets that meet functional / non-functional business requirements; Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, designing infrastructure for greater scalability, etc. Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using ‘big data’ technologies; Work with stakeholders (data analysts, data scientists, technology support team) to assist with data-related technical issues and support data infrastructure needs; Build processes supporting data transformation, data structures, dependency and workload management ","Requirements Degree in Computer Science with minimum 3 years data engineering work experience in big data analytics environment Excellent data engineering skills with open source big data stack Experience building and optimizing ‘big data’ data pipelines, architectures and data sets Strong analytic skills related to working with unstructured datasets Experience with big data tools: Hadoop, Spark, Kafka, etc Experience with relational SQL and NoSQL databases Experience with object-oriented/object function scripting languages: Python, Scala, etc Familiar with deployment and optimization of open source big data analytic stack on distributed environment Familiar with compiling, deploying and configuring open source data science tools including Python, R, Spark, etc Familiar with deploying analytic projects and data science products to production Excellent programming skills ","AVP  /  Senior Associate, Data Engineer, Analytic Center of Excellence, Transformation Grp (180003G6)","$5,500to$11,000",Monthly,"Manager, Senior Executive",https://www.mycareersfuture.sg/job/avp-senior-associate-data-engineer-analytic-center-excellence-transformation-grp-dbs-bank-72cb5c42cf6e21851cd857f8129b9c46
8,DBS BANK LTD.,Unknown,"Permanent, Full Time",Banking and Finance,"Roles & ResponsibilitiesJob Purpose  The Data Engineer will provide big data engineering support to the Institutional Banking Group (IBG) Business Analytics Team in various data science projects. This role’s primary job responsibility is defining the framework and process for preparing data for analytical uses. The right candidate will be one excited by the prospect of designing data engineering solutions from ground up and will support data analysts and data scientists on data initiatives and will ensure optimal data delivery architecture is consistent throughout ongoing projects. Responsibilities  Create and maintain optimal data pipeline architecture; Assemble large, complex data sets that meet functional / non-functional business requirements; Identify, design, and implement internal process improvements: automating manual processes, Perform ETL/ELT, Data Modelling, Data Profiling, Data Cleansing, Feature Engineering tasks as part of Data Analytics Life Cycle (DALC); Work with stakeholders (data analysts, data scientists, technology support team) to assist with data-related technical issues and support data infrastructure needs; Build processes supporting data transformation, data structures, dependency and workload management ","Requirements Master’s Degree in software Engineering, Computer Science or related fields with minimum 3 years data engineering work experience in big data analytics environment Strong in data engineering skills with big data stack (Hadoop, Spark, Kafka, etc) Strong in transactional SQL, Enterprise Data Warehouse Experience with Graph Database, NoSQL databases Experience with Feature Engineering Experience with Master Data Management Experience with scripting languages: UNIX/Linux Shell, SQL, Python (Pandas, PySpark etc), Scala, R, etc ","AVP  /  Senior Associate, Data Engineer, IBG Digital, Institutional Banking Group (1800044U)","$5,500to$11,000",Monthly,"Manager, Senior Executive",https://www.mycareersfuture.sg/job/avp-senior-associate-data-engineer-ibg-digital-institutional-banking-group-dbs-bank-633ccd170a9d6b8f860c413b264c49ab
9,6ESTATES PTE. LTD.,79 AYER RAJAH CRESCENT 139955,Full Time,Information Technology,"Roles & ResponsibilitiesWe are looking for the right individual who has the passion and desire to crack the code for this very hot field in AI and Big Data. 6Estates engineers build tools and solutions that ensure the delivery of high quality software for our stakeholders. For someone who wants to learn and grow, this role provides you the unique opportunity to work along with all the experts of different fields. As a DevOps Engineer , you will work with team of talents to manage the big data analytics platform as well as the data visualization product. You will also touch on researching, introducing modern technologies and integrating your amazing innovations and ideas into our DevOps pipleline.","Requirements1. Minimum Bachelor’s degree in Computer Science. 2. Proficient in Linux/Unix Administration. 3. Ability to use a wide variety of open source technologies and cloud services and container service such as kubernetes, docker. 4. Management of Hadoop cluster with all included services, such as Hadoop, HBase, Kafka, .etc. 5. Experience with Lucene / Solr / Elasticsearch is a plus. 6. Experience with Shell, Go or Python. 7. Fluent in English and Chinese to liaise with Chinese speaking associates.",DevOps Engineer,"$4,000to$8,000",Monthly,Professional,https://www.mycareersfuture.sg/job/devops-engineer-6estates-5f0807f82208dc7fb582adfefc7b55e6
