,company,company_address,employment_type,job_category,job_description,job_requirements,job_title,salary_range,salary_type,seniority,url
0,SYNNOVE SYSTEMS PTE. LTD.,"NORDIC EUROPEAN CENTRE, 3 INTERNATIONAL BUSINESS PARK 609927",Contract,Consulting ,"Roles & ResponsibilitiesPosition : SAP BPC Consultant  Mandatory skills - SAP BPC 10.x Relevant year of experience min 4 years Type of project  - Support  Requirements:  Bachelor Degree Strong in communication and presentation skills experience in cross- functional collaboration with IT and Business. Must have certificate and on Sap BI (Business Intelligence), BPC (Business Planning and Consolidation), SAP S4/HANA, and Business Objects. Must have done SAP BW 7.5, SAP BPC 10.1 Embedded S4/HANA, and SAP Business Object 4.1. Must have done SAP BPC 10.1 Embedded Integrated Planning S4/HANA. Strong foundation and a clear understanding and appreciation of BI/DW design and development techniques, as well as associated technical skills and related tools. Knowledgeable in multi-system landscape architecture and integration in modelling, security & authorization, data provisioning, reporting, SAP BW on HANA and HANA Admin. Understand different perspectives in HANA Developer Studio. Develop HANA data models using HANA Studio, including analytical, attribute and calculation views, stored procedures and complex schemas. Install and enhance HANA Live content. Must have 5 experiences in implementation end to end for legal (statutory) and management consolidation, Develop and conduct BI tool training for business power users. Good understanding of filters and parameters in HANA views. Strong in the accounting. Have 5 cycle of implementation of SAP BPC Consolidation for both legal and management consolidation. Have an accounting background for legal consolidation. Able to start work immediately 	    Positions based in Singapore.   ","RequirementsCandidate should possess good soft skills as mentioned below:  Should possess excellent problem solving, and is able to work effectively in a less structured environment and manage time. Excellent verbal and written communication skills Work closely with onsite and offshore team members  Roles & Responsibilities: What impact will you make? We offer a unique and exceptional career experience to inspire and empower talents like you to make an impact that matters for our clients, people and society. Whatever your aspirations, Deloitte offers you unrivalled opportunities to realise your full potential. We are always looking for people with the relentless energy to push themselves further, and to find new avenues and unique ways to reach our shared goals.  So what are you waiting for? Join the winning team now.  Work you’ll do    Provide consulting services during the business case development requirements, planning, design, and implementation in  BI (Business Intelligence), BOBJ (Business Object), BPC (Business and Consolidation) in top down planning, legal, and management consolidation solution with S4/HANA platform. Design BI, BPC, and Business Object, S4/HANA solutions with the strategy, roadmap, architecture, technical, and functional based on the best practise solution. Ensure the integration with S4/HANA ERP and others Non-SAP systems. Provide solution gaps and technical solution for BI, BOBJ (Business Object), and BPC (Business Planning and Consolidation) on S4/HANA. Ability to interact with both SME business and technical stakeholders of the clients to provide the technical solutions. Ability to provide the accounting, business processes, and consolidation advice which align to the proposed solutions to the client and stakeholders. Ability to translate the business goals and requirements SAP solutions through participation in blueprint workshops, facilitating decision on best practice solution, guiding configuration, and facilitating subsequent testing, and providing Go-Live support. Ability to conduct and lead SAP technical and functional related with customer. Develop training and other technical documentation. Conduct the training to key users and business users. Conduct the user acceptance test end to end, until sign-off. Ability to prepare the production by doing transport and liaise with other team for both configuration and other development system. Monitor, maintain, and optimize production system. Investigate and resolve the issues for both technical and functional. Identify opportunities to automate, consolidate, and simply platform by using S4/HANA. Improve the BI and BOBJ governance on the standard, processes, and templates.   ",SAP BPC CONSULTANT,"$5,000to$8,000",Monthly,Professional,https://www.mycareersfuture.sg/job/sap-bpc-consultant-synnove-systems-9e0221ae440ca3aad90366b91959dbd5
1,Company Undisclosed,Unknown,"Contract, Full Time",Information Technology,"Roles & Responsibilities Total Experience of 8 to 11 years which includes on  Informatica (Power center and BDM) with hands on technical experience. Hands on Cognos and Tableau Reporting is also desired·         Minimum of 6 to 8 years of technical hands on experience in Informatica PowerCenter 9.1 or higher and Oracle 11g preferably as Database or other databases such as SQL Server/Teradata etc.·   Approx  5 years experience in Cognos Frame work Manager, Cognos Report Studio and other studios 10.1 preferably . Good to have Cognos 11 Analytics exposure.·         Hands-on knowledge on Informatica PowerCenter 9.1 or higher·         Hands-on knowledge on Unix Shell Scripting, PL/SQL Queries·         2-3 years of Informatica BDM Experience with Cloudera Big Data environment.·         Sound Technical knowledge in writing sql queries and well aware of performance tuning and optimization. Sound knowledge on uage of indexes and other optimization techniques·         Provide technical knowledge of Extract/Transform/Load (ETL) solutions for Business Intelligence projects·         Work closely with project Business Analyst, Data Modeler and Architects to ensure that the end to end designs meet the business and data requirements·         Develop the task plan for ETL developers for a specific project·         Assist in the ongoing development of technical best practices for data movement, data quality, data cleansing and other ETL and Reporting related activities.·         Participation and contribution in quality assurance walk through of ETL and reporting components·         Responsible for the design, development and deployment of List, Cross Tab, Charts, Dashboard and multi-dimensional reports using the Cognos Business Intelligence solution.·         Working with business users to design and develop Cognos BI 10.1 reports using Report Studio , Query Studio with data drill-down and slice-and-dice options·         Support development teams with performance tuning and troubleshooting issues·         Review of ETL and reporting design documents and working closely with Business/Architect team·         Should have good troubleshooting the Joins/performance issues at Cognos Framework Manager level and worked on Star and snow flake schemas designs.·         Understands the range of options and best practices for common ETL design techniques such as change data capture, key generation and optimization·         Perform root cause analysis on all processes and resolve all issues raised by business·         Be able to proactively monitor the overall system from the data load perspective and take appropriate actions to improve the overall implementation and performance·         Should have strong ability to troubleshoot performance and configuration related issues including connectivity issues due to firewalls, load balancers etc.·         Sound knowledge of SDLC, estimations and preparing POC’s as per client needs·         Good to have Telecom Domain experience·         Team handling experience of 10 to 15 resources and preferably direct responsible for their performance cycle , coaching and mentoring the Junior resources for their career growth.·         Good to have Project Management experience ",RequirementsMust have completed completed Bachelor's Degree,Software Consultant,"$6,000to$8,500",Monthly,Senior Executive,https://www.mycareersfuture.sg/job/software-consultant-8df2e0d22f14ec84418afbe29f5923e0
2,Company Undisclosed,Unknown,"Contract, Full Time",Information Technology,"Roles & Responsibilities  5 to 7 years of technical hands on experience in Informatica PowerCenter 9.1 or higher and Oracle 11g preferably as Database or other databases such as SQL Server/Teradata etc. ·Hands-on knowledge on Informatica PowerCenter 9.1 or higher·         Hands-on knowledge on Unix Shell Scripting, PL/SQL Queries·         Sound Technical knowledge in writing sql queries and well aware of performance tuning and optimization. Sound knowledge on uage of indexes and other optimization techniques Provide technical knowledge of Extract/Transform/Load (ETL) solutions for Business Intelligence projects Work closely with project Business Analyst, Data Modeler and Architects to ensure that the end to end designs meet the business and data requirements Develop the task plan for ETL developers for a specific project Assist in the ongoing development of technical best practices for data movement, data quality, data cleansing and other ETL-related activities. Participation and contribution in quality assurance walk through of ETL components Support development teams with performance tuning and troubleshooting issues Review of ETL design documents and working closely with Business/Architect team Understands the range of options and best practices for common ETL design techniques such as change data capture, key generation and optimization Perform root cause analysis on all processes and resolve all issues raised by business Be able to proactively monitor the overall system from the data load perspective and take appropriate actions to improve the overall implementation and performance Should have strong ability to troubleshoot performance and configuration related issues including connectivity issues due to firewalls, load balancers etc. Sound knowledge of SDLC, estimations and preparing POC’s as per client needs Good to have Telecom Domain experience Team handling experience of 10 to 15 resources and preferably direct responsible for their performance cycle , coaching and mentoring the Junior resources for their career growth. ",RequirementsMust have completed Bachelor's Degree.,Senior Software Consultant,"$6,500to$8,500",Monthly,Executive,https://www.mycareersfuture.sg/job/senior-software-consultant-465b209ef859c45aa6aac0edf4b97ba8
3,Company Undisclosed,Unknown,"Contract, Full Time",Information Technology,"Roles & Responsibilities  7 to 8 years of technical hands on experience in Informatica PowerCenter 9.1 or higher and Oracle 11g preferably as Database or other databases such as SQL Server/Teradata etc. ·Hands-on knowledge on Informatica PowerCenter 9.1 or higher·         Hands-on knowledge on Unix Shell Scripting, PL/SQL Queries·         Sound Technical knowledge in writing sql queries and well aware of performance tuning and optimization. Sound knowledge on uage of indexes and other optimization techniques Provide technical knowledge of Extract/Transform/Load (ETL) solutions for Business Intelligence projects Work closely with project Business Analyst, Data Modeler and Architects to ensure that the end to end designs meet the business and data requirements Develop the task plan for ETL developers for a specific project Assist in the ongoing development of technical best practices for data movement, data quality, data cleansing and other ETL-related activities. Participation and contribution in quality assurance walk through of ETL components Support development teams with performance tuning and troubleshooting issues Review of ETL design documents and working closely with Business/Architect team Understands the range of options and best practices for common ETL design techniques such as change data capture, key generation and optimization Perform root cause analysis on all processes and resolve all issues raised by business Be able to proactively monitor the overall system from the data load perspective and take appropriate actions to improve the overall implementation and performance Should have strong ability to troubleshoot performance and configuration related issues including connectivity issues due to firewalls, load balancers etc. Sound knowledge of SDLC, estimations and preparing POC’s as per client needs Good to have Telecom Domain experience Team handling experience of 10 to 15 resources and preferably direct responsible for their performance cycle , coaching and mentoring the Junior resources for their career growth. ",RequirementsMust have completed Bachelor's Degree.,Senior Software Consultant,"$5,500to$7,500",Monthly,Senior Executive,https://www.mycareersfuture.sg/job/senior-software-consultant-06f9f5f42b0982298c495aba350297a8
4,WORKATO PTE. LTD.,71 AYER RAJAH CRESCENT 139951,"Permanent, Full Time",Information Technology,"Roles & ResponsibilitiesRole As a Senior Business Intelligence Analyst, you will hold a highly visible analytical role that requires interaction and partnership with leaders across the businesses. You will be responsible to conceptualize, design, and produce visually compelling business intelligence (BI) reporting solutions (reports, dashboards, cubes, interfaces, etc.) using reporting tools, applications, and queries or scripts through the use of reporting and visualization techniques.  This is a highly impactful and autonomous role where the insights provided will directly impact the bottom line of the business. You will work extensively with product management teams, marketing teams, technical teams, finance, and operations team and help find opportunities to grow the business. You should be an expert with analyzing large data sets, enjoys diving deep into data analysis, discovering root causes, and designing long-term solutions. The candidate should be an effective communicator capable of driving resolutions and communicating insights to non-technical audiences.   Responsibilities   Design and develop metrics, reports, analyses, and dashboards to drive key business and product decisions to improve performance and reduce costs.   Conduct deep-dive data analysis for business insights and recommendation   Collaborate with software engineers to implement the data architecture and design   Combine knowledge of statistical methodology and analysis with programming skills to support complex analyses   Detailed knowledge of data warehouse technical architecture, infrastructure components, ETL and reporting/analytic tools and environments   Strong understanding of software development life cycle and/or agile development environment with emphasis on BI practices   Solid understanding of source data, its strengths, weaknesses, semantics and formats; solid knowledge of logical and physical data modeling concepts (relational and dimensional)   ","Requirements Bachelor's degree in Computer Science, Mathematics, Statistics, Finance, or related technical field  5+ years of years of relevant professional work experience in analytics, data engineering, business intelligence, market research or related field   5+ years of Experience with BI tools with at least 2 years working in Tableau or any other BI tool   Experience gathering business requirements, using industry standard business intelligence tools to extract data, formulate metrics and build reports   Experience using advanced SQL (OLAP, CTE etc) and databases in a business environment with large-scale, big data, complex datasets   Experience identifying and communicating analytical outcomes in person and in writing to both business and technical teams   Experience with statistical modeling and analyzing large data sets     Bonus Points   Experience surfacing automated insights using descriptive analytics   Experience in BI projects converting business needs to data warehousing and reporting solutions   Both technically deep and business savvy enough to interface with all levels and disciplines within the organization   Demonstrated ability to coordinate projects across functional teams, including engineering, marketing, finance, and operations   Experience writing ETL scripts in python or any other language.  ",Senior Business Intelligence Analyst,"$2,000to$10,000",Monthly,Senior Executive,https://www.mycareersfuture.sg/job/senior-business-intelligence-analyst-workato-00f69038a9f8e76daf131e1a6b3fce0c
5,WORKATO PTE. LTD.,71 AYER RAJAH CRESCENT 139951,"Permanent, Full Time","Engineering, Information Technology","Roles & ResponsibilitiesRole We are seeking a talented, self-directed Data Engineer to design, develop, implement, test, document, and operate large-scale, high-volume, high-performance data structures for our business stakeholders. Implement data structures using best practices in data modeling and ETL/ELT processes. Gather business and functional requirements and translate these requirements into robust, scalable, operable solutions that work well within the overall data architecture. Analyze source data systems and drive best practices in source teams. Participate in the full development life cycle, end-to-end, from design, implementation and testing, to documentation, delivery, support, and maintenance. Produce comprehensive, usable dataset documentation and metadata. Evaluate and make decisions around dataset implementations designed and proposed by peer data engineers. Evaluate and make decisions around the use of new or existing software products and tools. Mentor junior data engineers.  The ideal candidate relishes working with data, enjoys the challenge of highly complex technical contexts, and, above all else, is passionate about data and analytics. He/she is an expert with data modeling, ETL design and business intelligence tools and passionately partners with the business to identify strategic opportunities where improvements in data infrastructure creates outsized business impact. He/she is a self-starter, comfortable with ambiguity, able to think big (while paying careful attention to detail) and enjoys working in a fast-paced team. The ideal candidate needs to possess exceptional technical expertise in large scale data warehouse and BI systems with hands-on knowledge on SQL, Distributed/MPP data storage, and AWS services (S3, Redshift, EMR, RDS).   Responsibilities   Design, implement, and support a platform providing ad hoc access to large datasets   Interface with other technology teams to extract, transform, and load data from a wide variety of data sources using SQL   Implement data structures using best practices in data modeling, ETL/ELT processes, and SQL, and Redshift   Build robust and scalable data integration (ETL) pipelines using SQL, Python and Spark   Build and deliver high quality datasets to support business analysis and customer reporting needs   Interface with business customers, gathering requirements and delivering complete data structures  ","Requirements  Bachelor's degree in Computer Science, Computer Engineering, Business Administration, Mathematics or a related field   3+ years of industry experience as a Data Engineer or related specialty (e.g., Business Intelligence Engineer, Data Scientist)   Experience in data modeling, ETL development, and Data warehousing.   Data Warehousing Experience with Oracle, Redshift, Teradata, etc.   Experience providing technical leadership and mentor other engineers for the best practices on the data engineering space   Experience in continually improve ongoing reporting and analysis processes, automating or simplifying self-service support for customers   Experience building data products incrementally and integrating and managing datasets from multiple sources   Experience building/operating highly available, distributed systems of data extraction, ingestion, and processing of large data sets     Bonus Points   Experience leveraging Python, R or Matlab to manipulate data and set up automated processes as per business requirements   Experience with Big Data Technologies (Hadoop, Hive, Hbase, Pig, Spark, etc.)   Experience leading large-scale data warehousing and analytics projects, including using AWS technologies – Redshift, S3, EC2, Data-pipeline and other big data technologies   Strong ability to interact, communicate, present and influence within multiple levels of the organization   Track record of manipulating, processing, and extracting value from large datasets   Excellent communication skills to be able to work with business owners to develop and define key business questions and to build data sets that answer those questions   Master's degree  ",Data Engineer,"$2,000to$10,000",Monthly,Executive,https://www.mycareersfuture.sg/job/data-engineer-workato-ee0013cd49ea74c314c0cb339fdc5047
6,MONEYSMART SINGAPORE PTE. LTD.,"GRANDE BUILDING, 8 COMMONWEALTH LANE 149555",Permanent,Information Technology,"Roles & ResponsibilitiesAbout the job Moneysmart is hiring a Data Team lead to help lead our team of eager data engineers and analysts. Together you and your team will work to build a stable and scalable data infrastructure that will be able to help the business to collect, process and store masses of raw information securely, accurately and efficiently. With all that information on hand, we’ll be looking to you to help us design and build amazing data products to improve user experiences on our Moneysmart sites as well as build up the business intelligence capabilities within our organization. We’re looking for someone who is experienced and has done similar work like this elsewhere before. You will be working closely with people from other departments like Product, Marketing and Strategy to help understand their needs and design solutions that will enable them to deliver on their goals. Examples of this could be:  Onboarding customer data from external systems so further analysis can be conducted on it and we can discover/better understand customer preferences and trends Building a recommendation engine that can recommend products based on user’s past choices, creating a more personalized and desirable experience Creating a near real time reporting platform so that the country managers can get information in a more timely manner to make decisions quickly  To be able to do all these, you’ll need to plan and manage the Data Team’s roadmap well and help prioritize the work that needs to be done so that we can see the awesome impact it could bring sooner rather than later. You will be expected to be technical as well. Being able to build data pipelines, write code and tune database queries will be a requirement since you’ll need to review and vet the work your team has done. The engineers will be looking to you to learn about best practices in building pipelines and running analysis, industry standards on data infrastructure and what clean, maintainable code looks like. The team currently writes most of their code in Python and SQL at the moment (we use R sometimes as well). But fluency in any other Big Data framework language will be highly welcome. Our data engineers and analysts are a smart and talented bunch but they will require leadership and direction from their lead (which is you), someone who has been through the many phases of what it takes to build and maintain a production level data infrastructure, has seen the pitfalls and can help show them the way. Besides providing technical expertise to the team, a core part of this role will be to help mentor and develop the members of your team (as well as other developers in our department) professionally, and work towards creating a conducive environment for developers to thrive, making Moneysmart an ideal place to work and grow your career. If you’re ready to take up the important mantle of become a Data Team Lead in Moneysmart’s Technology department, send us your resume now! We would really love to hear from you.","RequirementsRequirements  6+ years of professional experience building data products Experienced in developing large scale, production, server side Big Data applications Experience with Big Data technologies like Hadoop / Spark / Kafka / HBase / Aerospike/ Elasticsearch Experience in data warehouse data modeling A strong software developer with a passion for technology and scalable world-class software systems Self-motivated, positive-thinking, team player, leader, problem-solver Passion for testing Knowledgeable on modern software development with a preference for Agile methods Ability to build APIs for the data infrastructure  Competencies  Estimate accurately Self motivated Accountable and responsible Follow rules Opinionated but rational  Cultural Competencies  Build a positive team and family spirit Engage, disagree and commit Be humble Do more with less Always pursue learning and growth Stay hungry and take ownership ",Data Team Lead,"$8,000to$140,000",Monthly,Manager,https://www.mycareersfuture.sg/job/data-team-lead-moneysmart-singapore-ad4580da0df279d6bf2cadbedab2f2e5
7,LOVEBONITO SINGAPORE PTE. LTD.,21 TAI SENG DRIVE 535223,Full Time,Others,"Roles & ResponsibilitiesThe role You’ll have front seat experience in impacting women across the globe through fashion and data. You’ll have the opportunity to work across both online and offline data points to come up with actionable insights and wins for us to improve our omnichannel experience. Reporting directly to our Head of Business Intelligence, you will play a pivotal role in championing a data-driven approach in our decision-making.   Main responsibilities   Understand how teams function, business KPIs and the levers interact within the organization so as to develop alongside business leads, the right metrics and supporting reports to value-add to the broader organization   Build reports based on various data sources such as online sales data, website traffic, retail POS, customer segments etc., performing data validation and simple ETL when necessary   Build relevant and engaging visualizations to provide clear visibility and quick and useful insights into the health of the business - across the organization (group and country level) and functions   Ensure high degree of automation when it comes to regularly-tracked reports and dashboards on Tableau   Ability to deep dive to analyze data to interpret patterns, highlight challenges and areas of weaknesses, and suggest actionable solutions and improvements to the business   Ability to slice and dice information and present findings and actionables in a succinct and easy-to-understand way to organization   Support business teams with the required deep dive analysis    ","RequirementsYou should have    Good grasp of the Love, Bonito brand and unique proposition   A self starter with a strong work ethic and ‘get things done’ attitude   A genuine curiosity to know how things work and how to make them better   A knack for analyzing numbers and problem solving through data   A knack for storytelling and translating data into simple human language, to empower the broader organization to understand and leverage data   A high attention to detail   Strong project management skills   Good relationship management and ability to work with other functional teams     Qualifications & Experience   2 to 4 years experience in an Analytics role   Highly proficient in SQL, statistics and Excel   Programming experience in Python or R   Experienced in Google Analytics, or from an e-commerce background.   Experience of Tableau Desktop, Tableau Server, Metabase, AWS Redshift, will be advantageous.   Good communication and organization skills   You enjoy working data and all its faults, benefits and opportunities   A degree or higher in Computer Science, Statistics, Mathematics, Operations Research, Econometrics or related field  ",Business Intelligence Analyst,"$3,000to$6,000",Monthly,Senior Executive,https://www.mycareersfuture.sg/job/business-intelligence-analyst-lovebonito-singapore-8666e87c4f5bdb2a8a65d69255f45001
8,ALPHABIT CONSULTING PTE. LTD.,Unknown,Permanent,Others,"Roles & Responsibilities Extract actionable insights through analyzing large, complex and multi-dimensional data Perform analytical deep-dives to analyze problems and opportunities Translate complex concepts into clear and concise recommendations that directly drive value for the business Research and analyze blockchain based token models and specific tokens Work with cross-functional teams to rapidly execute and iterate ","Requirements Strong SQL skills A strong interest in cryptocurrencies, investment and Fin-tech in general A hard work ethic, a proven track record and passion to succeed in an ever-changing and exciting digital landscape Excellent written and verbal communication skills in Mandarin and English, additional language is highly appreciated Major in Business, Computer Science or Mathematics At least 2 years’ relevant professional experience in a highly analytical role. Preference will be given to applicants with experience in investment banking, PE and consulting Understand what matters most and prioritize ruthlessly Exceptional people skills and ability to collaborate with cross-functional stakeholders Excellent with Excel, Word, PowerPoint and etc. Able to work in a high pressure, team-based, fast paced environment with minimal supervision Global mobility/experience/vision ",Business Intelligence Analyst,Salary undisclosed,Unknown,Junior Executive,https://www.mycareersfuture.sg/job/business-intelligence-analyst-alphabit-consulting-c150a284d959947d84d4fa67c0060963
9,GLOBALDATA PTE. LTD.,"ONE FINLAYSON GREEN, 1 FINLAYSON GREEN 049246",Full Time,Sales / Retail ,"Roles & ResponsibilitiesGlobalData, is a business intelligence company providing premium business information research, services and marketing solutions for senior level decision makers. Through our subscription products, insightful reports, online panels, and industry-leading intelligence platform, GlobalData delivers high quality business information to global audiences. We supply must-have independent content, premium analysis and industry networking opportunities to thousands of senior decision makers.   GlobalData is currently looking for an experienced BDM as an addition to our growing global sales team, representing the GlobalData Energy Sector Practice which covers Oil & Gas (Upstream, Midstream & Downstream), Power Generation (Fossil/Renewables) and Petrochemical. A successful candidate in this fast paced and innovative environment will be able to sell high value information services to an executive-level audience, establish and execute new market entry strategies and train/manage other sales team members in achieving their targeted KPI’s.   Essential Job Functions:    Develop and implement a sales strategy to grow an industry-specific revenue stream Connect and develop business relationships with key stakeholders (senior executives, government agencies, and functional users at clients and prospects) in the Oil & Gas, Power and Petrochemical sectors & Technology Sectors Conduct sales conversations to identify and qualify prospective customers and recording sales prospecting activity in Salesforce CRM Liaise with internal stakeholders to drive the direction and output of our Energy Practice content and coverage for local audiences Achieve sales targets both on new business and account retention KPI’s via effective sales pipeline management  for APAC   Represent GlobalData at relevant international events in the Energy sector and Technology Sector Carry out account review/renewal calls at regular intervals with Key Account clients   ","RequirementsJob Qualifications Include:    Business Development experience with specialization in Energy and Technology Sector Experience across both new client sales and account renewal sales in the Energy and Technology sector Experience in new market entry strategy development Strong understanding of subscription based services and solution selling Excellent communication skills, especially the ability to articulate a compelling message and influence, persuade and negotiate with all levels of people to achieve win-win situations Excellent presentation and negotiation skills Effective prioritization and time management skills Proficient in MS Office Suite Experience with Salesforce.com or similar CRM applications Bachelor’s Degree Required ","Business Development Manager, APAC  – Energy Practice","$70,000to$80,000",Annually,Senior Executive,https://www.mycareersfuture.sg/job/business-development-manager-apac-%E2%80%93-energy-practice-globaldata-5fd013bc30b6c705b86a2404f33ac1dd
