,company,company_address,employment_type,job_category,job_description,job_requirements,job_title,salary_range,salary_type,seniority,url
0,PEOPLE PROFILERS PTE. LTD.,"SHAW TOWERS, 100 BEACH ROAD 189702",Permanent,Information Technology,Roles & Responsibilities Fast expanding company  Work with cutting edge technologies Central location Competitive salary based on experience  Role:  Developing scalable processes for large-scale data analysis and model development Apply machine learning to model complex business trends Project management Guide junior members Keep up to date with new technologies ,"RequirementsRequirements:  Master’s degree in Computer Science, Data Analytics or similar At least 3 years related work experience Previous experience in deep learning/machine learning/AI Very familiar with Python & Java, & Linux architecture  Interested applicants may wish to email your resume in a detailed Word format to ruth.gan@peopleprofilers.com. Please include last drawn and expected salaries and notice period. We regret that only shortlisted candidates will be notified.   Gan Huiru  Recruitment Consultant  Tel: +65 6594 9897 Fax +65 6835 7890  Address: 100 Beach Road #33-06 Shaw Tower Singapore 189702 Email: ruth.gan@peopleprofilers.com EA License Number: 02C4944 Registration Number: R1768917","Machine Learning Engineer (AI / Python, Java)","$5,000to$9,000",Monthly,Senior Executive,https://www.mycareersfuture.sg/job/machine-learning-engineer-people-profilers-86ca09b7c18737a29fe5afad398348ca
1,ALLEGIS GROUP SINGAPORE PRIVATE LIMITED,"SUNTEC TOWER FIVE, 5 TEMASEK BOULEVARD 038985",Contract,Marketing / Public Relations ,"Roles & Responsibilities Program management   Portfolio planning process: Support category and device account teams to land the right Modern device portfolios and assortment in markets by driving the regional portfolio planning process including:     Consumer Portfolio development Gathering device level and market insights Follow through and close regional Portfolio gaps identified by sub-regional teams with key team stakeholders     Data Analysis & Insights   Drive deep analysis and insights (with potential recommendations) in to market, retailer and OEM/device assortment performance and trends   Business Planning/Operations “Rhythm of the Business”  Lead Full Windows Consumer category operational rhythms    Drive overall category meeting rhythm including: seasonal cycle planning, FY planning, OEM account alignment, monthly business updates with sub-regional teams Monthly Business Updates/Sales Room Calls Fiscal Year (FY) planning – Support Annual Planning motions in April – June timeframe to build integrated annual Windows Category plans     Business Management   Budgets: Marketing Budget management and owner driving:    Windows Category marketing budget spend and ROI analysis for regional and sub-regional budgets Consolidate, integrate and analyze marketing spend details Manage and track IOs and POs regularly, and flag under/overspend activities Manage timely accrual on monthly and quarterly basis. Follow quarterly financial accountability & timelines and work closely with regional/sub/Corp Finance and Channel/Device Marketing teams to align on spend performance and key regional timelines.  Drive bi-annual marketing budget setting process, tied to Activation targets   Targets:    Help drive bi-annual target setting process for Activation KPIs with sub-regions and corp.  This includes core KPIs (Total New PC activations, Modern activations), breaking down in to OEM account level activations, seasonality, market/historical analysis, and effectively tracking and monitoring performance vs targets Provide timely feedback and insights     ","Requirements Bachelor’s degree (BA/BS or Marketing) or equivalent. 4-6 years of related experience in marketing, project or business management Demonstrated partner/channel experience within the technology industry   Experience with retail partners and/or category management is a plus Excellent quantitative and analytic skills (strong MS Excel knowledge is a must.  Power BI analytics a plus) Some travel will be required (1-2 times a quarter)  Skills:  Strong project management skills Excellent communication skills to work in a diverse, cross organizational environment ",Business Operations and Program Manager – Windows Category Lead,"$4,000to$5,000",Monthly,Executive,https://www.mycareersfuture.sg/job/business-operations-program-manager-%E2%80%93-windows-category-lead-allegis-group-singapore-0ee9412447aa59d3cac9a6c44ca6c476
2,MACHSPEED HUMAN RESOURCES PTE. LTD.,"GOLDEN WALL CENTRE, 89 SHORT STREET 188216",Permanent,Engineering,"Roles & ResponsibilitiesEngineering Assistant-QA (S$1800-2000+OT, Day Shift, West) Working Hours: Day Shift (8am-8pm12 hours) in Cleanroom Environment Working Day    : 15 days / Month Salary               : $1800-2,000 + AWS + VB, Shift and Meal Allowance Location           : Pinoeer, Shuttle bus provided   Responsibilities:  Assist investigation/data analysis for any customer claims Handle customer audit and preparation of checklist Work closely with other department to development of process improvement projects. Ensure compliance to ISO standard Other ad- hoc duties as required by superior    ","RequirementsRequirements  Minimum Diploma in Mechanical, Electrical Engineering, Chemical or other related Science & Engineering discipline Self-motivated, independent and able to contribute as a team player Working Hour: 8am-8pm (12 hours day shift) Able to work in cleanroom environment Working Location: Pioneer (Company provides island-wide transport to and fro company)    We thank you for your interest in this position, applicants with relevant experience please send Microsoft word resume with expected salary to apply@machspeed.com.sg and attention to Bingcheng for faster processing, alternatively, please visit https://www.facebook.com/MachspeedHR for more jobs available, thank you. Thank you very much. Agency License No. 12C6200 EA Registration No: R1437671   ","Engineering Assistant-QA (S$1800-2000+OT, Day Shift, West)","$1,800to$2,000",Monthly,Non-executive,https://www.mycareersfuture.sg/job/engineering-assistant-qa-machspeed-human-resources-c18dd9c78f5f92f29737ee72f65063f6
3,UPS ASIA GROUP PTE. LTD.,"UPS HOUSE, 22 CHANGI SOUTH AVENUE 2 486064",Permanent,Logistics / Supply Chain,"Roles & ResponsibilitiesSummary The Data Engineer will be responsible for expanding and optimizing the data and data pipeline architecture, data flow and collection for the Data Science team and creating API’s to integrate the models with production systems. The ideal candidate is an experienced data pipeline builder and data wrangler who enjoys optimizing data systems and building them from the ground up. The Data Engineer will support the data analysts and data scientists on data initiatives and will ensure optimal data delivery architecture is consistent throughout ongoing projects. Responsibilities:  Create and maintain optimal data pipeline architecture. Assemble large, complex data sets from multiple data sources that meet functional / nonfunctional business requirements. Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and no SQL technologies. Develop data features that will serve as inputs to AI/Machine Learning/OR techniques. Build analytics tools that utilize the data pipeline to provide actionable insights into key business performance metrics. Develop data design based on exploratory data analysis to meet stated business need. Develop procedures to monitor model and production system performance/integrity. Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc. Review and create repeatable solutions through written project documentation, process flowcharts, logs, and commented clean code to produce datasets that can be used in analytics and/or predictive modeling. Act as subject matter expert with investigating and evaluating emerging technologies. Articulate potential competitive market benefits of new technologies to senior management. Maintain broad understanding of implementation, integration, and interconnectivity issues with emerging technologies. ","RequirementsSkills and Qualifications  Possess a Bachelor’s Degree or Master’s Degree in Computer Science, Information Systems or related discipline. Minimum 2 years of relevant experience in similar capacity using software/tools for big data, SQL and NoSQL databases and object oriented/object function scripting languages. Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases. Experience building and optimizing ‘big data’ data pipelines, architectures and data sets. Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement. Strong analytic skills related to working with structured and unstructured datasets. A successful history of manipulating, processing and extracting value from large disconnected datasets. Possess solid project management and organizational skills. Prior experience in supporting and working with cross-functional teams in a dynamic environment. ",APAC Data Engineer,"$5,256to$7,008",Monthly,Senior Executive,https://www.mycareersfuture.sg/job/apac-data-engineer-ups-asia-group-f570cad2f586ebfa9a8660768a61ee6c
4,GROUPM ASIA PACIFIC HOLDINGS PTE. LTD.,"CHINA SQUARE CENTRAL, 18 CROSS STREET 048423","Permanent, Full Time",Information Technology,"Roles & ResponsibilitiesOverview of job  The GroupM Support Analyst is responsible for executing procedures to test, implement, support and maintain GroupM APAC’s solutions in the domain of Media Trading. The focus of this position will be to provide excellent end-user service, training, demo and technical support to APAC user base. This will include: promote and champion the application in the region, provide first and second level technical support for new releases and daily operations, actively participating in user acceptance testing, build end user training materials, lead end user training sessions, assist teams throughout the implementation process, contribute to the end user support portal and gather user requirements for the support and project team. This specific opening is for the Media Trading Data Warehouse and Reporting Systems team whose responsibilities cover a group of traditional and digital media trading applications, data warehouse, reporting and visualization platforms. Reporting of the role This role reports to the Programme Director, Media Trading Data Warehouse and Reporting Systems, Asia Pacific Technology 3 best things about the job: 1.       Being the proxy to business and working in technology group, you get to play an influencing role on how technology solutions can, not only, meet the business requirements but also to shape the way business operates. 2.       You get to obtain insights on the latest trends in media industry through data. 3.       You get to wear jeans to work and talk to the coolest guys in the industry across the region. Measures of success – In three months, you would have:  ·         been up to speed with what our existing solutions can offer and articulate well to all stakeholders ·         had a good grasp on our technology landscape at both conceptual and operational level ·         been able to conduct demo and provide first level support In six months, you would have: ·         been able to conduct second level support and training ·         been able to understand technology solutions in a more intimate levels so that you can provide opinions and engage a deeper conversation with the technical delivery team In 12 months, you would have: ·         been able to lead and drive training plan independently ·         been able to mentor support analyst from local markets across the region   Responsibilities of the role: Support & Training ·         Become an expert end user of media trading applications. Develop in-depth and comprehensive knowledge of the functionality available; champion the products in the region. ·         Provide excellent end-user service to the user base in 12 markets in APAC, actively working to provide solutions to business challenges. ·         Attempt to analyse the cause of all problems and either provide the end users with a solution, workaround, or escalate the issue to third level support in Delivery Team ·         Verify, manage, track and regularly communicate the status of issues reported between the user base in the region and the support team. ·         Conduct basic and advanced hands-on training and demo sessions for end users and be the primary point of contact in the region; providing daily support, troubleshooting, configuration, installation and super user training for Media Trading Applications.   Analysis & Implementation ·         Obtain a thorough understanding of media trading and reporting processes and requirements. Work with teams throughout the implementation process; advise on best practices, create implementation documents, client guidelines, provide training and regular follow-up. ·         Help define, build and configure all of our products to a high standard. ·         Liaise with end user representatives to identify, quantify and document requirements ·         Develop a thorough understanding of user demands, usability and functional issues in APAC. Consolidate and prioritize issues, relaying requirements to the Delivery Team.   Testing & Documentation ·         Actively participate in the evaluation and testing of new releases. Also work to engage and guide business users to test new releases of Media Trading Applications. ·         Provide support during new releases and communicate new release information to the user base, providing training and end user documentation on new features. ·         Assist in building end user training materials (syllabus, handouts, FAQ’s, guides etc.) and regularly update end user documents drawing on user feedback for the appropriate applications. ·         Contribute to the Media Trading Data Warehouse and Reporting Systems end user support portal to facilitate knowledge sharing and enable end-users to become more self-reliant.   What you will need: Essential  Knowledge on relational database and ability to understand and craft entity relationship diagrams Ability to write moderately complex SQL query statements for data analysis Knowledge on how data integration and interfaces between multiple systems work Experience working with enterprise BI tools such as Tableau, Power BI  ·         Self-starter with positive and proactive attitude ·         Ability to rapidly learn new IT systems and tools ·         Excellent end-user facing, presentation, interpersonal and communication skills ·         Highly focused on customer service. ·         Ability to work to deadlines and manage multiple concurrent tasks while maintaining attention to detail ·         Bachelor’s degree is required with a minimum of 6 years professional experience. ·         Good command of English ·         Ability to travel internationally and hold a valid passport is required. ·         Ability to work on own initiative and as a team player   Desirable  Well versed in data warehousing concepts and issues Knowledge on data modelling – relationship and dimensional Experience in media or advertising industry Knowledge on agile project methodology Experience in Microsoft SSIS and/or SSAS and/or .NET C# Fluency in Bahasa Indonesia and Mandarin or one other Asian language       ","RequirementsEssential  Knowledge on relational database and ability to understand and craft entity relationship diagrams Ability to write moderately complex SQL query statements for data analysis Knowledge on how data integration and interfaces between multiple systems work Experience working with enterprise BI tools such as Tableau, Power BI  ·         Self-starter with positive and proactive attitude ·         Ability to rapidly learn new IT systems and tools ·         Excellent end-user facing, presentation, interpersonal and communication skills ·         Highly focused on customer service. ·         Ability to work to deadlines and manage multiple concurrent tasks while maintaining attention to detail ·         Bachelor’s degree is required with a minimum of 6 years professional experience. ·         Good command of English ·         Ability to travel internationally and hold a valid passport is required. ·         Ability to work on own initiative and as a team player Desirable  Well versed in data warehousing concepts and issues Knowledge on data modelling – relationship and dimensional Experience in media or advertising industry Knowledge on agile project methodology Experience in Microsoft SSIS and/or SSAS and/or .NET C# Fluency in Bahasa Indonesia and Mandarin or one other Asian language   ","Support Analyst, Media Trading Data Warehouse and Reporting Systems - Application Support Analyst","$4,500to$5,500",Monthly,Senior Executive,https://www.mycareersfuture.sg/job/support-analyst-media-trading-data-warehouse-reporting-systems-application-support-analyst-groupm-asia-pacific-holdings-caf7f9cf6ac488cfa6d5027baedb43ba
5,A*STAR RESEARCH ENTITIES,"UOB PLAZA, 80 RAFFLES PLACE 048624","Contract, Full Time",Sciences / Laboratory / R&D,"Roles & ResponsibilitiesA Bioinformatician research fellow (postdoctoral) position is available in Dr Jinmiao Chen’s Single-Cell Computational Immunology (SCCI) lab. The position will perform single-cell RNA-seq data analysis and derive knowledge from the data by applying state-of-the-art tools or developing novel computational methods. The analytical scope may include data pre-processing, quality control to remove low quality cells, normalization/batch effect correction, dimensionality reduction, clustering analysis, automatic cell type identification, cell lineage and pseuedotime inference, cell-to-cell interactions, integration of heterogeneous datasets and data types, building human single-cell atlas, and etc. The work will involve a wide range of exciting and cutting-edge research projects including human cancer immunology (ex Leukemia, Gasstric Cancer, Lung Cancer, etc), infectious diseases (ex TB, Dengue, HIV, HBV, etc), autoimmune diseases (ex SLE, psoriasis, atopic dermatitis, etc), and fundamental research to understand immune system (ex. heterogeneity, origins and functions of dendritic cells, macrophages, T cells, B cells and etc). Where existing computational methods are not adequate to handle the data, the candidate will have the opportunity to develop novel methods under the Principal Investigator’s supervision and with help from other lab members. The lab is currently focusing on developing Single-Cell Big Data & Artificial Intelligence framework and several AI analytical tools under development are to be released in near future. The candidate will have the opportunity to work in a collaborative environment, interact with excellent scientists from multiple disciplines, and grow rapidly in both biological and computational knowledge and skills. The position will have the opportunity to publish first-authored and co-authored papers in high-impact journals and international conferences, as well as patent publication and potential commercialization of the tools to be developed. In addition, the candidate will have the opportunity to work with MNC pharmaceutical companies via industrial collaborations.  Single-cell analysis of crosstalk between tumor, immune cells and pathogens in gastric cancer Mapping hematopoietic lineages of healthy and high-risk acute myeloid leukemia patients with FLT3-ITD mutations using single-cell omics Develop computational methods for analysing single-cell data Collaborate with other labs and provide data analysis on various projects ","Requirements PhD in any of computational biology, bioinformatics, biostatistics, computer science/engineering, mathematics or related fields Programming skills using any of R/python/perl/shell script/C++/Matlab/Java or similar Experience in analysis of NGS, or single-cell RNA-seq data (preferred) Machine learning and AI background (optional) Data management, database design and implementation (optional) Self-motivated with internal drive Able to work under supervision and autonomously/independently Good team player, with good interpersonal skills ","Research Fellow (Bioinformatics, SCCI Lab, SIgN  /  A*STAR","$4,500to$9,000",Monthly,Fresh/entry level,https://www.mycareersfuture.sg/job/research-fellow-bioinformatics-scci-lab-sign-astar-astar-research-entities-10db1df4dc570a54309e32a3649f08c4
6,WORKATO PTE. LTD.,71 AYER RAJAH CRESCENT 139951,"Permanent, Full Time",Information Technology,"Roles & ResponsibilitiesRole As a Senior Business Intelligence Analyst, you will hold a highly visible analytical role that requires interaction and partnership with leaders across the businesses. You will be responsible to conceptualize, design, and produce visually compelling business intelligence (BI) reporting solutions (reports, dashboards, cubes, interfaces, etc.) using reporting tools, applications, and queries or scripts through the use of reporting and visualization techniques.  This is a highly impactful and autonomous role where the insights provided will directly impact the bottom line of the business. You will work extensively with product management teams, marketing teams, technical teams, finance, and operations team and help find opportunities to grow the business. You should be an expert with analyzing large data sets, enjoys diving deep into data analysis, discovering root causes, and designing long-term solutions. The candidate should be an effective communicator capable of driving resolutions and communicating insights to non-technical audiences.   Responsibilities   Design and develop metrics, reports, analyses, and dashboards to drive key business and product decisions to improve performance and reduce costs.   Conduct deep-dive data analysis for business insights and recommendation   Collaborate with software engineers to implement the data architecture and design   Combine knowledge of statistical methodology and analysis with programming skills to support complex analyses   Detailed knowledge of data warehouse technical architecture, infrastructure components, ETL and reporting/analytic tools and environments   Strong understanding of software development life cycle and/or agile development environment with emphasis on BI practices   Solid understanding of source data, its strengths, weaknesses, semantics and formats; solid knowledge of logical and physical data modeling concepts (relational and dimensional)   ","Requirements Bachelor's degree in Computer Science, Mathematics, Statistics, Finance, or related technical field  5+ years of years of relevant professional work experience in analytics, data engineering, business intelligence, market research or related field   5+ years of Experience with BI tools with at least 2 years working in Tableau or any other BI tool   Experience gathering business requirements, using industry standard business intelligence tools to extract data, formulate metrics and build reports   Experience using advanced SQL (OLAP, CTE etc) and databases in a business environment with large-scale, big data, complex datasets   Experience identifying and communicating analytical outcomes in person and in writing to both business and technical teams   Experience with statistical modeling and analyzing large data sets     Bonus Points   Experience surfacing automated insights using descriptive analytics   Experience in BI projects converting business needs to data warehousing and reporting solutions   Both technically deep and business savvy enough to interface with all levels and disciplines within the organization   Demonstrated ability to coordinate projects across functional teams, including engineering, marketing, finance, and operations   Experience writing ETL scripts in python or any other language.  ",Senior Business Intelligence Analyst,"$2,000to$10,000",Monthly,Senior Executive,https://www.mycareersfuture.sg/job/senior-business-intelligence-analyst-workato-00f69038a9f8e76daf131e1a6b3fce0c
7,TALENT SPOT GROUP PRIVATE LTD.,6 RAFFLES QUAY 048580,Full Time,"Engineering, Information Technology, Manufacturing, Others","Roles & ResponsibilitiesAs a Snr Product Engineer (Power / Performance), you will be responsible for but not limited to:  Oversee new device characterization, circuit sensitivity analysis, interpret findings, root-cause analysis, and/or provide mitigation actions. Work with various teams and test engineers to determine root cause resolution for device failures, optimization of power & performance feature settings, silicon speed path etc Validate new device features and test/DFT methodologies, and implement them in production flow. Foster and develop new ideas/concepts in device test/debug/DFT/DFM and follow-through to deliverable outcomes.   Plan and coordinate (data analysis, debug, root-cause, implementing solutions) yield improvement activities. Lead effort to optimize product positioning to meet business requirements. Develop and Apply Test and Debug techniques to enhance technical depth in Product Engineering. Other duties as assigned ","RequirementsRequired Skills Sets  A recognized Degree in Electrical and Electronic Engineering / Computer Engineering or equivalent 8 - 10 years of relevant experience Experienced in power management features used in ASICS Experienced in silicon speed paths Experienced in microprocessors and semicon industries Familiar with process technology on FEOL and BEOL and usage of fab parametrics to correlate with yield. Familiar with DFT and ATE test methodologies. Knowledge in 6 sigma and other correlation techniques such as Sum of Square / Anova / Linear Regression, etc  Team player with excellent interpersonal and communication skills    We regret that only short-listed applicants will be contacted for a discussion.",Snr Product Engineer (Power  /  Performance),Salary undisclosed,Unknown,Senior Executive,https://www.mycareersfuture.sg/job/snr-product-engineer-talent-spot-group-8ff7d0758f97ce34974cf858057409a3
8,REDA PRODUCTION SYSTEMS (A DIV OF RESERVOIR PDT MFG (S) P/L),"JURONG, 7 BENOI CRESCENT 629971",Permanent,Manufacturing,"Roles & ResponsibilitiesJob summary: The QC Final Test Technician is responsible for the proper exercise of QHSE Policy and Procedures required by Schlumberger and safely performing testing operations and inspection in line with specifications, standards and procedures in meeting test schedule per customers’ delivery time. The position will reports to QC Supervisor. Essential Responsibilities and Duties:  QHSE Responsibility: Comply with Schlumberger QHSE Applying 5S+2 in QC work area environment and participation in continual quality improvement program. Carry out test procedures according to written procedures and directives. Ensure testing operations are performed safely in the testing facility. Monitor inspection and testing instruments, equipment and tooling recalibration requirements to ensure all are calibrated and maintained to an applicable standard. Basic quality data analysis under QC engineer’s instruction. Perform various other duties assigned by quality control supervisor within the physical constraints of the job.  ","RequirementsRequirements: •Minimum NTC-2/3 Certificate in Mechatronics or Electrical Engineering •Three year of related experience from a manufacturing environment or calibration of electronic instruments •PC knowledge in email, Microsoft Words & Excel. •Basic electrical safety knowledge. •Must be able to work two/three rotating shifts. Able to work overtime as and when requested. •Physically fit to perform heavy-duty tasks •Working experience with high-pressure system is an added advantage. •Good communication skills, fluency in English (spoken and written) is required",Quality Control Technician,"$2,300to$3,000",Monthly,Non-executive,https://www.mycareersfuture.sg/job/quality-control-technician-reda-production-systems-pl-90cd3427ef069ec7c97e4b3b1858735f
9,GROUPM ASIA PACIFIC HOLDINGS PTE. LTD.,"CHINA SQUARE CENTRAL, 18 CROSS STREET 048423",Full Time,Others,"Roles & ResponsibilitiesXaxis Singapore Overview of job   Xaxis is an agency of GroupM, the world’s largest media investment company and are a part of WPP. In fact, we are responsible for one in every three ads you see globally. We are currently looking for a Data Science Manager to join us. We are looking for a Data Scientist who will support our analytics, product team, sales, and marketing teams with insights gained from analysing a multitude of data sources across the programmatic advertising space. The ideal candidate is adept at using large data sets to find opportunities for campaign optimization and using models to test the effectiveness of different courses of action. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets, working with stakeholders to improve business outcomes, and effectively communicating their ideas and solutions to the wider organisation. At GroupM APAC, our people are our strength, which is why fostering a culture of diversity and inclusion is important to us. Reporting of the role This role reports to: Director, of Marketing Science APAC in Singapore  3 best things about the job:  Ability to work collaboratively with global data engineering, data science, and product teams Ability to experiment with new technologies / algorithms to solve business needs Ability to be involved in the forefront of the AdTech industry    In this role, our Manager, Data Science APAC will take the lead in the brainstorming and development of custom bidding algorithms for key clients across APAC.  You will provide guidance and direction on the ideal application of our data platforms, enabling our regional teams to leverage the data and outputs into actionable and insightful visualisations. The role of Manager, Data Science APAC will, put simply, ‘make data happen’ for Xaxis – and is a key role given the growth of data-driven marketing, and the key opportunity for programmatic media in this space.  Your success will lie in your capability to leverage; disparate data sets, multiple platforms, and multiple stakeholders, while delivering high quality actionable solutions to our regional and local teams. In three months:   You will have a firm understanding of where Xaxis “data” resides, it’s value, and be able to access it with ease You will understand the internal processes, products, and services Xaxis provides to its clients and how your role ties into that value chain      In six months:  You will be part of internal innovation projects and initiatives where you will begin to provide actionable recommendations on the usage of our data You will understand how Xaxis data can be leveraged to solve problems and where to go to find the required pieces of information. You will become confident in your capabilities and be able to independently support regional and local markets on their requests and problems  In 12 months:  You will become a central decision maker and point of contact for future developments and investments in the space of data science at Xaxis APAC You will take part in global hackathons where you will be provided opportunities to expand your skillsets and ingest ideas from other regional teams, leveraging those ideas for the APAC markets   What your day job looks like at Xaxis:  Custom Algorithm Brainstorming and Development: Act as the marketing science lead for custom algorithm development as part of the internal Xaxis Copilot team Innovation and Development of Marketing Science Products and Processes: Take the lead in developing new ways to “look at data” and help build our portfolio of analytics capabilities by leveraging our data and tools.   Product Development, Product & Strategy Testing: Be the key point of contact in the marketing science team for our APAC product team, to assist in development and testing Programmatic Analytics Platform Management: Manage the end to end process of analytics strategy, tagging, and monitoring for our ([m]Platform) internal analytics platform for key clients across APAC    Minimum qualifications: The ideal candidate will hold a bachelors or master’s degree in statistics, mathematics, business analytics, and or computer science with a minimum of 4 years’ experience, preferably in the advertising / marketing industry.  You will a need deep understanding of supervised, unsupervised, and dimension reduction machine learning techniques and be familiar with CRISP-DM methodology.  You will also need to be proficient in R, Python, and be able to easily extract data via API calls and from SQL databases (ETL).  Additionally, this role will require you to have a solid understanding of statistics, and be able to conduct statistical tests.   Most importantly, we are looking for someone that is a great collaborator, communicator, and team player.   Other Skillsets Desired:  Familiar with Web Scraping Familiar with Amazon Web Services (e.g. EC2, S3, Redshift) Familiar with Google Cloud Platform (e.g. Compute Engine, BigQuery, Cloud Storage) Familiar with Spark Familiar with R Shiny Familiar with advanced analytics techniques for programmatic advertising Elementary proficiency in HTML and JavaScript  More about Xaxis Xaxis is The Outcome Media Company. It combines advanced artificial intelligence with proprietary data and proven expertise to optimize programmatic media investments and achieve improved, verifiable results for its clients. Xaxis offers managed programmatic services in 47 markets including North America, Europe, Asia Pacific, Latin America, the Middle East, and Africa. For more information, visit www.xaxis.com About Singapore  GroupM Singapore operates in one of the most dynamic and exciting environments in the world. Although it is a small domestic market, there is a vibrant media industry which is undergoing rapid evolution as digital technology reshapes the way marketing supports advertisers’ needs. Being at the crossroads of Asia means that aside from the local clients and media owners, we also have a high proportion of multi-national clients and media owners. As the largest media investment management company in Singapore with over 41% market share (Recma) and over 650 employees, GroupM Singapore is the premiere organisation to join and develop a career in.","RequirementsXaxis Singapore  What your day job looks like at Xaxis:  Custom Algorithm Brainstorming and Development: Act as the marketing science lead for custom algorithm development as part of the internal Xaxis Copilot team Innovation and Development of Marketing Science Products and Processes: Take the lead in developing new ways to “look at data” and help build our portfolio of analytics capabilities by leveraging our data and tools.   Product Development, Product & Strategy Testing: Be the key point of contact in the marketing science team for our APAC product team, to assist in development and testing Programmatic Analytics Platform Management: Manage the end to end process of analytics strategy, tagging, and monitoring for our ([m]Platform) internal analytics platform for key clients across APAC    Minimum qualifications: The ideal candidate will hold a bachelors or master’s degree in statistics, mathematics, business analytics, and or computer science with a minimum of 4 years’ experience, preferably in the advertising / marketing industry.  You will a need deep understanding of supervised, unsupervised, and dimension reduction machine learning techniques and be familiar with CRISP-DM methodology.  You will also need to be proficient in R, Python, and be able to easily extract data via API calls and from SQL databases (ETL).  Additionally, this role will require you to have a solid understanding of statistics, and be able to conduct statistical tests.   Most importantly, we are looking for someone that is a great collaborator, communicator, and team player.   Other Skillsets Desired:  Familiar with Web Scraping Familiar with Amazon Web Services (e.g. EC2, S3, Redshift) Familiar with Google Cloud Platform (e.g. Compute Engine, BigQuery, Cloud Storage) Familiar with Spark Familiar with R Shiny Familiar with advanced analytics techniques for programmatic advertising Elementary proficiency in HTML and JavaScript ",Data Science Manager - Analytics Manager,"$4,000to$7,000",Monthly,Manager,https://www.mycareersfuture.sg/job/data-science-manager-analytics-manager-groupm-asia-pacific-holdings-5686cc3415838b170e1681edb551e84e
