,company,company_address,employment_type,job_category,job_description,job_requirements,job_title,salary_range,salary_type,seniority,url
0,SANDBOX CONSULTING PTE. LTD.,"TRIVEX, 8 BURN ROAD 369977","Permanent, Contract, Full Time",Information Technology,"Roles & ResponsibilitiesCollaborate with stakeholders to understand their needs/pain points to design solutions to be used for streamlining operations or developing solutions for citizens  Build and manage entire end-to-end lifecycle of scoping of data inputs, data cleaning and preprocessing, feature engineering, building models, deploying to production and improving models by iterations  Contribute to the data architecture engineering decisions to support analytics","RequirementsUnderstand key concepts, techniques and considerations in machine learning and data analytics  Experience with implementing variety of predictive modeling algorithms/recommender systems  Expert in Feature Selection/Extraction on a variety of data types  Good to have experience with cloud deployments of ML models using AWS/GCP/Azure for training and as API endpoints to support production use cases",Data Analyst,"$6,000to$6,500",Monthly,Professional,https://www.mycareersfuture.sg/job/data-analyst-sandbox-consulting-5713cadaebb8b5aaf74163a35e16dd38
1,SANDBOX CONSULTING PTE. LTD.,"TRIVEX, 8 BURN ROAD 369977","Permanent, Contract, Full Time",Information Technology,"Roles & Responsibilities Design, build, launch and maintain efficient and reliable large-scale batch and real-time data pipelines with data processing frameworks  Integrate and collate data silos in a manner which is both scalable and compliant  Collaborate with Project Manager, Frontend Developers, UX Designers and Data Analyst to build scalable data-driven products  Responsible for developing backend APIs & working on databases to support the applications  Working in an Agile Environment that practices Continuous Integration and Delivery  Working closely with fellow developers through pair programming and code review process","Requirements Experience and passion for data engineering in a big data environment using Cloud platforms - AWS, GCP or Azure  Experience with building production-grade data pipelines, ETL/ELT data integration  Interested in being the bridge between engineering and analytics  Knowledgeable about system design, data structure and algorithms  Familiar with data modelling, data access, and data storage infrastructure like Data Mart, Data Lake, and Data Warehouse.",Data Engineer,"$5,500to$6,000",Monthly,Professional,https://www.mycareersfuture.sg/job/data-engineer-sandbox-consulting-25654d51fa59534e3ac5d5e283830ea1
2,Company Undisclosed,Unknown,"Permanent, Contract, Full Time",Information Technology,"Roles & Responsibilities- Assist with the design and implementation of sourcing strategies including project plans, stakeholder engagement and benefits tracking - Perform market dynamics analysis, product analysis and supplier review for assigned categories - Support, gather requirements and provide input for the delivery of RFx processes for procurement projects including tender management, supplier evaluations and negotiations  - Collect and corroborate data and prepares presentations on market conditions for communications to internal stakeholders - Perform historical spend analysis for reporting and to support future demand-supply planning including collating data from all BUs to aggregate demand - Update catalogues by coordinating with procurement technology and suppliers  - Assist with developing sourcing plan and defining target benefits - Assist with monitoring overall savings, rebates of all categories in scope - Conduct periodic monitoring and review of supplier performances against KPIs/SLAs as per contract - Liaise with reporting team to identify new categories for COE to manage - Build relationship with business users to develop insights of other potential categories",Requirements- Bachelors of Engineering / Supply Chain - 5 - 8 years of experience in Procurement and / or Supply Chain Management    License Number: 12C6060,"Systems and Data Analyst, Manager (Procurement) (Ref 22672)","$4,500to$9,000",Monthly,"Middle Management, Manager, Professional",https://www.mycareersfuture.sg/job/systems-data-analyst-manager-8258bc679291c6770a417b55ffab1329
3,Company Undisclosed,Unknown,"Contract, Full Time",Information Technology,"Roles & Responsibilities Design, build, launch and maintain efficient and reliable large-scale batch and real-time data pipelines with data processing frameworks Integrate and collate data silos in a manner which is both scalable and compliant Collaborate with Project Manager, Frontend Developers, UX Designers and Data Analyst to build scalable data-driven products Responsible for developing backend APIs & working on databases to support the applications Working in an Agile Environment that practices Continuous Integration and Delivery Working closely with fellow developers through pair programming and code review process ","Requirements Experience and passion for data engineering in a big data environment using Cloud platforms - AWS, GCP or Azure Experience with building production-grade data pipelines, ETL/ELT data integration Interested in being the bridge between engineering and analytics Knowledgeable about system design, data structure and algorithms Familiar with data modelling, data access, and data storage infrastructure like Data Mart, Data Lake, and Data Warehouse.   ",Data Engineer,"$5,000to$7,000",Monthly,Executive,https://www.mycareersfuture.sg/job/data-engineer-e7c30aceb1ee80d8f68c4ee5f5de9e98
4,DBS BANK LTD.,Unknown,"Permanent, Full Time",Banking and Finance,"Roles & ResponsibilitiesJob Purpose The data analyst will provide the big data analytic support to the Analytic Center of Excellence. He will partner with business and project leader to discover, analyse and process the data to develop analytic and data science solutions. This position allows those with strong data analytic skill and theoretical understanding of advanced analytic algorithms but lack of hands on experience in advanced analytics to learn and prepare for the role of data scientist - advanced analytics in the future. Responsibilities   Identify, profile, analyze and present the data discovery output for analytic projects Develop data ingestion pipeline and create the analytic data assets for analytic projects Work with data engineer to enhance the analytic data infrastructure and develop enterprise analytic data mart Perform data wrangling and feature engineering for machine learning Create helper functions to automate frequently encountered wrangling and feature engineering tasks ","Requirements Bachelors/Masters in Computer Science, Statistics, Mathematics and other highly quantitative fields such as bio-informatics Minimum 3 years of industry experience in data analytics working in a big data environment, preferably in financial services industry Highly proficient with data wrangling, analytic, transformation and feature engineering using programming tools such as Spark, Python or R. Excellent knowledge of SQL. Excellent visualization and communication skills. ","AVP  /  Senior Associate, Data Analyst, Analytic Center of Excellence, Transformation Grp (180003G5)","$5,500to$11,000",Monthly,"Manager, Senior Executive",https://www.mycareersfuture.sg/job/avp-senior-associate-data-analyst-analytic-center-excellence-transformation-grp-dbs-bank-b914690e3a0a71debdbac82d7ff29f2b
5,DBS BANK LTD.,Unknown,"Permanent, Full Time",Banking and Finance,"Roles & ResponsibilitiesJob Purpose  The purpose of this role and position is to enable and accelerate the Risk Management Group in its Data Analytics journey – to work together with the Risk Management Group in laying out key insights. The domain here will cover different categories of risk and different customer segments.  Responsibilities  Interpret data, analyse results using statistical modelling techniques  Acquire data from data sources and maintain databases/data systems Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality Identify, analyse, and interpret trends or patterns in complex data sets ","Requirements Technical expertise in data mining, data profiling, data mapping and metadata management Familiar with descriptive, predictive and prescriptive modelling techniques (machine learning, logistic regression, Poisson regression, dummy coding, ANCOVA analysis, Monte Carlo simulation, PCA analysis, statistical hypothesis testing, non-parametric methods, time series analysis etc) Familiar with optimization techniques (objective function with constraints) Strong programming skills (Python, R, SQL, Linux shell script)  Experience working with JAVA and SAS is a plus  A degree in a quantitative field such as mathematics, statistics, computer science, economics, finance or engineering ","VP  /  AVP, Data Analyst, Middle Office Technology, Technology and Operations  (180003CW)","$6,500to$13,000",Monthly,Manager,https://www.mycareersfuture.sg/job/vp-avp-data-analyst-middle-office-technology-technology-operations-dbs-bank-b6ce5fea905fa3becc53a18ddbb472db
6,TELEPATHY LABS PTE. LTD.,"HAVELOCK2, 2 HAVELOCK ROAD 059763","Permanent, Full Time",Information Technology,Roles & ResponsibilitiesWe are looking for experienced and passionate Data Analyst to turns data into information and to develop data models and to support our application development.  The successful candidate would be a self-starter and is proactive about solving complex problems. ,"Requirements BS in Mathematics, Economics, Computer Science, Information Systems or Statistics; Minimum of 4 years in data analyst role; Strong knowledge of and experience with databases (MSSQL, MySQL, MongoDB etc), programming (XML, Javascript or ETL frameworks) Good understanding of data structures and algorithms and order of complexity; Ability to write database query scripts; Experience in continuous integration and continuous deployment; Experience in Agile Scrum development; Experience in product development environment; Experience in using open sources; Experience in using Github, Confluence and Jira;    We offer competitive pay and equity participation to all employees. ",Data Analyst,"$4,000to$7,000",Monthly,"Professional, Executive",https://www.mycareersfuture.sg/job/data-analyst-telepathy-labs-cabc219f3c40553b2534fa9a30542ca0
7,GROUPM ASIA PACIFIC HOLDINGS PTE. LTD.,"CHINA SQUARE CENTRAL, 18 CROSS STREET 048423","Permanent, Full Time",Information Technology,"Roles & ResponsibilitiesOverview of job  The GroupM Support Analyst is responsible for executing procedures to test, implement, support and maintain GroupM APAC’s solutions in the domain of Media Trading. The focus of this position will be to provide excellent end-user service, training, demo and technical support to APAC user base. This will include: promote and champion the application in the region, provide first and second level technical support for new releases and daily operations, actively participating in user acceptance testing, build end user training materials, lead end user training sessions, assist teams throughout the implementation process, contribute to the end user support portal and gather user requirements for the support and project team. This specific opening is for the Media Trading Data Warehouse and Reporting Systems team whose responsibilities cover a group of traditional and digital media trading applications, data warehouse, reporting and visualization platforms. Reporting of the role This role reports to the Programme Director, Media Trading Data Warehouse and Reporting Systems, Asia Pacific Technology 3 best things about the job: 1.       Being the proxy to business and working in technology group, you get to play an influencing role on how technology solutions can, not only, meet the business requirements but also to shape the way business operates. 2.       You get to obtain insights on the latest trends in media industry through data. 3.       You get to wear jeans to work and talk to the coolest guys in the industry across the region. Measures of success – In three months, you would have:  ·         been up to speed with what our existing solutions can offer and articulate well to all stakeholders ·         had a good grasp on our technology landscape at both conceptual and operational level ·         been able to conduct demo and provide first level support In six months, you would have: ·         been able to conduct second level support and training ·         been able to understand technology solutions in a more intimate levels so that you can provide opinions and engage a deeper conversation with the technical delivery team In 12 months, you would have: ·         been able to lead and drive training plan independently ·         been able to mentor support analyst from local markets across the region   Responsibilities of the role: Support & Training ·         Become an expert end user of media trading applications. Develop in-depth and comprehensive knowledge of the functionality available; champion the products in the region. ·         Provide excellent end-user service to the user base in 12 markets in APAC, actively working to provide solutions to business challenges. ·         Attempt to analyse the cause of all problems and either provide the end users with a solution, workaround, or escalate the issue to third level support in Delivery Team ·         Verify, manage, track and regularly communicate the status of issues reported between the user base in the region and the support team. ·         Conduct basic and advanced hands-on training and demo sessions for end users and be the primary point of contact in the region; providing daily support, troubleshooting, configuration, installation and super user training for Media Trading Applications.   Analysis & Implementation ·         Obtain a thorough understanding of media trading and reporting processes and requirements. Work with teams throughout the implementation process; advise on best practices, create implementation documents, client guidelines, provide training and regular follow-up. ·         Help define, build and configure all of our products to a high standard. ·         Liaise with end user representatives to identify, quantify and document requirements ·         Develop a thorough understanding of user demands, usability and functional issues in APAC. Consolidate and prioritize issues, relaying requirements to the Delivery Team.   Testing & Documentation ·         Actively participate in the evaluation and testing of new releases. Also work to engage and guide business users to test new releases of Media Trading Applications. ·         Provide support during new releases and communicate new release information to the user base, providing training and end user documentation on new features. ·         Assist in building end user training materials (syllabus, handouts, FAQ’s, guides etc.) and regularly update end user documents drawing on user feedback for the appropriate applications. ·         Contribute to the Media Trading Data Warehouse and Reporting Systems end user support portal to facilitate knowledge sharing and enable end-users to become more self-reliant.   What you will need: Essential  Knowledge on relational database and ability to understand and craft entity relationship diagrams Ability to write moderately complex SQL query statements for data analysis Knowledge on how data integration and interfaces between multiple systems work Experience working with enterprise BI tools such as Tableau, Power BI  ·         Self-starter with positive and proactive attitude ·         Ability to rapidly learn new IT systems and tools ·         Excellent end-user facing, presentation, interpersonal and communication skills ·         Highly focused on customer service. ·         Ability to work to deadlines and manage multiple concurrent tasks while maintaining attention to detail ·         Bachelor’s degree is required with a minimum of 6 years professional experience. ·         Good command of English ·         Ability to travel internationally and hold a valid passport is required. ·         Ability to work on own initiative and as a team player   Desirable  Well versed in data warehousing concepts and issues Knowledge on data modelling – relationship and dimensional Experience in media or advertising industry Knowledge on agile project methodology Experience in Microsoft SSIS and/or SSAS and/or .NET C# Fluency in Bahasa Indonesia and Mandarin or one other Asian language       ","RequirementsEssential  Knowledge on relational database and ability to understand and craft entity relationship diagrams Ability to write moderately complex SQL query statements for data analysis Knowledge on how data integration and interfaces between multiple systems work Experience working with enterprise BI tools such as Tableau, Power BI  ·         Self-starter with positive and proactive attitude ·         Ability to rapidly learn new IT systems and tools ·         Excellent end-user facing, presentation, interpersonal and communication skills ·         Highly focused on customer service. ·         Ability to work to deadlines and manage multiple concurrent tasks while maintaining attention to detail ·         Bachelor’s degree is required with a minimum of 6 years professional experience. ·         Good command of English ·         Ability to travel internationally and hold a valid passport is required. ·         Ability to work on own initiative and as a team player Desirable  Well versed in data warehousing concepts and issues Knowledge on data modelling – relationship and dimensional Experience in media or advertising industry Knowledge on agile project methodology Experience in Microsoft SSIS and/or SSAS and/or .NET C# Fluency in Bahasa Indonesia and Mandarin or one other Asian language   ","Support Analyst, Media Trading Data Warehouse and Reporting Systems - Application Support Analyst","$4,500to$5,500",Monthly,Senior Executive,https://www.mycareersfuture.sg/job/support-analyst-media-trading-data-warehouse-reporting-systems-application-support-analyst-groupm-asia-pacific-holdings-caf7f9cf6ac488cfa6d5027baedb43ba
8,DELFERS BUSINESS SOLUTIONS PTE. LTD.,"20 COLLYER QUAY, 20 COLLYER QUAY 049319",Permanent,Customer Service,"Roles & ResponsibilitiesJob Purpose The financial analyst will work to improve both the internal and external customer experience. With the opportunity to learn in depth about the many aspects of Exchange Traded Funds (ETFs) and Benchmark Indices, whilst also being involved in the client facing aspects of the work. Develop reporting and synthesize insights from the vast amount of data captured by the product. Collaborate with key support team stakeholders to craft response and assist in the prioritization of internal development to ensure that clients are kept engaged. Work with the internal data to try and analyse events to create an impact analysis within the ETF and indices to forewarn clients of the impact Key Accountabilities and Scope  Be trained in all aspects of the benchmark product line that the product support Support ongoing analysis of business performance trends and insights on drivers required to inform executive decisions daily. Perform deep dive analytics on high-impact topics such as corporate actions or the overall impact of queries raised to customer support Design and build dashboards to report on monthly movements of flows within ETFs Develop new ways to measure and estimate key metrics more accurately Work cross-functionally with other teams to answer questions that bridge many teams, such as the impact of reference data.  ","RequirementsSkills and Qualifications  Bachelor's degree or similar required, with major in analytical or technical field strongly preferred Experience with SQL beneficial; additional knowledge of scripting/programming language for ETL development (e.g. Ruby, Python) is a bonus but not a must Strong familiarity with Microsoft Excel and the structuring of complex analyses is key Creative problem-solving skills and a can-do attitude to overcome any obstacle and get things done Willingness to take on big challenges and own the results from brainstorming solutions to execution Strong communication",Data analyst,"$40,000to$70,000",Annually,Professional,https://www.mycareersfuture.sg/job/data-analyst-delfers-business-solutions-6c7d936d80c316128ecaf03f3217c260
9,GECO ASIA PTE. LTD.,Unknown,"Contract, Full Time",Information Technology,Roles & ResponsibilitiesJob Summary: Role: Special / Data Solution Analyst in Singapore Start: ASAP Duration: 6 Months Location: Singapore,"RequirementsOne of our clients is looking for a Data Solution Analyst, who is/are able to fulfill the following requirements:  Requirements: - 5-10 years of combined experience with Teradata and Hadoop / Spark.  Roles and Responsibilities: - Comfortable working closely with business and quickly translate requirements into sandbox solutions. - This role will also have Business Analyst responsibility to document functional specifications used by engineering.   Please send your application to applicants@geco.asia with (JOB_000301) in Subject line and highlighting:  - Your relevant experience - Current/expected salary - Availability information - A latest MS-WORD Resume   **We regret that only short-listed applicants will be contacted.**  GECO Asia values the data privacy rights of our customers, associates, partners and prospective applicants. We have a privacy policy that governs our collection and use of personal data in place. In conjunction with the new PDPA act in Singapore, we have updated our Privacy Policy and Terms of Use to better clarify our collection and use of your personal information. The same can be found here (https://www.geco.asia/about/privacy-policy) Note: GECO Asia is a German IT Services company and provides specialist IT resources on project and permanent basis. We operate under a Comprehensive Licence offered by MOM Singapore. [GECO Asia Pte Ltd, Licence No. 07C4453] [2 Venture Drive, #10-18, Vision Exchange, Singapore 608526]",Data Solution Analyst in Singapore (90496),"$6,000to$12,000",Monthly,Professional,https://www.mycareersfuture.sg/job/data-solution-analyst-singapore-geco-asia-e77ec71735dee75e3fa3c0a36376d861
