,company,company_address,employment_type,job_category,job_description,job_requirements,job_title,salary_range,salary_type,seniority,url
0,MONEYSMART SINGAPORE PTE. LTD.,"GRANDE BUILDING, 8 COMMONWEALTH LANE 149555",Permanent,Information Technology,"Roles & ResponsibilitiesAbout the job Moneysmart is hiring a Data Team lead to help lead our team of eager data engineers and analysts. Together you and your team will work to build a stable and scalable data infrastructure that will be able to help the business to collect, process and store masses of raw information securely, accurately and efficiently. With all that information on hand, we’ll be looking to you to help us design and build amazing data products to improve user experiences on our Moneysmart sites as well as build up the business intelligence capabilities within our organization. We’re looking for someone who is experienced and has done similar work like this elsewhere before. You will be working closely with people from other departments like Product, Marketing and Strategy to help understand their needs and design solutions that will enable them to deliver on their goals. Examples of this could be:  Onboarding customer data from external systems so further analysis can be conducted on it and we can discover/better understand customer preferences and trends Building a recommendation engine that can recommend products based on user’s past choices, creating a more personalized and desirable experience Creating a near real time reporting platform so that the country managers can get information in a more timely manner to make decisions quickly  To be able to do all these, you’ll need to plan and manage the Data Team’s roadmap well and help prioritize the work that needs to be done so that we can see the awesome impact it could bring sooner rather than later. You will be expected to be technical as well. Being able to build data pipelines, write code and tune database queries will be a requirement since you’ll need to review and vet the work your team has done. The engineers will be looking to you to learn about best practices in building pipelines and running analysis, industry standards on data infrastructure and what clean, maintainable code looks like. The team currently writes most of their code in Python and SQL at the moment (we use R sometimes as well). But fluency in any other Big Data framework language will be highly welcome. Our data engineers and analysts are a smart and talented bunch but they will require leadership and direction from their lead (which is you), someone who has been through the many phases of what it takes to build and maintain a production level data infrastructure, has seen the pitfalls and can help show them the way. Besides providing technical expertise to the team, a core part of this role will be to help mentor and develop the members of your team (as well as other developers in our department) professionally, and work towards creating a conducive environment for developers to thrive, making Moneysmart an ideal place to work and grow your career. If you’re ready to take up the important mantle of become a Data Team Lead in Moneysmart’s Technology department, send us your resume now! We would really love to hear from you.","RequirementsRequirements  6+ years of professional experience building data products Experienced in developing large scale, production, server side Big Data applications Experience with Big Data technologies like Hadoop / Spark / Kafka / HBase / Aerospike/ Elasticsearch Experience in data warehouse data modeling A strong software developer with a passion for technology and scalable world-class software systems Self-motivated, positive-thinking, team player, leader, problem-solver Passion for testing Knowledgeable on modern software development with a preference for Agile methods Ability to build APIs for the data infrastructure  Competencies  Estimate accurately Self motivated Accountable and responsible Follow rules Opinionated but rational  Cultural Competencies  Build a positive team and family spirit Engage, disagree and commit Be humble Do more with less Always pursue learning and growth Stay hungry and take ownership ",Data Team Lead,"$8,000to$140,000",Monthly,Manager,https://www.mycareersfuture.sg/job/data-team-lead-moneysmart-singapore-ad4580da0df279d6bf2cadbedab2f2e5
1,CAPGEMINI SINGAPORE PTE. LTD.,6 BATTERY ROAD 049909,"Permanent, Contract",Information Technology,"Roles & Responsibilities   Work with stakeholders to understand the business use case/concept, brainstorm and recommend the statistical/predictive model, and develop it on the available statistical modeling tools. Use the company database to develop data set for data modeling, mining and production. It includes basic data engineering skills. Coordinate with different functional teams to implement models and monitor outcomes. Develop processes and tools to monitor and analyze model performance and data accuracy ","Requirements Flexible to do a contractual role Experience using computer languages (R, Python, SQL, etc.) to manipulate data and draw insights from large data sets. Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks. Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc. ",Data Scientist,"$7,000to$10,000",Monthly,Professional,https://www.mycareersfuture.sg/job/data-scientist-capgemini-singapore-4add082ba364fafb9c1066505cc5b7b6
2,CHARLES & KEITH (SINGAPORE) PTE. LTD.,"CHARLES & KEITH GRP HEADQUARTERS, 6 TAI SENG LINK 534101",Full Time,Information Technology,"Roles & ResponsibilitiesWe are looking for a savvy Software turned Data Engineer to join our growing Data Engineering team. The ideal candidate is an experienced data pipeline builder and data wrangler who enjoys optimizing data systems and building them from the ground up. He/She will be responsible for designing, expanding and optimizing our data and data pipeline architecture, as well as optimizing data flow and collection for cross functional teams. Supporting our software developers, data architect, data analysts and data scientists on organisation wide data initiatives, he/she will ensure optimal data delivery that is consistent throughout ongoing projects. Self-directed and comfortable supporting the data needs of multiple teams, systems and products, he/she will be excited by the prospect of optimizing or even re-designing our organisation’s data architecture with architect to support our next generation of products and data initiatives. Roles & Responsibilities  Create and maintain optimal data pipeline architecture Assemble large, complex data sets that meet functional / non-functional business requirements Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, collaborate with infra team to re-designing infrastructure for greater scalability and stability Collaborate with infrastructure team for provisioning required infrastructure for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and ‘big data’ technologies Work with stakeholders including the Executive, Product, Data and Design teams to assist with data-related technical issues and support their data needs Keep our data separated and secure across national boundaries through multiple data centres and AWS regions Create data tools for analytics and data scientist team members that assist them in building and optimizing models which enables us as an innovative industry leader. Work with data and analytics experts to strive for greater functionality in our data systems Build tools from ground up that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency and other key business performance metrics     ","RequirementsWe are looking for a candidate with 5+ years of experience in a Software Engineer role who wants to move into Data Engineering or is currently working as Data Engineer. He/She should have attained a Graduate degree in Computer Science, Statistics, Informatics, Information Systems or another quantitative field and also have experience using the following software/tools:  Experience with object-oriented/object function scripting languages: Python and/or Java, C++, Scala, etc. Experience with big data tools: Hadoop, Spark, Kafka, NiFi, sqoop, etc. Experience with relational SQL and NoSQL databases. Experience with data pipeline and workflow management tools: Luigi, Airflow, etc. Experience with AWS cloud services: EC2, EMR, Kenesis, Firehose Experience with stream-processing systems: Storm, Spark-Streaming, etc. ​    Additional Requirements  Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with widely used RDBMS Experience building and optimizing ‘big data’ data pipelines, architectures and data sets Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement Strong analytic skills related to working with unstructured datasets. Build processes supporting data transformation, data structures, metadata, dependency and workload management A successful history of manipulating, processing and extracting value from large disconnected datasets Working knowledge of message queuing, stream processing, and highly scalable ‘big data’ data stores Strong project management and organizational skills. Experience supporting and working with cross-functional teams in a dynamic environment   ",DATA ENGINEER,"$5,000to$6,000",Monthly,Executive,https://www.mycareersfuture.sg/job/data-engineer-charles-keith-9f7e01404a2633eb48701a27a119b430
3,Company Undisclosed,"NTUC INCOME CENTRE, 75 BRAS BASAH ROAD 189557",Permanent,Information Technology,"Roles & ResponsibilitiesYou will be the Data Architect in NTUC Income and will create the strategic architecture roadmap for making digital experience a reality for our clients with modern data technologies. You are comfortable engaging senior stakeholders from both technology and business, and credibly guiding them to meet evolving market trends. You have deep and hands-on experience designing, developing high performance and scalable analytical solutions. You have a track record of implementing data and information architectures. You naturally collaborate with strategists and creative teams to workshop ideas, requirements, and define customer-centric experiences. You are passionate to deliver business value from data science, with an acute sense of change opportunities achievable with streaming analytics. You have overseen data management teams, working closely with application and technology teams.    Primary Responsibilities  Development of data architecture, strategy and governance to support business, application, security and technology strategic analysis and decision making   Assessment of current and target states of the data architecture to align with strategic or tactical objectives and to develop recommendations to close the gaps   Integrate cloud and on premise data warehouses and data lakes with metadata management, for powerful data-driven solutions   Be a trusted architect adviser to the management team and also give direction to guide the teams in solution design and implementation, being knowledgeable of data analytics trends   Presents roadmaps and architecture landscapes to senior stakeholders to fulfill the organization’s data science, cognitive, analytics and reporting requirements   Evaluation of data related technologies, and defining best practices in the assessments of standards, tools and methodologies including ETL development, to perform hands on data analysis   Create innovations in both analytic algorithms and methodologies with business impact. Responsible for the end-to-end process of analytical solutioning, involving conceptualization and business engagement   Ensures data quality and performs data cleansing to ensure a single source of truth, to enable data as a service for business units and front-end applications to consume   Perform quality review of data modeling design and deliverable, leading work sessions and deliverable presentations with business stakeholders   Manage architecture and technology governance committee agenda to ensure data, security and technology requirements aligned to enterprise standards and policies ","Requirements Bachelors or Master’s Degree in Computer Science, Information Technology, or equivalent   Minimum of 10 years IT experience and 5 years in data architecture, strategy, modeling and tools   At least 5 years design & development experience in enterprise data warehousing and analytics projects   Expert in Oracle, MSSQL, MYSQL database technologies   Best practices using data solutions using Hadoop, Cloudera, Spark, Kafka, MongoDB, NoSQL, Cassandra, Graph, etc   Familiar with Tableau, Microstrategy, Qlikview, Informatica, Talend, Hive and HBase   Understands machine learning, statistics, natural language processing, sentiment analysis, graph analysis, augmented and virtual reality   Proficient in handling complex technical development concepts, latest software tools and technologies, strong database concepts and designing techniques    Excellent in working effectively in a multi-tasking environment, ability to prioritize competing tasks   Fluency and efficiency in creating technical architecture documentation, presentations and stakeholder pitches   TOGAF or other industry recognized architecture certifications preferred   Competencies  Clear communicator with excellent oral and written skills and experience interacting with both business and IM individuals at all levels including the executive level    Possess the personal attributes of integrity, trust and credibility, hungry for results and show perseverance. A good listener, customer oriented, strong interpersonal skills   Creative thinking skills with deep technological expertise, business acumen and software development background   Able to guide and influence others easily and well organized with clear attention to detail   ","Data Architect, Enterprise Architecture","$8,000to$15,000",Monthly,Manager,https://www.mycareersfuture.sg/job/data-architect-enterprise-architecture-c698e019ddf43fedec76b8ffcc8c4ad6
4,AVIVA ASIA PTE LTD,"SUNTEC TOWER FOUR, 6 TEMASEK BOULEVARD 038986",Permanent,Information Technology,"Roles & ResponsibilitiesPURPOSE AND CONTEXT OF THE ROLE Taking leadership in:  Design and develop architecture for data services ecosystem spanning Relational and Big Data technologies Design data models for mission critical and high volume data management, real-time and distributed data process aligning with the business requirements. Work with business units on their analytics initiatives, supply and/or source analytics expertise and resources. Ensure the appropriate technology resourcing and support for the Data Engineering and analytics team.    Lead projects involving high level of coordination among departments and business areas.   OUTCOMES  Produce optimal solutions in the receipt and delivery of data sets to desired destinations Alignment to Data Strategy, Digital Strategy, IT Strategy, Architecture and Transformation roadmap Maintain IT Applications Development Excellence amongst IT Development community through detailed development and training and the conduct of Knowledge transfer for completed tasks Produce Optimal solutions, through detailed Impact Analysis, Technical Solutions, Technical Specifications and provide Leadership in Projects, Change Initiatives and Solution Delivery. Supervise IT teams to produce and complete assigned tasks for Strategic, Mandatory and Tactical Change Request, within budget and within projected Scope of work.   ","RequirementsQUALIFICATIONS  Bachelor degree or above Masters (preferred)  KNOWLEDGE/EXPERIENCE ·A deep understanding of Data Modelling best practices  Good understanding of  tools and use in a commercial environment Preferably of 2-5 years of experience working in Hadoop/ Big Data related field Must possess working experience on Hive, Spark, HBase, Sqoop, Impala, Kafka, Flume, Oozie, MapReduce etc Working experience on ETL tools like Oracle PLSQL, Informatica etc Deep understanding of the Hadoop ecosystem and strong conceptual knowledge in Hadoop architecture components Possess data management, data visualization and statistical analysis experience Self-starter who works with minimal supervision. Ability to work in a team of diverse skill sets Experience working in Agile development process and has good understanding of various phases of Software Development Life Cycle Good interpersonal with excellent communication skills -written and spoken English    SKILLS Required  Data Warehouse Technologies Hadoop Proficiency Proficient in Hive, Spark, HBase, Sqoop, Impala, Kafka, Flume, Oozie, MapReduce etc. Working experience on ETL tools like Oracle PLSQL, Informatica etc data management, data visualization and statistical analysis skills    Desirable  Experience in working in Cloud environment   ","Manager, Data Engineer","$10,000to$12,000",Monthly,Manager,https://www.mycareersfuture.sg/job/manager-data-engineer-aviva-asia-a5f03c8482421ffd8fcfa6757d53a231
5,ISMART SYNERGY PTE. LTD.,137 TELOK AYER STREET 068602,"Permanent, Full Time",Information Technology,"Roles & ResponsibilitiesServes as the Expert in building and training AI systems. Communicates with external and internal Stakeholders on architecture, potential risks, and deadlines. Pays attention to QA and delivers high quality software solutions. Ability to work in a fast-paced Agile environment. Ability to work with cross-functional teams Key Responsibilities:   Develop ML models to solve classification problems from speech, text data and video.  Design solutions using Machine Learning and other AI technologies using audio, video, and text. Build and optimize AI models Work with Subject Matter Experts on Requirement Specifications and translate these into Software Design Partner closely with the Business Development and Sales teams, to enable largescale customer use cases and drive the adoption of our Solutions.     ","RequirementsKey Requirements:   Expertise in areas such as ML, NLP, Deep Learning (Neural Networks), Reinforcement Learning, Probabilistic Inference Experience with Big Data and related tech e.g., Hadoop, Pig, Spark Knowledge of SQL and NoSQL Experience with tools like R, Python, etc.  Expert level in at least one of the ML learning software is required Python/Scala/Tensor flow Previous experience in implementing commercial applications in AI 5+ years Design/Implementation experience of Machine Learning/AI/Deep Learning solutions Technical (Stats, Maths, Computer Science) Degree with statistical fundamentals ",hiring data architect. direct applicants only,"$8,000to$15,000",Monthly,Senior Management,https://www.mycareersfuture.sg/job/hiring-data-architect-direct-applicants-ismart-synergy-c9fc0c42572f1d56a60ae3da109915f4
6,INTEGRATED HEALTH INFORMATION SYSTEMS PTE. LTD.,6 SERANGOON NORTH AVENUE 5 554910,Permanent,Information Technology,"Roles & ResponsibilitiesThe Data Management Lead / Data Architect designs data structure and architecture, master/meta-data management approach and data quality programme to facilitate access to data and information. He/She works with end users to design, implement and oversee maintenance of data flow channels and data processing systems that support the collection, storage, batch and real-time processing, and analysis of information from structured and unstructured sources in a scalable, repeatable and secure manner. He/She develops data management standards and practices. Responsibilities:  Segment users by their information seeking behaviour and design data management approach that meets their needs Identify the desired state of coordinated data and information flow through the organisation Collaborate with stakeholders to understand needs for data structure, availability, scalability and accessibility Provide thought leadership to stakeholders in determining which data management techniques and solutions will enable the enterprise to achieve defined business goals Design the data flow channels and processing systems to extract, transform, load and integrate data from various sources  Lead the development of complex code, scripts and data pipelines to process structured and unstructured data in near real-time  Supervise the development of prototypes and proof of concepts for the selected solutions  Research hardware and software needs to support selected solutions Lead the development of tools to improve data flows between internal/external systems and the data lake/warehouse  Define data retention policies Maintain knowledge of existing and emerging data management principles/theories/techniques Provide advice on high-level Data Management or Big Data Analytics solution designs. Evaluate technologies/services, providing regular reporting on emerging trends, value add information and potential impact to the healthcare landscape. ","Requirements Minimum 10 years of experience in delivering data warehouse or advanced analytics solutions, especially in designing large Big Data technologies or analytics solutions. Minimum 5 years of relevant hands-on experience in delivering end-to-end industry analytics solutions, from conceptualisation to deployment, within the industry. Demonstrate good, in-depth knowledge in Big Data hardware/software products, frameworks and methodologies. Degree/Master in Computer Science, Information Technology, Computer Engineering or equivalent. Experience with      big data techniques and solutions (e.g. Hadoop, MapReduce, Hive) databases (e.g. Oracle, DB2, MS SQL, MySQL, Teradata, Greenplum) data repository design (e.g. operational data stores, dimensional data stores, data marts) data interrogation techniques (e.g. SQL, NoSQL). real-time structured and unstructured data storage and ingestion. data quality tools and processes. data transformation and terminology equivalence mapping. data modelling for analytics (e.g. star schemas, snowflake schemas).   Comfortable working with and staffing senior management, proficient in usage of Office Productivity Suite Software (e.g. Microsoft Excel, Powerpoint, etc). Possess good verbal and written communication, analytical and conflict resolution skills with proven ability to translate complex, technical subjects into clear and concise communications to a variety of key stakeholders of different levels Strong ability to handle ambiguity and high work pressure. Versatile in working independently as well as an effective team player. Good knowledge of various analytics systems/applications and outputs within healthcare industry domains will be advantageous. ",Senior Architect,"$8,300to$13,695",Monthly,Senior Management,https://www.mycareersfuture.sg/job/senior-architect-integrated-health-information-systems-b67573a0734b13c8c3f98af220aac2c5
7,INTERNATIONAL SOS TECHNOLOGY SERVICES PTE. LTD.,Unknown,"Permanent, Full Time",Information Technology,"Roles & ResponsibilitiesAs a part of the Enterprise Applications Leadership Team, ensure that Application technologies and analytics are managed to the right service levels, enhanced to service the business lines and functions, and implemented according to the architecture standards, contributing to the business strategy. There is a need to hire for the position of Director – Application Technology in International SOS.   The role supports the architecture team with alignment of the technologies against the architecture standards and roadmaps. Supports the business and function demand management process to determine solution options that fit with the technology roadmap and service levels. Supports the operations team with managing vendors to operate with acceptable service levels.  Technology Roadmap  Within the overall guidelines of the Enterprise Architectural framework and standards, set and maintain a portfolio management approach across the business lines and corporate functions, ensuring that the portfolio of technology is aligned with business strategy and is making the maximum possible contribution to the strategic goals and targets of the organization.       Service Management  Work with vendors to report against SLAs, project delivery, and other metrics for service performance Oversee vendors in responding to service-level issues and work to restore normal service operations Work with vendors, service desk management, and infrastructure teams to develop and maintain procedures for incident triage and management, metric and measure creation, management and administration of monitoring tools Actively manage relationship with key stakeholders, business, resolver groups, and escalation points Represent production support to organization ensuring that high-availability and the ability to identify customer-facing issues is included in the development or deployment of new products and services.       Technology Management  Accountable for the technology for Enterprise Apps, roadmaps, documentation, and standards, in alignment with Architecture team Work with Enterprise and Solution Architects to determine applicability, reach, and lifespans of products and platforms in International SOS Support data analytics team with roadmaps, modernization, and provisioning of data from Enterprise Applications, in collaboration with Enterprise Data Architect and GM Data Analytics Assist business reporting teams to review data insights, analysis, and reporting results Work with external parties and Data Analytics team to provision reports, reporting programs, data analytics, data mining, and other insights to the business teams Works with Infrastructure teams to ensure Products/Platforms are following networking safeguards to reduce the risk of outside breaches and protect sensitive internal and external client information.       Finance Management   Participate in the procurement process with business owner(s), procurement officer, and Legal, from clarifying a specification to placing contracts, including identifying opportunities for business improvement. Maintain long term investment portfolio perspectives balancing growth, maintenance, innovation and productivity initiatives as it pertains to the technology products. Ensure all expenditure is compliant with the prevailing GAAP.         ","RequirementsTo be considered for the role, your skills expertise will be in the following,  At least 12- 15 years in service industries coupled with IT and Business educational degree level or master’s program. Close working relationships with business lines or clients, Delivery of global, large-scale and complex change programmes. Geographical awareness and cultural sensitivity, Successful track record of leading a large team or department. Technology background and Experience managing vendors delivering solutions using following technology or similar technologies will be required.  Required Skills and Knowledge  Solid understanding of wide variety of technologies, including key ones in the list of Microsoft, Salesforce, Mulesoft, Outsystems, Oracle, etc. General management, Quality & business process improvement. Customer service delivery.  Required Competencies   Business acumen and analytical skills Project management Hands-on with a strong sense of urgency, and willing to “roll sleeves up.” Structured approach to service delivery Strong people manager and team player Ability to communicate verbally and in writing with clarity, brevity and accuracy Ability to multi-task and work under pressure within a matrix structure   ",Director - Applications Technology,Salary undisclosed,Unknown,Senior Management,https://www.mycareersfuture.sg/job/director-applications-technology-international-sos-technology-services-9fbcffff375ba39fe94699c69fbb5704
8,QUINNOX SOLUTIONS PTE. LTD.,"TONG ENG BUILDING, 101 CECIL STREET 069533",Full Time,Information Technology,"Roles & ResponsibilitiesYou will be the Data Architect to create the strategic architecture roadmap for making digital experience a reality for our clients with modern data technologies. You are  comfortable engaging senior stakeholders from both technology and business, and credibly guiding them to meet evolving market trends.   You have deep and hands-on experience designing, developing high performance and scalable analytical solutions. You have a track record of implementing data and information architectures. You naturally collaborate with strategists and creative teams to workshop ideas, requirements, and define customer-centric experiences. You are passionate to deliver business value from data science, with an acute sense of change opportunities achievable with streaming analytics. You have overseen data management teams, working closely with application and technology teams.  ","Requirements Development of data architecture, strategy and governance to support business, application, security and technology strategic analysis and decision making   Assessment of current and target states of the data architecture to align with strategic or tactical objectives and to develop recommendations to close the gaps   Integrate cloud and on premise data warehouses and data lakes with metadata management, for powerful data-driven solutions   Provides consultancy to clients in areas of data governance to improve quality and control in the management and usage of data. Helps help defines standards, processes and adopts best practices in data management.  Presents roadmaps and architecture landscapes to senior stakeholders to fulfill the organization’s data science, cognitive, analytics and reporting requirements   Evaluation of data related technologies, and defining best practices in the assessments of standards, tools and methodologies including ETL development, to perform hands on data analysis   Create innovations in both analytic algorithms and methodologies with business impact. Responsible for the end-to-end process of analytical solutioning, involving conceptualization and business engagement   Ensures data quality and performs data cleansing to ensure a single source of truth, to enable data as a service for business units and front-end applications to consume   Perform quality review of data modeling design and deliverable, leading work sessions and deliverable presentations with business stakeholders   Manage architecture and technology governance committee agenda to ensure data, security and technology requirements aligned to enterprise standards and policies    Job Qualifications    Bachelors or Master’s Degree in Computer Science, Information Technology, or equivalent   Minimum of 10 years IT experience and 5 years in data architecture, strategy, modeling and tools   At least 5 years design & development experience in enterprise data warehousing and analytics projects   Expert in Oracle, MSSQL, MYSQL database technologies   Best practices using data solutions using Hadoop, Cloudera, Spark, Kafka, MongoDB, NoSQL, Cassandra, Graph, etc   Familiar with Tableau, Microstrategy, Qlikview, Informatica, Hortonworks, Talend, Hive and HBase   Understands machine learning, statistics, natural language processing, sentiment analysis, graph analysis, augmented and virtual reality   Proficient in handling complex technical development concepts, latest software tools and technologies, strong database concepts and designing techniques   Excellent in working effectively in a multi-tasking environment, ability to prioritize competing tasks   Fluency and efficiency in creating technical architecture documentation, presentations and stakeholder pitches   TOGAF or other industry recognized architecture certifications preferred  Competencies    Clear communicator with excellent oral and written skills and experience interacting with both business and IM individuals at all levels including the executive level   Possess the personal attributes of integrity, trust and credibility, hungry for results and show perseverance. A good listener, customer oriented, strong interpersonal skills   Creative thinking skills with deep technological expertise, business acumen and software development background   Able to guide and influence others easily and well organized with clear attention to detail  Interested applicants please send us your full resume in MS Word format to job@quinnox-solutions.com Also kindly share your current salary, expected salary and notice period. EA Personnel : Anu Govindarajulu (R1441433) Quinnox Solutions Pte. Ltd. (06C3126) Phone: 6325 0765  ",Data Architect,"$5,000to$10,000",Monthly,Senior Executive,https://www.mycareersfuture.sg/job/data-architect-quinnox-solutions-1e2ed219ef0189fb2aeb66bf2d34881e
9,AXINAN PTE. LTD.,"HAVELOCK2, 2 HAVELOCK ROAD 059763",Permanent,Engineering,"Roles & ResponsibilitiesAbout the Job  Design and build data driven systems for risk control, fraud detection, recommendation, customer segmentation, adaptive pricing etc. Build, validate, test, and deploy models and algorithms. Work with backend engineers to architect data storage and processing pipelines. Work with product managers to develop new product features based on insights from data. ","RequirementsWhat You Should Have   Master or PhD in computer science, statistics, mathematics, or fields related to data mining preferred. Experience in Python or R. Knowledge in supervised/unsupervised learning, classification/clustering algorithms, feature engineering/optimization Experience in deep learning, reinforcement learning, personalized search and recommendation, user/seller behavior modeling, marketing algorithms preferred. Experience of Hadoop, Spark, Tensorflow is a plus. Experience with visualization software to convert models/insights into simple, business sell-in stories would be an advantage (but not mandatory). Outstanding analytical and problem-solving skills. Self-motivated, innovative, and proactive. Willing to learn new knowledge and explore unfamiliar domains.    Join us and get:  A chance to lead and grow quickly to transform a nascent InsurTech industry To contribute to the development of high-impact FinTech products that will serve millions of customers across asia To work, play and hustle with a creative, fun and diverse community (think Silicon Valley, Europe and Asia all-in-one!) ",Data Scientist,Salary undisclosed,Unknown,Professional,https://www.mycareersfuture.sg/job/data-scientist-axinan-5fd55b13f21d364415381e4f0dd06d22
