,company,company_address,employment_type,job_category,job_description,job_requirements,job_title,salary_range,salary_type,seniority,url
0,AIRBNB SINGAPORE PRIVATE LIMITED,158 CECIL STREET 069545,Full Time,Sciences / Laboratory / R&D,"Roles & ResponsibilitiesAirbnb is a global platform that connects travelers and hosts from over 81,000 cities. Our mission is to enable a world where anyone can belong anywhere. Using data to help ensure a world class experience for our users is critical to our mission. As our business expands, we are seeking an experienced leader to guide our data initiatives in the APAC region. In this role, you will partner with our APAC leadership team to ensure that our regional strategy is data-informed. You will have tremendous scope to work with partners from operations, marketing, product, sales, and finance, as well other data scientists to drive the strategy of this fast-growing region. If you are passionate about leveraging data to drive business decisions, we want to hear from you! Responsibilities include, but are not limited to:  Ensuring consistent and reliable data access across countries in the region Performing deep dives into business performance Partnering with and supporting other data teams (esp in SF) on their  APAC-related deep dives Proactively identifying and sizing business opportunities and growth drivers Training and mentoring other data scientists and analysts in the region -- at scale (as many will not be in the same physical location) Partnering with the APAC leadership team to drive strategy       ","RequirementsRequirements  6+ years industry experience and a Master's degree in a quantitative field; PhD a plus 3+ years of management experience, with proven ability to succeed in both collaborative and independent work environments A “business owner” mindset, with a keen interest in strategy and operations Strong written and verbal communication Fluency in the core toolkit of Data Science:     R/Python; SQL/Hive Manipulating large-scale data sets Building data pipelines Descriptive and predictive modeling Implementing visualizations, dashboards, and reports   ","Data Science Manager, APAC","$11,000to$20,000",Monthly,Manager,https://www.mycareersfuture.sg/job/data-science-manager-apac-airbnb-singapore-35bc1c98e76b9b7d51ce69703d33977c
1,DBS BANK LTD.,Unknown,"Permanent, Full Time",Banking and Finance,"Roles & ResponsibilitiesJob Purpose The Lead Data Scientist manages a team of data scientists within Consumer Banking Group Technology, Big Data & Analytics Technology division to drive value for the business by leveraging machine learning.  He/ She will have opportunities to work on various projects that provide data-driven insights that enable enhanced capabilities in the areas of business growth, risk management, productivity etc.  Also, he/she will be responsible to lead a team of ML engineers that will work with data scientists to create, optimize and productionize of machine learning models for various business units within the organization. Keep innovating and optimizing data and machine learning workflow to enable data-driven business activities at large scale.   Responsibilities  Lead, guide, and manage the team of data scientists Overall accountable for the team’s delivery of data science projects that drive value for business Establish, apply and maintain best practices and principles of machine learning engineering. Manage and guide a team of ML engineers that work with data scientists to build end-to-end machine learning and analytics solution to solve business challenges Manage and guide a team of experienced data scientists to drive projects and be accountable for the output of the team Partner with business stakeholders to understand needs and identify opportunities to apply data science Frame this opportunity as a data science problem, formulating hypotheses and techniques for experimentation Oversee the process of data exploration & preparation, the conduct of experiments, review of model performance, and presentation of results to business stakeholders for their feedback Lead the presentation of key insights to management with actionable recommendations Manage the team to facilitate deployment of finalised solutions to production environment Oversee the ongoing monitoring of model performance, and the process of model retraining if necessary ","Requirements At least 5 years of industry experience in data science PhD or advanced degree holder in computer science, machine learning, statistics, decision science, mathematics or equivalent Prior experience managing teams of PhD-level data scientists preferred Excellent advanced analytics skills, with prior industry experience developing machine learning solutions for classification, prediction, forecasting and/or anomaly detection problems Excellent understanding of software engineering principles and design patterns. Excellent programming skills in either Python, Scala, or Java. In-depth understanding of data science and machine learning technologies and methodologies. Good working knowledge of high performance computing, parallel data processing, and big data stack, e.g. Spark and Hadoop/Yarn. Highly proficient in data manipulation Strong expertise in at least one of the following areas (or equivalent): deep learning, NLP, graph mining, anomaly detection, large-scale recommender engines, large-scale optimizations, large-scale multivariate time-series forecasting, causal and statistical reasoning Ability to present analysis in a manner accessible by non-practitioners Good verbal and written communication skills and the ability to interact professionally with business executives Has a ‘can-do’ attitude Prior experience in banks not required but may be considered ","SVP / VP, Lead Data Scientist, Group Consumer Banking and Big Data Analytics Tech (180003Y7)","$9,500to$18,000",Monthly,Senior Management,https://www.mycareersfuture.sg/job/svp-vp-lead-data-scientist-group-consumer-banking-big-data-analytics-tech-dbs-bank-1e58ca9d6b252e4547ae9c9c64bc7b6d
2,Institute of Technical Education,2 ANG MO KIO DRIVE 567720,Contract,"Education and Training, Public / Civil Service","Roles & ResponsibilitiesResponsibilities As a Lecturer, your contributions go beyond teaching and facilitating learning. You play a critical role in recognising and nurturing the many talents of your students. In addition, you will carry out industry or consultancy projects to help you remain relevant in your profession and industry changes, as well as maintain strong linkages with partners in the industry and schools. You will also have the opportunity to be attached to industry on a regular basis to update your skills and knowledge. Those with good and relevant experience can look forward to Senior Lecturer or equivalent positions, with career development opportunities.Requirements  College Central  You should be trained in Information Technology, Computer Science or Software Engineering, with at least 3 years of relevant work experience in Web/Mobile applications development, Content Management System or IT related field. You should be competent with Adobe CC applications and have good programming skills in iOS programming (SWIFT), C#, PHP, HTML5, CSS, JavaScript, Python. Candidates with experience and/or IT certifications in areas of Data Analytics, Internet of Things (IoT), or Artificial Intelligence (AI) and Machine Learning (ML) will have an advantage College East You should be trained in Information Technology, Computer Science, Data Science and/or Analytics, with at least 3 years of relevant work experience to be able to develop students' skills in implementing IoT/software applications, including data analytics solutions. You should possess relevant experience in one or more of the following areas: - development of IoT applications - data analytics technologies and Big Data - proficiency in programming languages such as Python, R or similar (familiarity with Python-based libraries such as scikit-learn, numpy/scipy and pandas is preferred) - programming web and mobile applications would be advantageous ",Unknown,Lecturer - IT Applications Development,"$3,000to$6,000",Monthly,Executive,https://www.mycareersfuture.sg/job/lecturer-applications-development-institute-technical-education-b94141d17ac8e368f676354f9cbe7d01
3,UPS ASIA GROUP PTE. LTD.,"UPS HOUSE, 22 CHANGI SOUTH AVENUE 2 486064",Permanent,Logistics / Supply Chain,"Roles & ResponsibilitiesSummary The Data Engineer will be responsible for expanding and optimizing the data and data pipeline architecture, data flow and collection for the Data Science team and creating API’s to integrate the models with production systems. The ideal candidate is an experienced data pipeline builder and data wrangler who enjoys optimizing data systems and building them from the ground up. The Data Engineer will support the data analysts and data scientists on data initiatives and will ensure optimal data delivery architecture is consistent throughout ongoing projects. Responsibilities:  Create and maintain optimal data pipeline architecture. Assemble large, complex data sets from multiple data sources that meet functional / nonfunctional business requirements. Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and no SQL technologies. Develop data features that will serve as inputs to AI/Machine Learning/OR techniques. Build analytics tools that utilize the data pipeline to provide actionable insights into key business performance metrics. Develop data design based on exploratory data analysis to meet stated business need. Develop procedures to monitor model and production system performance/integrity. Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc. Review and create repeatable solutions through written project documentation, process flowcharts, logs, and commented clean code to produce datasets that can be used in analytics and/or predictive modeling. Act as subject matter expert with investigating and evaluating emerging technologies. Articulate potential competitive market benefits of new technologies to senior management. Maintain broad understanding of implementation, integration, and interconnectivity issues with emerging technologies. ","RequirementsSkills and Qualifications  Possess a Bachelor’s Degree or Master’s Degree in Computer Science, Information Systems or related discipline. Minimum 2 years of relevant experience in similar capacity using software/tools for big data, SQL and NoSQL databases and object oriented/object function scripting languages. Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases. Experience building and optimizing ‘big data’ data pipelines, architectures and data sets. Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement. Strong analytic skills related to working with structured and unstructured datasets. A successful history of manipulating, processing and extracting value from large disconnected datasets. Possess solid project management and organizational skills. Prior experience in supporting and working with cross-functional teams in a dynamic environment. ",APAC Data Engineer,"$5,256to$7,008",Monthly,Senior Executive,https://www.mycareersfuture.sg/job/apac-data-engineer-ups-asia-group-f570cad2f586ebfa9a8660768a61ee6c
4,DBS BANK LTD.,Unknown,"Permanent, Full Time",Banking and Finance,"Roles & ResponsibilitiesJob Purpose  The Data Engineer will provide big data engineering support to the Institutional Banking Group (IBG) Business Analytics Team in various data science projects. This role’s primary job responsibility is defining the framework and process for preparing data for analytical uses. The right candidate will be one excited by the prospect of designing data engineering solutions from ground up and will support data analysts and data scientists on data initiatives and will ensure optimal data delivery architecture is consistent throughout ongoing projects. Responsibilities  Create and maintain optimal data pipeline architecture; Assemble large, complex data sets that meet functional / non-functional business requirements; Identify, design, and implement internal process improvements: automating manual processes, Perform ETL/ELT, Data Modelling, Data Profiling, Data Cleansing, Feature Engineering tasks as part of Data Analytics Life Cycle (DALC); Work with stakeholders (data analysts, data scientists, technology support team) to assist with data-related technical issues and support data infrastructure needs; Build processes supporting data transformation, data structures, dependency and workload management ","Requirements Master’s Degree in software Engineering, Computer Science or related fields with minimum 3 years data engineering work experience in big data analytics environment Strong in data engineering skills with big data stack (Hadoop, Spark, Kafka, etc) Strong in transactional SQL, Enterprise Data Warehouse Experience with Graph Database, NoSQL databases Experience with Feature Engineering Experience with Master Data Management Experience with scripting languages: UNIX/Linux Shell, SQL, Python (Pandas, PySpark etc), Scala, R, etc ","AVP  /  Senior Associate, Data Engineer, IBG Digital, Institutional Banking Group (1800044U)","$5,500to$11,000",Monthly,"Manager, Senior Executive",https://www.mycareersfuture.sg/job/avp-senior-associate-data-engineer-ibg-digital-institutional-banking-group-dbs-bank-633ccd170a9d6b8f860c413b264c49ab
5,DBS BANK LTD.,Unknown,"Permanent, Full Time",Banking and Finance,"Roles & Responsibilities Drive enterprise strategy on testing and production deployment of machine learning and AI products  Drive the discussion between data science and IT on the architecture and solution design to ensure production and deployment is fully considered Drive the testing and deployment of the machine learning products into production Lead the requirement gathering and release road map for analytic platform features Develop enterprise standards and practice on testing and production deployment of machine learning and AI products Drive the adoption of software development practice in data science teams, such as agile development, software development life cycle (SDLC), continues improvement and continues deployment (CI/CD) and testing strategy. ","Requirements Solid track record of deploying machine learning solution into production environment and integrate into operation  Expert in identifying and solving issues when putting model into production – load balancing, distribution, through-put, latency, availability, stability, refactoring, repackaging, versioning, scoring, real time / online scoring, performance monitoring and management,   Expert on the open source stack of bid data and machine learning solutions such as Hadoop, Spark, YARN, Mesos, Hive, Impala, Spark Streaming, Kafka, API, Anaconda / R studio server, Kubernetes,  Familiar with development, deployment, production and operation life cycle of the machine learning product and software best practices such as SDLC, CICD, Test-Driven Development (TDD) Excellent problem-solving skills and strategic thinker Proficiency in Python, R, Spark, Java and Scala Good interpersonal skill and able to influence the decision making of data science and IT team Solid written and communication skills ","SVP / VP, Senior Data Scientist, Data & Transformation, Technology and Operations (1800039X)","$9,500to$19,000",Monthly,"Senior Management, Middle Management",https://www.mycareersfuture.sg/job/svp-vp-senior-data-scientist-data-transformation-technology-operations-dbs-bank-af5fcadc3df9dce77d6b77d10a7c84c8
6,DBS BANK LTD.,Unknown,"Permanent, Full Time",Banking and Finance,"Roles & ResponsibilitiesJob Purpose The data analyst will provide the big data analytic support to the Analytic Center of Excellence. He will partner with business and project leader to discover, analyse and process the data to develop analytic and data science solutions. This position allows those with strong data analytic skill and theoretical understanding of advanced analytic algorithms but lack of hands on experience in advanced analytics to learn and prepare for the role of data scientist - advanced analytics in the future. Responsibilities   Identify, profile, analyze and present the data discovery output for analytic projects Develop data ingestion pipeline and create the analytic data assets for analytic projects Work with data engineer to enhance the analytic data infrastructure and develop enterprise analytic data mart Perform data wrangling and feature engineering for machine learning Create helper functions to automate frequently encountered wrangling and feature engineering tasks ","Requirements Bachelors/Masters in Computer Science, Statistics, Mathematics and other highly quantitative fields such as bio-informatics Minimum 3 years of industry experience in data analytics working in a big data environment, preferably in financial services industry Highly proficient with data wrangling, analytic, transformation and feature engineering using programming tools such as Spark, Python or R. Excellent knowledge of SQL. Excellent visualization and communication skills. ","AVP  /  Senior Associate, Data Analyst, Analytic Center of Excellence, Transformation Grp (180003G5)","$5,500to$11,000",Monthly,"Manager, Senior Executive",https://www.mycareersfuture.sg/job/avp-senior-associate-data-analyst-analytic-center-excellence-transformation-grp-dbs-bank-b914690e3a0a71debdbac82d7ff29f2b
7,AIRBNB SINGAPORE PRIVATE LIMITED,158 CECIL STREET 069545,Full Time,Consulting ,"Roles & ResponsibilitiesFounded in 2008, Airbnb is a global travel community that offers magical end-to-end trips, including where you stay, what you do and the people you meet. Airbnb uniquely leverages technology to economically empower millions of people around the world to unlock and monetize their spaces, passions and talents to become hospitality entrepreneurs. Airbnb’s accommodation marketplace offers access to millions of places to stay in more than 191 countries, from apartments and villas to castles, treehouses and B&Bs. With Experiences, people can see a different side to a destination through unique, handcrafted activities run by locals.All of this is brought together in one easy-to-use and beautifully designed website and app. As we expand our business, we continue to look for the best and brightest to drive strategic business decisions. As a Manager on our team, you will be responsible for partnering with our APAC leadership team to understand key growth drivers, and provide actionable and strategic insights. We seek versatile thinkers who can structure and analyze a variety of business problems. We also value those who can lead cross-functional teams and drive projects from ideation to strategy and implementation.   Responsibilities:  Guide business strategy and drive outcomes: Develop deep understanding of what drives growth and efficiency for our business; partner with the leadership team to translate insights into action; lead our regular APAC MBR/QBRs Define metrics and manage performance: Identify metrics that align with business drivers; set team goals; and track progress Identify step-change opportunities: Partner with operating teams to identify areas of outsized impact through quantitative analysis, industry benchmarks, and competitive research, taking an objective view. Elevate, champion, and drive these opportunities Provide the investor mindset: Create the business / investment cases for new initiatives and help leadership prioritize resourcing. Consider the range of outcomes that an initiative may have on the company and how to push for upside Lead through influencing: Build consensus across cross-functional teams to drive business outcomes, including: Product, Operations, Data Science, and Sales ","RequirementsRequirements:  6+ years of relevant business analysis experience. Ideally you have a mix of management consulting, business operations, private equity and start-up or operating company experience Ability to work and influence cross-functionally is a must. You are proactive, effective at communicating with different audiences, and can bring different stakeholders on-board. You seek out and have a track record for driving change and impact in a fluid, unstructured working environment You’re someone who possesses grit and finds creative ways to get the job done. You bring high energy and the ability to prioritize and deliver in a fast paced environment Strong analytical abilities and able to synthesize complex information. You enjoy absorbing large amounts of data and qualitative insights and can quickly develop a strong narrative that leads to recommendations and builds our understanding of the business You’re not afraid to roll your sleeves up when needed. You’re very comfortable with financial modeling in Excel, creating a regional P&L and building presentations in PowerPoint / Keynote. Comfortable using SQL (or be willing to learn SQL) ","Strategic Planning & Analysis Manager, APAC","$8,000to$15,000",Monthly,Manager,https://www.mycareersfuture.sg/job/strategic-planning-analysis-manager-apac-airbnb-singapore-fd1c799a076f63769556f0cdbf57648d
8,GROUPM ASIA PACIFIC HOLDINGS PTE. LTD.,"CHINA SQUARE CENTRAL, 18 CROSS STREET 048423",Full Time,Others,"Roles & ResponsibilitiesXaxis Singapore Overview of job   Xaxis is an agency of GroupM, the world’s largest media investment company and are a part of WPP. In fact, we are responsible for one in every three ads you see globally. We are currently looking for a Data Science Manager to join us. We are looking for a Data Scientist who will support our analytics, product team, sales, and marketing teams with insights gained from analysing a multitude of data sources across the programmatic advertising space. The ideal candidate is adept at using large data sets to find opportunities for campaign optimization and using models to test the effectiveness of different courses of action. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets, working with stakeholders to improve business outcomes, and effectively communicating their ideas and solutions to the wider organisation. At GroupM APAC, our people are our strength, which is why fostering a culture of diversity and inclusion is important to us. Reporting of the role This role reports to: Director, of Marketing Science APAC in Singapore  3 best things about the job:  Ability to work collaboratively with global data engineering, data science, and product teams Ability to experiment with new technologies / algorithms to solve business needs Ability to be involved in the forefront of the AdTech industry    In this role, our Manager, Data Science APAC will take the lead in the brainstorming and development of custom bidding algorithms for key clients across APAC.  You will provide guidance and direction on the ideal application of our data platforms, enabling our regional teams to leverage the data and outputs into actionable and insightful visualisations. The role of Manager, Data Science APAC will, put simply, ‘make data happen’ for Xaxis – and is a key role given the growth of data-driven marketing, and the key opportunity for programmatic media in this space.  Your success will lie in your capability to leverage; disparate data sets, multiple platforms, and multiple stakeholders, while delivering high quality actionable solutions to our regional and local teams. In three months:   You will have a firm understanding of where Xaxis “data” resides, it’s value, and be able to access it with ease You will understand the internal processes, products, and services Xaxis provides to its clients and how your role ties into that value chain      In six months:  You will be part of internal innovation projects and initiatives where you will begin to provide actionable recommendations on the usage of our data You will understand how Xaxis data can be leveraged to solve problems and where to go to find the required pieces of information. You will become confident in your capabilities and be able to independently support regional and local markets on their requests and problems  In 12 months:  You will become a central decision maker and point of contact for future developments and investments in the space of data science at Xaxis APAC You will take part in global hackathons where you will be provided opportunities to expand your skillsets and ingest ideas from other regional teams, leveraging those ideas for the APAC markets   What your day job looks like at Xaxis:  Custom Algorithm Brainstorming and Development: Act as the marketing science lead for custom algorithm development as part of the internal Xaxis Copilot team Innovation and Development of Marketing Science Products and Processes: Take the lead in developing new ways to “look at data” and help build our portfolio of analytics capabilities by leveraging our data and tools.   Product Development, Product & Strategy Testing: Be the key point of contact in the marketing science team for our APAC product team, to assist in development and testing Programmatic Analytics Platform Management: Manage the end to end process of analytics strategy, tagging, and monitoring for our ([m]Platform) internal analytics platform for key clients across APAC    Minimum qualifications: The ideal candidate will hold a bachelors or master’s degree in statistics, mathematics, business analytics, and or computer science with a minimum of 4 years’ experience, preferably in the advertising / marketing industry.  You will a need deep understanding of supervised, unsupervised, and dimension reduction machine learning techniques and be familiar with CRISP-DM methodology.  You will also need to be proficient in R, Python, and be able to easily extract data via API calls and from SQL databases (ETL).  Additionally, this role will require you to have a solid understanding of statistics, and be able to conduct statistical tests.   Most importantly, we are looking for someone that is a great collaborator, communicator, and team player.   Other Skillsets Desired:  Familiar with Web Scraping Familiar with Amazon Web Services (e.g. EC2, S3, Redshift) Familiar with Google Cloud Platform (e.g. Compute Engine, BigQuery, Cloud Storage) Familiar with Spark Familiar with R Shiny Familiar with advanced analytics techniques for programmatic advertising Elementary proficiency in HTML and JavaScript  More about Xaxis Xaxis is The Outcome Media Company. It combines advanced artificial intelligence with proprietary data and proven expertise to optimize programmatic media investments and achieve improved, verifiable results for its clients. Xaxis offers managed programmatic services in 47 markets including North America, Europe, Asia Pacific, Latin America, the Middle East, and Africa. For more information, visit www.xaxis.com About Singapore  GroupM Singapore operates in one of the most dynamic and exciting environments in the world. Although it is a small domestic market, there is a vibrant media industry which is undergoing rapid evolution as digital technology reshapes the way marketing supports advertisers’ needs. Being at the crossroads of Asia means that aside from the local clients and media owners, we also have a high proportion of multi-national clients and media owners. As the largest media investment management company in Singapore with over 41% market share (Recma) and over 650 employees, GroupM Singapore is the premiere organisation to join and develop a career in.","RequirementsXaxis Singapore  What your day job looks like at Xaxis:  Custom Algorithm Brainstorming and Development: Act as the marketing science lead for custom algorithm development as part of the internal Xaxis Copilot team Innovation and Development of Marketing Science Products and Processes: Take the lead in developing new ways to “look at data” and help build our portfolio of analytics capabilities by leveraging our data and tools.   Product Development, Product & Strategy Testing: Be the key point of contact in the marketing science team for our APAC product team, to assist in development and testing Programmatic Analytics Platform Management: Manage the end to end process of analytics strategy, tagging, and monitoring for our ([m]Platform) internal analytics platform for key clients across APAC    Minimum qualifications: The ideal candidate will hold a bachelors or master’s degree in statistics, mathematics, business analytics, and or computer science with a minimum of 4 years’ experience, preferably in the advertising / marketing industry.  You will a need deep understanding of supervised, unsupervised, and dimension reduction machine learning techniques and be familiar with CRISP-DM methodology.  You will also need to be proficient in R, Python, and be able to easily extract data via API calls and from SQL databases (ETL).  Additionally, this role will require you to have a solid understanding of statistics, and be able to conduct statistical tests.   Most importantly, we are looking for someone that is a great collaborator, communicator, and team player.   Other Skillsets Desired:  Familiar with Web Scraping Familiar with Amazon Web Services (e.g. EC2, S3, Redshift) Familiar with Google Cloud Platform (e.g. Compute Engine, BigQuery, Cloud Storage) Familiar with Spark Familiar with R Shiny Familiar with advanced analytics techniques for programmatic advertising Elementary proficiency in HTML and JavaScript ",Data Science Manager - Analytics Manager,"$4,000to$7,000",Monthly,Manager,https://www.mycareersfuture.sg/job/data-science-manager-analytics-manager-groupm-asia-pacific-holdings-5686cc3415838b170e1681edb551e84e
9,Ministry of Manpower,18 HAVELOCK ROAD 059764,Full Time,Public / Civil Service,"Roles & ResponsibilitiesThe job holder is responsible for using analytics to detect abuses and fraud within the work pass framework and to formulate strategies to deter abuses and prevent fraudulent applications.
 
Responsibilities

Extract and manipulate large data sets using scripting languages like R, Python or standard tools.
Apply statistical and machine learning techniques on large datasets to develop a model to detect risks and vulnerabilities in the work pass framework.
Conceptualise and implement measures and processes to strengthen detection of fraudulent work pass applications and employers, and propose interventions to close loopholes and gaps. 
Collaborate with work pass processing/enforcement teams to gather insights on emerging trends and validate the insights from the model, to ensure that the model is precise and robust.
Make use of visualisation software (e.g. Tableau) to present the data and insights gathered.
Collaborate with other data science units in MOM, GovTech to improve the robustness and precision of the model.
Actively conduct technology scans to look out for evolving statistical and machine learning techniques to improve the effectiveness of the model.
Provide technical inputs to integrate data analytics into enterprise systems.

 
Requirements

Possess tertiary qualification in Computer Science, Applied Mathematics, Statistics, Engineering, Econometric, Operations Research, or related disciplines
Possess strong analytical and problem-solving skills
Have good communication (written and spoken) and interpersonal skills
Be a good team player with a customer-focused mindset
Be able to work independently and adapt to complex changes
",Unknown,"Manager /  Senior Manager, Compliance Strategy & Analytics, Work Pass Division (1 year contract)",Salary undisclosed,Unknown,Unknown,https://www.mycareersfuture.sg/job/manager-senior-manager-compliance-strategy-analytics-work-pass-division-ministry-manpower-0c31118575b148585768bf8d35865efc
