,company,company_address,employment_type,job_category,job_description,job_requirements,job_title,salary_range,salary_type,seniority,url
0,Company Undisclosed,Unknown,"Contract, Full Time",Information Technology,"Roles & Responsibilities Collaborate with stakeholders to understand their needs/pain points to design solutions to be used for streamlining operations or developing solutions for citizens Build and manage entire end-to-end lifecycle of scoping of data inputs, data cleaning and preprocessing, feature engineering, building models, deploying to production and improving models by iterations Contribute to the data architecture engineering decisions to support analytics   ","Requirements Understand key concepts, techniques and considerations in machine learning and data analytics Experience with implementing variety of predictive modeling algorithms/recommender systems Expert in Feature Selection/Extraction on a variety of data types Good to have experience with cloud deployments of ML models using AWS/GCP/Azure for training and as API endpoints to support production use cases   ",Data Scientist,"$6,000to$8,000",Monthly,Executive,https://www.mycareersfuture.sg/job/data-scientist-ad1154e450d05d35a3b5beda96b1d4f3
1,DBS BANK LTD.,Unknown,"Permanent, Full Time",Banking and Finance,"Roles & ResponsibilitiesJob Purpose The Lead Data Scientist manages a team of data scientists within Consumer Banking Group Technology, Big Data & Analytics Technology division to drive value for the business by leveraging machine learning.  He/ She will have opportunities to work on various projects that provide data-driven insights that enable enhanced capabilities in the areas of business growth, risk management, productivity etc.  Also, he/she will be responsible to lead a team of ML engineers that will work with data scientists to create, optimize and productionize of machine learning models for various business units within the organization. Keep innovating and optimizing data and machine learning workflow to enable data-driven business activities at large scale.   Responsibilities  Lead, guide, and manage the team of data scientists Overall accountable for the team’s delivery of data science projects that drive value for business Establish, apply and maintain best practices and principles of machine learning engineering. Manage and guide a team of ML engineers that work with data scientists to build end-to-end machine learning and analytics solution to solve business challenges Manage and guide a team of experienced data scientists to drive projects and be accountable for the output of the team Partner with business stakeholders to understand needs and identify opportunities to apply data science Frame this opportunity as a data science problem, formulating hypotheses and techniques for experimentation Oversee the process of data exploration & preparation, the conduct of experiments, review of model performance, and presentation of results to business stakeholders for their feedback Lead the presentation of key insights to management with actionable recommendations Manage the team to facilitate deployment of finalised solutions to production environment Oversee the ongoing monitoring of model performance, and the process of model retraining if necessary ","Requirements At least 5 years of industry experience in data science PhD or advanced degree holder in computer science, machine learning, statistics, decision science, mathematics or equivalent Prior experience managing teams of PhD-level data scientists preferred Excellent advanced analytics skills, with prior industry experience developing machine learning solutions for classification, prediction, forecasting and/or anomaly detection problems Excellent understanding of software engineering principles and design patterns. Excellent programming skills in either Python, Scala, or Java. In-depth understanding of data science and machine learning technologies and methodologies. Good working knowledge of high performance computing, parallel data processing, and big data stack, e.g. Spark and Hadoop/Yarn. Highly proficient in data manipulation Strong expertise in at least one of the following areas (or equivalent): deep learning, NLP, graph mining, anomaly detection, large-scale recommender engines, large-scale optimizations, large-scale multivariate time-series forecasting, causal and statistical reasoning Ability to present analysis in a manner accessible by non-practitioners Good verbal and written communication skills and the ability to interact professionally with business executives Has a ‘can-do’ attitude Prior experience in banks not required but may be considered ","SVP / VP, Lead Data Scientist, Group Consumer Banking and Big Data Analytics Tech (180003Y7)","$9,500to$18,000",Monthly,Senior Management,https://www.mycareersfuture.sg/job/svp-vp-lead-data-scientist-group-consumer-banking-big-data-analytics-tech-dbs-bank-1e58ca9d6b252e4547ae9c9c64bc7b6d
2,CAPGEMINI SINGAPORE PTE. LTD.,6 BATTERY ROAD 049909,"Permanent, Contract",Information Technology,"Roles & Responsibilities   Work with stakeholders to understand the business use case/concept, brainstorm and recommend the statistical/predictive model, and develop it on the available statistical modeling tools. Use the company database to develop data set for data modeling, mining and production. It includes basic data engineering skills. Coordinate with different functional teams to implement models and monitor outcomes. Develop processes and tools to monitor and analyze model performance and data accuracy ","Requirements Flexible to do a contractual role Experience using computer languages (R, Python, SQL, etc.) to manipulate data and draw insights from large data sets. Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks. Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc. ",Data Scientist,"$7,000to$10,000",Monthly,Professional,https://www.mycareersfuture.sg/job/data-scientist-capgemini-singapore-4add082ba364fafb9c1066505cc5b7b6
3,DBS BANK LTD.,Unknown,"Permanent, Full Time",Banking and Finance,"Roles & Responsibilities Drive enterprise strategy on testing and production deployment of machine learning and AI products  Drive the discussion between data science and IT on the architecture and solution design to ensure production and deployment is fully considered Drive the testing and deployment of the machine learning products into production Lead the requirement gathering and release road map for analytic platform features Develop enterprise standards and practice on testing and production deployment of machine learning and AI products Drive the adoption of software development practice in data science teams, such as agile development, software development life cycle (SDLC), continues improvement and continues deployment (CI/CD) and testing strategy. ","Requirements Solid track record of deploying machine learning solution into production environment and integrate into operation  Expert in identifying and solving issues when putting model into production – load balancing, distribution, through-put, latency, availability, stability, refactoring, repackaging, versioning, scoring, real time / online scoring, performance monitoring and management,   Expert on the open source stack of bid data and machine learning solutions such as Hadoop, Spark, YARN, Mesos, Hive, Impala, Spark Streaming, Kafka, API, Anaconda / R studio server, Kubernetes,  Familiar with development, deployment, production and operation life cycle of the machine learning product and software best practices such as SDLC, CICD, Test-Driven Development (TDD) Excellent problem-solving skills and strategic thinker Proficiency in Python, R, Spark, Java and Scala Good interpersonal skill and able to influence the decision making of data science and IT team Solid written and communication skills ","SVP / VP, Senior Data Scientist, Data & Transformation, Technology and Operations (1800039X)","$9,500to$19,000",Monthly,"Senior Management, Middle Management",https://www.mycareersfuture.sg/job/svp-vp-senior-data-scientist-data-transformation-technology-operations-dbs-bank-af5fcadc3df9dce77d6b77d10a7c84c8
4,DBS BANK LTD.,Unknown,"Permanent, Full Time",Banking and Finance,"Roles & ResponsibilitiesJob Purpose The data analyst will provide the big data analytic support to the Analytic Center of Excellence. He will partner with business and project leader to discover, analyse and process the data to develop analytic and data science solutions. This position allows those with strong data analytic skill and theoretical understanding of advanced analytic algorithms but lack of hands on experience in advanced analytics to learn and prepare for the role of data scientist - advanced analytics in the future. Responsibilities   Identify, profile, analyze and present the data discovery output for analytic projects Develop data ingestion pipeline and create the analytic data assets for analytic projects Work with data engineer to enhance the analytic data infrastructure and develop enterprise analytic data mart Perform data wrangling and feature engineering for machine learning Create helper functions to automate frequently encountered wrangling and feature engineering tasks ","Requirements Bachelors/Masters in Computer Science, Statistics, Mathematics and other highly quantitative fields such as bio-informatics Minimum 3 years of industry experience in data analytics working in a big data environment, preferably in financial services industry Highly proficient with data wrangling, analytic, transformation and feature engineering using programming tools such as Spark, Python or R. Excellent knowledge of SQL. Excellent visualization and communication skills. ","AVP  /  Senior Associate, Data Analyst, Analytic Center of Excellence, Transformation Grp (180003G5)","$5,500to$11,000",Monthly,"Manager, Senior Executive",https://www.mycareersfuture.sg/job/avp-senior-associate-data-analyst-analytic-center-excellence-transformation-grp-dbs-bank-b914690e3a0a71debdbac82d7ff29f2b
5,CAREER TREND PTE. LTD.,"THE ADELPHI, 1 COLEMAN STREET 179803",Full Time,Information Technology,"Roles & ResponsibilitiesWork with marketing teams building the next-generation intelligent HW platforms. As an architect, you’ll work with SW/applications team on driving future requirements on machine learning/computer vision applications, prototype them in C++/Python, write architecture spec and work with HW & FPGA design teams for implementation. • CS/EE/Data Scientist specializing in Machine Learning, Deep Learning or computer vision systems • Expertise and experience in machine learning algorithms, such as convolutional neural network, LSTM (Long Short-Term Memory) neural network, classification/detection and their applications • Familiarity in computer vision algorithms such as object detection, tracking and recognition, 3D computer vision — SfM/SLAM Understanding the system implications of aforementioned algorithms in terms of performance and power","Requirements• Programming skills in C++/C and Python • Knowledge in image processing pipeline is a plus • Strong communication skills and ability to work across various groups • FPGA understanding is a plus • Degree in computer science or EEE with 5 years of design experience If you are keen in this position, kindly send your resume to ec@careertrend.com.sg (Eileen Chin, EA Personnel Registration No.: R1108737)",Design Engineer / Electronic Component MNC / 5 days week / Max $5500,"$4,000to$5,500",Monthly,Senior Executive,https://www.mycareersfuture.sg/job/design-engineer-electronic-component-mnc-5-days-week-max-5500-career-trend-42ad407aaf8f53fb2a72e920990622b2
6,ALPHATECH BUSINESS SOLUTIONS PTE. LTD.,Unknown,"Permanent, Full Time",Information Technology,"Roles & Responsibilities·       Use machine learning and analytical techniques to build prediction models for different use cases. ·       Design, develop and test advanced models for predictive behavior. ·       Co-operate with software engineering teams to drive real-time model implementations and new feature creations. ·       Design efficient, scalable, automated processes for large scale data analyses, model development, model validation and model implementation ·       Research and evaluate pioneering machine learning and statistical model Requirement","Requirements·       Atleast 3+ years of Deep Learning and machine learning experience. ·       Good understanding about supervised and unsupervised learning algorithms. ·       Generate and test working Hypothesis. ·       Mandatory coding experience in Python ·       Experience working with modern Deep Learning techniques, framework and applications. ·       Experience in DL framework (e.g Caffe, Tourch, Tensorflow). ·       Exposure to GPU technology and CUDA programming ·       2 year or above experience in Algorithms, statistical analysis, computational NLP and/or machine learning. ·       Strong teamwork and interpersonal skills. ·       Action oriented with strong analytical and problem solving skill.",Data Scientist,"$5,500to$8,000",Monthly,Professional,https://www.mycareersfuture.sg/job/data-scientist-alphatech-business-solutions-9f43299157e8a059691d6fcc3e66f926
7,CHARLES & KEITH (SINGAPORE) PTE. LTD.,"CHARLES & KEITH GRP HEADQUARTERS, 6 TAI SENG LINK 534101",Full Time,Information Technology,"Roles & ResponsibilitiesWe are looking for a savvy Software turned Data Engineer to join our growing Data Engineering team. The ideal candidate is an experienced data pipeline builder and data wrangler who enjoys optimizing data systems and building them from the ground up. He/She will be responsible for designing, expanding and optimizing our data and data pipeline architecture, as well as optimizing data flow and collection for cross functional teams. Supporting our software developers, data architect, data analysts and data scientists on organisation wide data initiatives, he/she will ensure optimal data delivery that is consistent throughout ongoing projects. Self-directed and comfortable supporting the data needs of multiple teams, systems and products, he/she will be excited by the prospect of optimizing or even re-designing our organisation’s data architecture with architect to support our next generation of products and data initiatives. Roles & Responsibilities  Create and maintain optimal data pipeline architecture Assemble large, complex data sets that meet functional / non-functional business requirements Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, collaborate with infra team to re-designing infrastructure for greater scalability and stability Collaborate with infrastructure team for provisioning required infrastructure for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and ‘big data’ technologies Work with stakeholders including the Executive, Product, Data and Design teams to assist with data-related technical issues and support their data needs Keep our data separated and secure across national boundaries through multiple data centres and AWS regions Create data tools for analytics and data scientist team members that assist them in building and optimizing models which enables us as an innovative industry leader. Work with data and analytics experts to strive for greater functionality in our data systems Build tools from ground up that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency and other key business performance metrics     ","RequirementsWe are looking for a candidate with 5+ years of experience in a Software Engineer role who wants to move into Data Engineering or is currently working as Data Engineer. He/She should have attained a Graduate degree in Computer Science, Statistics, Informatics, Information Systems or another quantitative field and also have experience using the following software/tools:  Experience with object-oriented/object function scripting languages: Python and/or Java, C++, Scala, etc. Experience with big data tools: Hadoop, Spark, Kafka, NiFi, sqoop, etc. Experience with relational SQL and NoSQL databases. Experience with data pipeline and workflow management tools: Luigi, Airflow, etc. Experience with AWS cloud services: EC2, EMR, Kenesis, Firehose Experience with stream-processing systems: Storm, Spark-Streaming, etc. ​    Additional Requirements  Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with widely used RDBMS Experience building and optimizing ‘big data’ data pipelines, architectures and data sets Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement Strong analytic skills related to working with unstructured datasets. Build processes supporting data transformation, data structures, metadata, dependency and workload management A successful history of manipulating, processing and extracting value from large disconnected datasets Working knowledge of message queuing, stream processing, and highly scalable ‘big data’ data stores Strong project management and organizational skills. Experience supporting and working with cross-functional teams in a dynamic environment   ",DATA ENGINEER,"$5,000to$6,000",Monthly,Executive,https://www.mycareersfuture.sg/job/data-engineer-charles-keith-9f7e01404a2633eb48701a27a119b430
8,GROUPM ASIA PACIFIC HOLDINGS PTE. LTD.,"CHINA SQUARE CENTRAL, 18 CROSS STREET 048423",Full Time,Others,"Roles & ResponsibilitiesXaxis Singapore Overview of job   Xaxis is an agency of GroupM, the world’s largest media investment company and are a part of WPP. In fact, we are responsible for one in every three ads you see globally. We are currently looking for a Data Science Manager to join us. We are looking for a Data Scientist who will support our analytics, product team, sales, and marketing teams with insights gained from analysing a multitude of data sources across the programmatic advertising space. The ideal candidate is adept at using large data sets to find opportunities for campaign optimization and using models to test the effectiveness of different courses of action. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets, working with stakeholders to improve business outcomes, and effectively communicating their ideas and solutions to the wider organisation. At GroupM APAC, our people are our strength, which is why fostering a culture of diversity and inclusion is important to us. Reporting of the role This role reports to: Director, of Marketing Science APAC in Singapore  3 best things about the job:  Ability to work collaboratively with global data engineering, data science, and product teams Ability to experiment with new technologies / algorithms to solve business needs Ability to be involved in the forefront of the AdTech industry    In this role, our Manager, Data Science APAC will take the lead in the brainstorming and development of custom bidding algorithms for key clients across APAC.  You will provide guidance and direction on the ideal application of our data platforms, enabling our regional teams to leverage the data and outputs into actionable and insightful visualisations. The role of Manager, Data Science APAC will, put simply, ‘make data happen’ for Xaxis – and is a key role given the growth of data-driven marketing, and the key opportunity for programmatic media in this space.  Your success will lie in your capability to leverage; disparate data sets, multiple platforms, and multiple stakeholders, while delivering high quality actionable solutions to our regional and local teams. In three months:   You will have a firm understanding of where Xaxis “data” resides, it’s value, and be able to access it with ease You will understand the internal processes, products, and services Xaxis provides to its clients and how your role ties into that value chain      In six months:  You will be part of internal innovation projects and initiatives where you will begin to provide actionable recommendations on the usage of our data You will understand how Xaxis data can be leveraged to solve problems and where to go to find the required pieces of information. You will become confident in your capabilities and be able to independently support regional and local markets on their requests and problems  In 12 months:  You will become a central decision maker and point of contact for future developments and investments in the space of data science at Xaxis APAC You will take part in global hackathons where you will be provided opportunities to expand your skillsets and ingest ideas from other regional teams, leveraging those ideas for the APAC markets   What your day job looks like at Xaxis:  Custom Algorithm Brainstorming and Development: Act as the marketing science lead for custom algorithm development as part of the internal Xaxis Copilot team Innovation and Development of Marketing Science Products and Processes: Take the lead in developing new ways to “look at data” and help build our portfolio of analytics capabilities by leveraging our data and tools.   Product Development, Product & Strategy Testing: Be the key point of contact in the marketing science team for our APAC product team, to assist in development and testing Programmatic Analytics Platform Management: Manage the end to end process of analytics strategy, tagging, and monitoring for our ([m]Platform) internal analytics platform for key clients across APAC    Minimum qualifications: The ideal candidate will hold a bachelors or master’s degree in statistics, mathematics, business analytics, and or computer science with a minimum of 4 years’ experience, preferably in the advertising / marketing industry.  You will a need deep understanding of supervised, unsupervised, and dimension reduction machine learning techniques and be familiar with CRISP-DM methodology.  You will also need to be proficient in R, Python, and be able to easily extract data via API calls and from SQL databases (ETL).  Additionally, this role will require you to have a solid understanding of statistics, and be able to conduct statistical tests.   Most importantly, we are looking for someone that is a great collaborator, communicator, and team player.   Other Skillsets Desired:  Familiar with Web Scraping Familiar with Amazon Web Services (e.g. EC2, S3, Redshift) Familiar with Google Cloud Platform (e.g. Compute Engine, BigQuery, Cloud Storage) Familiar with Spark Familiar with R Shiny Familiar with advanced analytics techniques for programmatic advertising Elementary proficiency in HTML and JavaScript  More about Xaxis Xaxis is The Outcome Media Company. It combines advanced artificial intelligence with proprietary data and proven expertise to optimize programmatic media investments and achieve improved, verifiable results for its clients. Xaxis offers managed programmatic services in 47 markets including North America, Europe, Asia Pacific, Latin America, the Middle East, and Africa. For more information, visit www.xaxis.com About Singapore  GroupM Singapore operates in one of the most dynamic and exciting environments in the world. Although it is a small domestic market, there is a vibrant media industry which is undergoing rapid evolution as digital technology reshapes the way marketing supports advertisers’ needs. Being at the crossroads of Asia means that aside from the local clients and media owners, we also have a high proportion of multi-national clients and media owners. As the largest media investment management company in Singapore with over 41% market share (Recma) and over 650 employees, GroupM Singapore is the premiere organisation to join and develop a career in.","RequirementsXaxis Singapore  What your day job looks like at Xaxis:  Custom Algorithm Brainstorming and Development: Act as the marketing science lead for custom algorithm development as part of the internal Xaxis Copilot team Innovation and Development of Marketing Science Products and Processes: Take the lead in developing new ways to “look at data” and help build our portfolio of analytics capabilities by leveraging our data and tools.   Product Development, Product & Strategy Testing: Be the key point of contact in the marketing science team for our APAC product team, to assist in development and testing Programmatic Analytics Platform Management: Manage the end to end process of analytics strategy, tagging, and monitoring for our ([m]Platform) internal analytics platform for key clients across APAC    Minimum qualifications: The ideal candidate will hold a bachelors or master’s degree in statistics, mathematics, business analytics, and or computer science with a minimum of 4 years’ experience, preferably in the advertising / marketing industry.  You will a need deep understanding of supervised, unsupervised, and dimension reduction machine learning techniques and be familiar with CRISP-DM methodology.  You will also need to be proficient in R, Python, and be able to easily extract data via API calls and from SQL databases (ETL).  Additionally, this role will require you to have a solid understanding of statistics, and be able to conduct statistical tests.   Most importantly, we are looking for someone that is a great collaborator, communicator, and team player.   Other Skillsets Desired:  Familiar with Web Scraping Familiar with Amazon Web Services (e.g. EC2, S3, Redshift) Familiar with Google Cloud Platform (e.g. Compute Engine, BigQuery, Cloud Storage) Familiar with Spark Familiar with R Shiny Familiar with advanced analytics techniques for programmatic advertising Elementary proficiency in HTML and JavaScript ",Data Science Manager - Analytics Manager,"$4,000to$7,000",Monthly,Manager,https://www.mycareersfuture.sg/job/data-science-manager-analytics-manager-groupm-asia-pacific-holdings-5686cc3415838b170e1681edb551e84e
9,Company Undisclosed,Unknown,Full Time,"Engineering, Information Technology, Others","Roles & Responsibilities Being part of the Data Engineering Team to conceptualise, build and maintain the Data Infrastructure for relational as well as Big Data Infrastructure in order to deliver a high performanc Data Environment to process Retail and Shopper Data from various partners. Being responsible for Data Warehousing Design, Data Integration Processes, Database Ressource Planning, Infrastructure Performance, Data Governance and Security Management as well as design, architecture, implementation and documentation of new, scalable ETL processes, pipelines, pathways and dimensional data models. Audit and QA data and processes to ensure data quality and integrity throughout the data ecosystem Work with Data Scientist, Business Consultant and Frontend Developer to build scalable Data Analytics Apps using advanced analytics.     ","Requirements You have 10+ years hands-on experience and a passion for data engineering in a big data envrionment, ETL Processes and related services as well as experience and a very good understanding of AWS Big Data Cloud Infrastructure. You have very good experience in relational Database Technologies (ideally MS SQL) and Big Data Technologies and Database Performance Tuning . You are a highly motivated, challenge-taking Personality with a positive attitude. Team-oriented with an international mindset. You like to work in a dynamic Start-Up Environment and build exciting new Data Products within a motivated team. Fluent in English written and oral and ready to travel. You feel comfortable in developing on your own but also in working with a team of developers   ",Data Engineer (Big Data),"$6,000to$8,000",Monthly,Executive,https://www.mycareersfuture.sg/job/data-engineer-154eb447d815b4ca348b1540b6893368
