,company,company_address,employment_type,job_category,job_description,job_requirements,job_title,salary_range,salary_type,seniority,url
0,PEOPLE PROFILERS PTE. LTD.,"SHAW TOWERS, 100 BEACH ROAD 189702",Permanent,Information Technology,Roles & Responsibilities Fast expanding company  Work with cutting edge technologies Central location Competitive salary based on experience  Role:  Developing scalable processes for large-scale data analysis and model development Apply machine learning to model complex business trends Project management Guide junior members Keep up to date with new technologies ,"RequirementsRequirements:  Master’s degree in Computer Science, Data Analytics or similar At least 3 years related work experience Previous experience in deep learning/machine learning/AI Very familiar with Python & Java, & Linux architecture  Interested applicants may wish to email your resume in a detailed Word format to ruth.gan@peopleprofilers.com. Please include last drawn and expected salaries and notice period. We regret that only shortlisted candidates will be notified.   Gan Huiru  Recruitment Consultant  Tel: +65 6594 9897 Fax +65 6835 7890  Address: 100 Beach Road #33-06 Shaw Tower Singapore 189702 Email: ruth.gan@peopleprofilers.com EA License Number: 02C4944 Registration Number: R1768917","Machine Learning Engineer (AI / Python, Java)","$5,000to$9,000",Monthly,Senior Executive,https://www.mycareersfuture.sg/job/machine-learning-engineer-people-profilers-86ca09b7c18737a29fe5afad398348ca
1,ACRONIS ASIA RESEARCH AND DEVELOPMENT PTE. LTD.,"SUNTEC TOWER THREE, 8 TEMASEK BOULEVARD 038988",Full Time,Information Technology,"Roles & ResponsibilitiesWe are currently looking for a Machine Learning Engineer, a builder with a strong desire to apply machine learning to problems in areas ranging from analytics to security.   You will work on  Collecting and manipulating large data sets Developing, training, and evaluating machine learning models Bringing ML-based solutions to our customers by collaborating with the product engineering team ","Requirements 3+ years of Python programming experience 1+ years of production-grade machine learning engineering experience with Tensorflow/Pytorch Exposure to machine learning services from cloud providers like AWS, Google Cloud, and Azure Background in algorithms, data structures, distributed systems, security, and cryptography Proven analytical and communication skills ",Machine Learning Engineer,"$5,000to$7,000",Monthly,Executive,https://www.mycareersfuture.sg/job/machine-learning-engineer-acronis-asia-research-development-1508e30b7163bdfd7bcef2409c0ec0eb
2,SMARTSOFT PTE. LTD.,"INTERNATIONAL PLAZA, 10 ANSON ROAD 079903",Full Time,Information Technology,"Roles & Responsibilities Use machine learning and analytical techniques to build prediction models for different use cases. Design, develop and test advanced models for predictive behavior. Co-operate with software engineering teams to drive real-time model implementations and new feature creations. Design efficient, scalable, automated processes for large scale data analyses, model development, model validation and model implementation Research and evaluate pioneering machine learning and statistical model Requirement   ","Requirements Good understanding about supervised and unsupervised learning algorithms. Generate and test working Hypothesis. Mandatory coding experience in Python Experience working with modern Deep Learning techniques, framework and applications. Experience in DL framework (e.g Caffe, Tourch, Tensorflow). Exposure to GPU technology and CUDA programming 2+ year experience in Algorithms, statistical analysis, computational NLP and/or machine learning. Strong teamwork and interpersonal skills.  Action oriented with strong analytical and problem solving skill",Machine Learning Artificial Intelligence Engineer,"$4,000to$8,500",Monthly,Middle Management,https://www.mycareersfuture.sg/job/machine-learning-artificial-intelligence-engineer-smartsoft-e0bf5bfe17f3e5e9546961e70f6f64b3
3,PROPERTYGURU PTE. LTD.,"TRIPLEONE SOMERSET, 111 SOMERSET ROAD 238164","Permanent, Full Time","Engineering, Information Technology","Roles & ResponsibilitiesOur websites attract more than 100 million monthly page-views which results in non-stop massive click-stream for behaviour data with around 130 million users. We also have the most comprehensive data for property supply and demand in Southeast Asia. The data science team is empowered to build unique and compelling user experiences using machine learning. Our Machine Learning Engineers are expected to be multi lingual as they will need to seamlessly move from being a data scientist to a software engineer. The responsibility of a Machine Learning Engineer will be to quickly explore the upcoming technologies to help develop a streamlined approach to implement and deploy the models.   Responsibilities: Your work will be to develop, support and maintain the end-to-end platform which will allow us to develop and deploy various machine learning models into the PropertyGuru websites and apps with ease. To do this, you will be:  Learning and exploring new developments in machine learning / deep learning frameworks to develop and improve our model deployment pipelines Developing innovative approaches to automated (re) training and (re) deployment of the model  Some applications that the data teams support are as follows:  Clustering of users and listing to enable intelligent marketing strategies Image classification and segmentation to improve user experience Real-time recommendation engines to suggest appropriate listings to the users Natural Language Processing (NLP) to understand the text Search ranking models ","Requirements Bachelor’s degree in IT or relevant field. Alternatively, lesser qualifications with strong experience in machine learning will also be considered 2+ years of industry experience in building and productionizing end to end machine learning platforms Good engineering and coding skills with the ability to write high performance quality code Good understanding of common machine learning (Scikit-Learn) and deep learning frameworks (Pytorch, Tensorflow, Keras, etc.) Good understanding of common families of models, feature engineering, feature selection and other practical machine learning issues Experience in Python is a must. Other equivalent languages like C++, Java, Go, Scala is a plus Awareness of various cloud-based solutions such as AWS Sagemaker, Google CloudML, or Azure Batch AI will be an advantage ",Machine Learning Engineer,"$7,000to$9,000",Monthly,Professional,https://www.mycareersfuture.sg/job/machine-learning-engineer-propertyguru-7b7e8e0f1ffef788ef65b48337556878
4,LEADIQ SINGAPORE PTE. LTD.,"SPORE BUSINESS FEDERATION CTR, 160 ROBINSON ROAD 068914",Permanent,"Information Technology, Sciences / Laboratory / R&D","Roles & ResponsibilitiesAre you the type of engineer who punches juke boxes to make the music start? Do you consider riding your motorcycle off into the a sunset a personal hobby? Is architecting a system from the ground up no big deal to you? We're looking for full-time software engineer to make this happen. The Product We are on a mission to revolutionize Sales industry using data science. Our product helps our customers to collect and enrich their target prospects. Our internal data processing combines human intelligence and data science to enable our customers to find perfect contact information and save to their existing platforms like Salesforce, etc. The Challenge  We are at an exciting stage in our growth. We are getting traction with big customers, scaling out, and solving increasingly complex engineering problems. Our systems are mostly written in Scala. We have used Kafka as backbone to communicate between our API server and micro-services. Smart architecture design is crucial in order to guarantee our micro-services based systems run smoothly and reliably.  We have very complex integrations with 3rd parties systems like Salesforce, Gmail and etc. These integrations are core to what we're offering to our customers. This position will involve the development and deployment of machine learning technology in areas such as email signature extraction, account recommendation, company domain searching, natural language processing etc.  This position will involve collecting training and test data set using DB scripts or Spark scripts. This position will involve writing APIs for clients to utilize your trained models.  The Stack Scala, Python, Keras, Kafka, Spark, MongoDB, ElasticSearch, Hyperledger, Docker The Team We want team members with attributes like: - Focus on delivering value to the customer  - Strong belief in collaboration  - Passion that drives you to execute and innovate  - Ability to self-manage and take ownership of a feature  - Ability to juggle many projects and responsibilities - Extremely entrepreneurial and self-driven - Not afraid of a steep learning curve  - Passionate about building a big business that transforms the sales industry - Exceptional at writing scalable, production-ready code - Thrive in a fast-paced environment - Avoid over-engineering  - Simple designs and fast execution  - Discipline in following process and documenting your work These personality traits define the culture we are building and are more important to us than a particular set of technical skills. The Responsibilities If you join LeadIQ, you will learn a lot: In terms of technical ability there are many cool tools, technologies, patterns and other great developers that will sharpen your skills. Personally you be given the chance to step up, lead and make your mark in a growing startup as we tackle the challenges in our next phase of growth. On the technical front, we need you skilled in:  Analyze source data and data flows, working with structured and unstructured data Manipulate high-volume, high-dimensionality data from varying sources to highlight patterns, anomalies, relationships and trends Apply AI/Machine Learning technology to solve real-world problems Communicate and present models to customers and product team Coordinating with fellow engineering team to make product features that our customers will love to use At least one functional language. We're using Scala (or experience in e.g. Haskell or Clojure). You'll write Scala code to create APIs to access ML models. Python language. Our ML models are built with open source libraries that mostly use Python. Concurrency (futures, actors, basic understanding of threads).  Basic Qualifications  Master’s degree in Computer Science, Computer Engineering, Statistics, Economics, Mathematics or Physics or related field 2+ years of experience with Machine Learning techniques and tools to include one or more of the following: classification, clustering, regression or neural networks  Preferred Qualifications  1+ years of experience with Spark, Kafka, or Elastic Search 2+ years of experience of functional programming with Scala, Haskell or Clojure Demonstrated ability in the application of Machine Learning/AI in real-world industrial settings with large scale data Experience with Agile software development Strong oral, written and interpersonal communication skills and an ability to work in a team environment Comfortable working in an environment where problems are not always well-defined   So if you feel like you're a good fit for us, drop us a line! We love meeting developers who are excited by our product!","RequirementsIf you join LeadIQ, you will learn a lot: In terms of technical ability there are many cool tools, technologies, patterns and other great developers that will sharpen your skills. Personally you be given the chance to step up, lead and make your mark in a growing startup as we tackle the challenges in our next phase of growth. On the technical front, we need you skilled in:  Analyze source data and data flows, working with structured and unstructured data Manipulate high-volume, high-dimensionality data from varying sources to highlight patterns, anomalies, relationships and trends Apply AI/Machine Learning technology to solve real-world problems Communicate and present models to customers and product team Coordinating with fellow engineering team to make product features that our customers will love to use At least one functional language. We're using Scala (or experience in e.g. Haskell or Clojure). You'll write Scala code to create APIs to access ML models. Python language. Our ML models are built with open source libraries that mostly use Python. Concurrency (futures, actors, basic understanding of threads). ",Software Engineer in Machine Learning,"$5,000to$7,500",Monthly,Professional,https://www.mycareersfuture.sg/job/software-engineer-machine-learning-leadiq-singapore-b69aa7d21a9fb816b9f56da6f28a62f9
5,FIREVISOR SYSTEMS PTE. LTD.,32 CARPENTER STREET 059911,"Permanent, Full Time",Engineering,"Roles & ResponsibilitiesHIGHLIGHTS:  Join our team early on and craft the tech stack that will power future factories. You will have the opportunity to wear many hats and gain hands-on experience in many functions of the business. Gain domain knowledge and become proficient in an industry that hasn’t been explored much by data scientists. We have flexible work arrangements such as flexible working hours and work from home. YOUR MISSION:  We are looking for our first lead Machine Learning Engineer to turn the dream of a self-aware factory into reality. You will be working hand-in-hand with our CTO (http://github.com/mindworker) and your mission is to build and grow the data platform that manufacturers of the future are going to use. This is the Wild West, so be comfortable to adapt to changing responsibilities. Your responsibilities can range from: - Build surface defect detection models that are able to analyze 600 million parts every year  - Build an Outlier Detection model and help hundreds of process engineers to react to issues in the manufacturing line quickly  - R&D for a Defect Forecast Model and dramatically reduce industrial waste  - Design the Data Processing Pipelines that can transform, merge and clean terabytes of data  - Lead and grow your own machine learning team YOUR VALUES:  - Do you prefer autonomous work over a rigid task list?  - Do you see the great impact of manufacturing on our society?  - Are you a no-bullshit person? If you answer all with 'yes', we encourage you to apply. EQUAL OPPORTUNITY:  We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.","RequirementsABOUT YOU:  - 3+ years of experience in software development with machine learning and/or computer vision  - Experience in computer vision - specific skills in object detection, and classification is a plus  - Experience in learning algorithms (decision trees, support vector machines and deep learning) - specific skills in any MaskRCNN, Autoencoders, or Restricted Boltzmann Machine is a plus  - Good communication skills in English (Mandarin is a plus)",Machine Learning & Computer Vision Engineer,"$6,000to$10,000",Monthly,Professional,https://www.mycareersfuture.sg/job/machine-learning-computer-vision-engineer-firevisor-systems-8b38efb72dd61ee0811d39ca63ac3825
6,MEDIATEK SINGAPORE PTE. LTD.,"SOLARIS, 1 FUSIONOPOLIS WALK 138628",Permanent,Engineering,"Roles & Responsibilities1. Develop Machine Learning/Deep Learning algorithm for machine vision/natural language processing 2. Explore new applications in the next generation smartphone, surveillance, smart home and autonomous vehicles","Requirements1. Experience in deep neural networks (CNN, RNN, LSTM, and Transformer) 2. Experience in deep learning methodology such as unsupervised learning, reinforcement learning, network reduction, GAN 3. Experience in C/C++/Python Programming 4. Familiar with Machine Learning/Computer Vision 5. Familiar with Caffe/TensorFlow 6. Education (Bachelor/Master’s degree, Ph.D. is preferred)",Machine Learning Algorithm Engineer / Senior Engineer,"$3,500to$7,000",Monthly,"Executive, Senior Executive",https://www.mycareersfuture.sg/job/machine-learning-algorithm-engineer-senior-engineer-mediatek-singapore-a4929f3db11cd99ebd350e67ba89e07f
7,PROCTER & GAMBLE INTERNATIONAL OPERATIONS SA SINGAPORE BRANCH,"UOB PLAZA, 80 RAFFLES PLACE 048624","Permanent, Full Time",Information Technology,"Roles & ResponsibilitiesKeen to join one of the top employers in Singapore & the globe? Do you want to be part of an exciting innovation journey for brands like SK-II, Olay, Gillette, Pantene, Head & Shoulders, Joy & Vicks? Passionate about developing new capabilities in data science in our vibrant & growing R&D Singapore Innovation Center?  We are looking for a talented individual to join our upstream Beauty Technology group. We focus on delivering breakthrough, transformational new technology platforms for Beauty and Hair Care categories. Role Description  Develop and implement machine learning tools to extract insights from large proprietary image and text databases Partner with technical experts in multi-functional teams to assess and innovate superior approaches for large-scale data analytics and integration Help the team deploy models to practice and make frequent model improvements as new data is available ","Requirements M.S/Ph.D. in Computer Science, Applied Mathematics, or related field, relevant industrial experience is an advantage Good knowledge in variety of advanced data analysis and machine learning techniques, and experience in designing solutions in response to real-world business problems Experience in working with large unstructured datasets, deep Learning, computer vision algorithms and applying novel machine learning techniques to generate novel insights Proficient with programming languages such as Python and R Hands-on experience with Tensor Flow, Keras, MXnet, Caffe, Torch, or other deep learning framework Familiarity with Linux environments, and setting up and executing machine learning tasks on AWS/Google Cloud/Microsoft Azure Experience in working with common database platforms is a plus. Skilled in rapid prototyping and quick experimentation in working with machine learning moIels  Interested candidates to apply directly at www.pgcareers.com to Job Number : RND00003854 or via the link below: https://www.pgcareers.com/job/singapore/research-and-development-machine-learning-engineer/936/9626608",Engineer - Machine Learning,"$5,100to$9,500",Monthly,"Fresh/entry level, Professional",https://www.mycareersfuture.sg/job/engineer-machine-learning-procter-gamble-international-operations-sa-singapore-branch-b3403c4737c75732eb248276ca5ee81c
8,CUBEE PTE. LTD.,"SUNTEC TOWER THREE, 8 TEMASEK BOULEVARD 038988",Full Time,Information Technology,Roles & Responsibilities Machine Learning / Deep Learning model training/validation /testing to address business problems; Identify valuable data sources and automate collection processes Undertake to preprocess of structured and unstructured data Model deployment in a production environment and tuning Presenting information with visualization ,"Requirements Rich Python experience with numpy, pandas, tensorflow Knowledge of SQL Familiar with common machine learning algorithms and important statistics model Experience with data pre-processing BSc / Master Degree in computer science or statistics  Football fan is a plus  ",AI Engineer - Machine Learning,Salary undisclosed,Unknown,Executive,https://www.mycareersfuture.sg/job/ai-engineer-machine-learning-cubee-c5f5b1d44222627324afb698fac3db70
9,GOOGLE ASIA PACIFIC PTE. LTD.,"MARINA BAY FINANCIAL CENTRE, 8 MARINA BOULEVARD 018981",Full Time,Engineering,"Roles & ResponsibilitiesCompany overview: Google is not a conventional company, and we don’t intend to become one. True, we share attributes with the world’s most successful organizations – a focus on innovation and smart business practices comes to mind – but even as we continue to grow, we’re committed to retaining a small-company feel. At Google, we know that every employee has something important to say, and that every employee is integral to our success. We provide individually-tailored compensation packages that can be comprised of competitive salary, bonus, and equity components, along with the opportunity to earn further financial bonuses and rewards. Googlers thrive in small, focused teams and high-energy environments, believe in the ability of technology to change the world, and are as passionate about their lives as they are about their work. For more information, visit www.google.com/careers. The area: Engineering & Operations Google is and always will be an engineering company. We hire people with a broad set of technical skills who are ready to take on some of technology's greatest challenges and make an impact on millions, if not billions, of users. At Google, engineers not only revolutionize search, they routinely work on massive scalability and storage solutions, large-scale applications and entirely new platforms for developers around the world. From Google Ads to Chrome, Android to YouTube, Social to Local, Google engineers are changing the world one technological achievement after another. The role: Software Engineer, Machine Learning - Singapore Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to tackle new problems across the full-stack as we continue to push technology forward. With your technical expertise you manage individual projects priorities, deadlines and deliverables. You design, develop, test, deploy, maintain, and enhance software solutions. Responsibilities: - Design, develop, test, deploy, maintain and improve software.  - Manage individual project priorities, deadlines and deliverables. ","RequirementsMinimum qualifications: - PhD in Computer Science, related technical discipline or equivalent practical experience. - 5 years of experience in the Machine Learning field. - Experience with coding in data structures, algorithms and software design. - Research experience in Artificial Intelligence, Distributed Systems, Machine Learning, Data Mining, Natural Language Processing, Image Classification, Spam Fighting or related fields. Preferred qualifications: - Experience programming in the following languages: C++, and/or Python. - Experience with large scale distributed systems design.","Software Engineer, Machine Learning - Singapore","$6,300to$12,600",Monthly,Executive,https://www.mycareersfuture.sg/job/software-engineer-machine-learning-singapore-google-asia-pacific-8b56491c878739a979a3108f9a224b24
