,company,company_address,employment_type,job_category,job_description,job_requirements,job_title,salary_range,salary_type,seniority,url
0,PEOPLE PROFILERS PTE. LTD.,"SHAW TOWERS, 100 BEACH ROAD 189702",Permanent,Information Technology,Roles & Responsibilities Fast expanding company  Work with cutting edge technologies Central location Competitive salary based on experience  Role:  Developing scalable processes for large-scale data analysis and model development Apply machine learning to model complex business trends Project management Guide junior members Keep up to date with new technologies ,"RequirementsRequirements:  Master’s degree in Computer Science, Data Analytics or similar At least 3 years related work experience Previous experience in deep learning/machine learning/AI Very familiar with Python & Java, & Linux architecture  Interested applicants may wish to email your resume in a detailed Word format to ruth.gan@peopleprofilers.com. Please include last drawn and expected salaries and notice period. We regret that only shortlisted candidates will be notified.   Gan Huiru  Recruitment Consultant  Tel: +65 6594 9897 Fax +65 6835 7890  Address: 100 Beach Road #33-06 Shaw Tower Singapore 189702 Email: ruth.gan@peopleprofilers.com EA License Number: 02C4944 Registration Number: R1768917","Machine Learning Engineer (AI / Python, Java)","$5,000to$9,000",Monthly,Senior Executive,https://www.mycareersfuture.sg/job/machine-learning-engineer-people-profilers-86ca09b7c18737a29fe5afad398348ca
1,ARCSTONE PTE. LTD.,"ALEXANDRA 38, 38 ALEXANDRA TERRACE 119932",Full Time,"Consulting , Engineering, Information Technology, Manufacturing","Roles & ResponsibilitiesWhy Arcstone? Arcstone is a fast-growing startup whose mission is to accelerate the digitization of the global supply chain, starting by bringing the manufacturing industry into Industry 4.0 and beyond. Our vision is to enable a world where products are made sustainably faster, better and cheaper with our software as the backbone to make this happen. Imagine scanning a product in a store and being able to trace the entire history of how it was made. What materials were used? Where did they come from? How much electricity and water did it consume? How did it impact the world? With this information at our fingertips, there will no longer be any excuse for irresponsibly made products that are bad for the earth. Consumers will be empowered to bring about the change they want to see in the world and secure a better future for generations to come. With your help, we can make this a reality.   How will we achieve this? Arcstone is at the forefront of helping manufacturers gain better visibility and optimization of their production processes through digitization. Our flagship product, a cutting-edge manufacturing execution system (MES), enables manufacturers to respond faster and better to customer needs. By helping our clients reach their maximum potential through our software solutions, we are simultaneously building the critical foundation for the data-driven manufacturing ecosystem that will make our vision a reality.   Where are we now? Arcstone has worked with numerous companies globally, from large MNCs to small MNEs and successfully transformed their production operations into the new age of digitalization. In addition, Arcstone has partnered the globally recognized Top 3 consulting firms, leading systems integrators, and industrial hardware and automation companies to continue to expand our presence and reach. Arcstone has recently completed a new round of venture capital funding with existing and new investors who believe in our vision, including Wavemaker Partners, Enterprise Singapore, 500 Startups, Global Brain, and Aletra Capital Partners. We are accelerating towards the next phase of our mission and are looking for talented individuals to join our dynamic, collaborative and passionate team.   What will be your role? In order to provide the best possible solutions to our clients, Arcstone requires exceptional talent ever ready to assume key roles in meeting our client’s varied manufacturing needs. We are looking for talented problems solvers that can not only bring creative and practical solutions, but also ones that are always passionate to learn on the job. As a Software Developer, you will be working with a talented team in creating customized software solutions for our clients. You will be directly responsible for the development of new modules and features directly related to the manufacturing shop floor and any of the necessary functions as required by existing, new or internally designed features and modules. You will also be client facing to perform fact finding and interviews to ensure that Arcstone is always developing on the cutting edge of features to be used across different manufacturing facilities regardless of the industry. In addition to new client work, you will also be involved in the research and development of the company as we are currently in the process of developing ground-breaking work on the utilization of machine learning and artificial intelligence for the manufacturing industry.   What will be your area of focus?  Devise and develop software solutions to solve present and potential manufacturing problems utilizing the some of the world’s most advanced IoT sensors and tools Liaise with our engineers to iterate constantly and maximize value for the customer, always. Work with a global team to solve some of world’s most complex manufacturing problems and to coordinate, develop and integrate solutions that have a direct impact on the manufacturing floor Research and propose the right technologies and architecture for new projects Perform work requests for software changes and enhancements Relentlessly and swiftly execute on deliverables with precision and good judgment 	  ","RequirementsWhat are the requirements of the job?  BA/BS from a globally recognized university. We are looking for folks who have succeeded academically and professionally at the highest levels. 2 – 5 years of software development experience, ideally in enterprise software companies Strong professional experience in WPF and VB.NET/C# Deep understanding of OOP, SOLID principles and Design Patterns Experience working in ASP.NET MVC, WCF, and SQL Server Experience working with Entity Framework Knowledge of DevExpress is a plus Comfort with ambiguity, uncertainty, and a dynamic business landscape; flexible with no 9 to 5 mentality Self-motivated and driven to excel and deliver, able to handle stress with a positive attitude    The Right Fit:  We at Arcstone are extremely passionate about the product, the service we provide for our customers, and the transformation we are making in the manufacturing industry. We are looking for people who can bring that same level of passion and zeal for our mission. Our core belief is to hire the right person for the company, and that means looking for someone with truly amazing potential and can grow along with the rest of the company. Do carefully consider the requirements before submitting your application. We look forward to hearing from you!",Software Developer - VB.NET,Salary undisclosed,Unknown,"Professional, Executive, Junior Executive, Senior Executive",https://www.mycareersfuture.sg/job/software-developer-vbnet-arcstone-4719e6fe7de55ba13db9c54f90e61d85
2,A*STAR RESEARCH ENTITIES,"UOB PLAZA, 80 RAFFLES PLACE 048624","Contract, Full Time",Sciences / Laboratory / R&D,"Roles & ResponsibilitiesThe Agency for Science, Technology and Research (A*STAR) is Singapore's lead public sector agency that fosters world-class scientific research and talent to drive economic growth and transform Singapore into a vibrant knowledge-based and innovation driven economy.  For more information about A*STAR, please visit: www.a-star.edu.sg The A*STAR Artificial Intelligence (AI) Programme is seeking exceptional engineers to expand our dynamic and multi-disciplinary AI team . Our current team members have degrees in computer science, information systems, psychology, cognitive science and neuroscience from Berkeley, CMU, NTU, NUS, MIT, Princeton, Stanford, UCSD, UIUC, etc. We work on some of the most crucial, incredibly hard, and future-oriented problems in AI.                                      The goal of our programme is to develop next-generation AI technologies that will enable machines to :   1) Learn like humans (as would a child from instruction, demonstration, or experience with a small number of examples); 2)  Reason for humans (by being able to explain their reasoning, and to personalise recommendations based on their understanding of individual users); and 3)   Deeply  understand  humans  (using  knowledge  of  human  needs/motivations,   social/cultural   norms,  and commonsense) .   Our overarching technical approach is to combine various state-of-the art techniques with top-down knowledge. Briefly, our current research topics include :   ·         Personalised  explainable  AI :   AI that  is able to  provide  personalised  explanations  of the  reasoning underlying .its recommendations and decisions ·         Socio-cultural  visual  intelligence :   AI that  can  provide  coherent  descriptions  of visual  scenes  taking context and social-cultural knowledge into account ·         Socio-cultural understanding  of speech and text:   AI that can recognise figurative  language, infer their social-cultural significance , and ultimately, understand meaning in speech and texts ·         Human-like  learning  and  lnstructable  AI :    AI  that  can  learn  from  real-world  experience ,  and  be programmed by non-experts, through verbal/text  instruction and visual demonstrations ·         Cognitive  architectures :    Cognitive  architectures  have  the  goal  of  bringing  together  the  necessary cognitive machinery necessary for general artificial intelligence for autonomous behaviour .  ","Requirements Ph.D. in any Al-related field (e.g. cognitive science , computer vision, deep learning, information retrieval, knowledge representation , linguistics , machine learning, natural language processing, psychology , reasoning, robotics , etc.) Entry level candidates with a track record of the above mentioned are encouraged to apply Publications in good conferences/journals.  Strong programming skills or other quantitative skills (e.g. statistical analysis).    The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.","Scientist (Cognitive, Human-Like, Empathetic & Explainable Machine-Learning)","$4,500to$9,000",Monthly,Executive,https://www.mycareersfuture.sg/job/scientist-astar-research-entities-e60a59683c91cd8d8e20dbd02473de95
3,DBS BANK LTD.,Unknown,"Permanent, Full Time",Banking and Finance,"Roles & ResponsibilitiesJob Purpose The Lead Data Scientist manages a team of data scientists within Consumer Banking Group Technology, Big Data & Analytics Technology division to drive value for the business by leveraging machine learning.  He/ She will have opportunities to work on various projects that provide data-driven insights that enable enhanced capabilities in the areas of business growth, risk management, productivity etc.  Also, he/she will be responsible to lead a team of ML engineers that will work with data scientists to create, optimize and productionize of machine learning models for various business units within the organization. Keep innovating and optimizing data and machine learning workflow to enable data-driven business activities at large scale.   Responsibilities  Lead, guide, and manage the team of data scientists Overall accountable for the team’s delivery of data science projects that drive value for business Establish, apply and maintain best practices and principles of machine learning engineering. Manage and guide a team of ML engineers that work with data scientists to build end-to-end machine learning and analytics solution to solve business challenges Manage and guide a team of experienced data scientists to drive projects and be accountable for the output of the team Partner with business stakeholders to understand needs and identify opportunities to apply data science Frame this opportunity as a data science problem, formulating hypotheses and techniques for experimentation Oversee the process of data exploration & preparation, the conduct of experiments, review of model performance, and presentation of results to business stakeholders for their feedback Lead the presentation of key insights to management with actionable recommendations Manage the team to facilitate deployment of finalised solutions to production environment Oversee the ongoing monitoring of model performance, and the process of model retraining if necessary ","Requirements At least 5 years of industry experience in data science PhD or advanced degree holder in computer science, machine learning, statistics, decision science, mathematics or equivalent Prior experience managing teams of PhD-level data scientists preferred Excellent advanced analytics skills, with prior industry experience developing machine learning solutions for classification, prediction, forecasting and/or anomaly detection problems Excellent understanding of software engineering principles and design patterns. Excellent programming skills in either Python, Scala, or Java. In-depth understanding of data science and machine learning technologies and methodologies. Good working knowledge of high performance computing, parallel data processing, and big data stack, e.g. Spark and Hadoop/Yarn. Highly proficient in data manipulation Strong expertise in at least one of the following areas (or equivalent): deep learning, NLP, graph mining, anomaly detection, large-scale recommender engines, large-scale optimizations, large-scale multivariate time-series forecasting, causal and statistical reasoning Ability to present analysis in a manner accessible by non-practitioners Good verbal and written communication skills and the ability to interact professionally with business executives Has a ‘can-do’ attitude Prior experience in banks not required but may be considered ","SVP / VP, Lead Data Scientist, Group Consumer Banking and Big Data Analytics Tech (180003Y7)","$9,500to$18,000",Monthly,Senior Management,https://www.mycareersfuture.sg/job/svp-vp-lead-data-scientist-group-consumer-banking-big-data-analytics-tech-dbs-bank-1e58ca9d6b252e4547ae9c9c64bc7b6d
4,GOOGLE ASIA PACIFIC PTE. LTD.,"MARINA BAY FINANCIAL CENTRE, 8 MARINA BOULEVARD 018981",Full Time,Engineering,"Roles & ResponsibilitiesCompany overview: Google is not a conventional company, and we don’t intend to become one. True, we share attributes with the world’s most successful organizations – a focus on innovation and smart business practices comes to mind – but even as we continue to grow, we’re committed to retaining a small-company feel. At Google, we know that every employee has something important to say, and that every employee is integral to our success. We provide individually-tailored compensation packages that can be comprised of competitive salary, bonus, and equity components, along with the opportunity to earn further financial bonuses and rewards. Googlers thrive in small, focused teams and high-energy environments, believe in the ability of technology to change the world, and are as passionate about their lives as they are about their work. For more information, visit www.google.com/careers. The area: Trust and Safety At Google we work hard to earn our users’ trust every day. Gaining and retaining this trust is critically important to Google’s success. We defend Google's integrity by fighting spam, fraud and abuse, and develop and communicate state-of-the-art product policies. The Trust and Safety team reduces risk and protects the experience of our users and business partners in more than 40 languages and across Google's expanding base of products. We work with a variety of teams from Engineering to Legal, Public Policy and Sales Engineering to set policies and combat fraud and abuse in a scalable way, often with an eye to finding industry-wide solutions. Trust and Safety team members are motivated to find innovative solutions, and use technical know-how, user insights and proactive communication to pursue the highest possible quality and safety standards for users across Google products. The role: Analyst, Real Time Communications, Trust and Safety - Singapore Google's brand is only as strong as our users' trust--and their steadfast belief that our guiding principles are what's best for them. Our Trust and Safety team has the critical responsibility of protecting Google's users by ensuring online safety by fighting web abuse and fraud across Google products like Search, Maps, Google Ads and AdSense. On this team, you're a big-picture thinker and strategic leader. You understand the user's point of view and are passionate about using your combined technical, sales and customer service acumen to protect our users. You work globally and cross-functionally with Google developers and Product Managers to navigate challenging online safety situations and handle abuse and fraud cases at Google speed (read: fast!). Help us prove that quality on the Internet trumps all. Additional Role Description: The Trust & Safety Real Time Communications (RTC) team’s mission is to stop abusers from exploiting the gaps on our RTC products such as Google Voice, Hangouts, Allo, etc. We are looking for highly analytical and creative analysts to join us in uncovering complex abuse issues that sit below the radar today. In this role, you will be working with the global Trust & Safety team to understand and fight abuse within the RTC team’s product portfolio.  You’ll use machine learning and analytics to defend Google products from bad actors. You’ll partner closely with our engineering partners - the cross-company Counter-Abuse Technology team which builds sophisticated, reusable components like account hijacking detection, device attestation, clustering, and machine learning solutions that help address these attacks in a consistent, robust, and scalable manner. Responsibilities: - Develop anti-abuse programs to solve for cross-product vulnerabilities, and ensure their successful roll-out on a global scale by bringing cross-functional teams toward a common, measurable goal. - Design defenses and countermeasures for attacks across various client properties. Analyze metrics, dig deep into underlying vulnerabilities and design solutions. - Represent the abuse team in cross-functional, cross-product area conversations with teams around the company, advising on counter-abuse strategies and coordinating integration efforts. - Develop and deploy Machine Learning models collaborating with engineering partners to solve fraud/abuse problems at scale. Define workflow processes for manual reviews and Machine Learning labels. - Collaborate with Product, Design, Legal, Policy, and industry partners to advance the state-of-the-art across the internet as a whole.","RequirementsMinimum qualifications: - Bachelor’s degree in Computer Science, Engineering, Mathematics, Statistics, or related technical field. - Experience in deriving a set of valid abuse signals from a large set of data, summarizing it and deriving conclusions from it that can facilitate automation and prevention. - Experience in statistics, working with statistical packages (e.g. R, SAS, Stata, Matlab, etc.) and in working with large datasets (SQL), as well as in developing Machine Learning models. - Experience in delivering projects that involve multiple stakeholders from different areas (e.g. Engineering, Policy, Product) and in multiple offices in different time-zones. Preferred qualifications: - Master’s degree, PhD or research experience in Computer Science, Engineering, Mathematics, Statistics, or related technical field. - Experience in technical roles e.g. Data Scientists, Quantitative Analysts, Technical Program Managers and Engineering teams. - Experience with fraud/abuse investigations, fraud risk management, and security analysis in the context of internet-related products/activities. - Demonstrated ability to solve basic problems using one or more programming language (Python, Java, C++ etc.). - Excellent communication and interpersonal skills proven in an environment of remote offices.","Analyst, Real Time Communications, Trust and Safety - Singapore","$4,750to$9,500",Monthly,Junior Executive,https://www.mycareersfuture.sg/job/analyst-real-time-communications-trust-safety-singapore-google-asia-pacific-4789a4c5f2ec5d82cc1bbeedb636a1a1
5,CAREER TREND PTE. LTD.,"THE ADELPHI, 1 COLEMAN STREET 179803",Full Time,Information Technology,"Roles & ResponsibilitiesWork with marketing teams building the next-generation intelligent HW platforms. As an architect, you’ll work with SW/applications team on driving future requirements on machine learning/computer vision applications, prototype them in C++/Python, write architecture spec and work with HW & FPGA design teams for implementation. • CS/EE/Data Scientist specializing in Machine Learning, Deep Learning or computer vision systems • Expertise and experience in machine learning algorithms, such as convolutional neural network, LSTM (Long Short-Term Memory) neural network, classification/detection and their applications • Familiarity in computer vision algorithms such as object detection, tracking and recognition, 3D computer vision — SfM/SLAM Understanding the system implications of aforementioned algorithms in terms of performance and power","Requirements• Programming skills in C++/C and Python • Knowledge in image processing pipeline is a plus • Strong communication skills and ability to work across various groups • FPGA understanding is a plus • Degree in computer science or EEE with 5 years of design experience If you are keen in this position, kindly send your resume to ec@careertrend.com.sg (Eileen Chin, EA Personnel Registration No.: R1108737)",Design Engineer / Electronic Component MNC / 5 days week / Max $5500,"$4,000to$5,500",Monthly,Senior Executive,https://www.mycareersfuture.sg/job/design-engineer-electronic-component-mnc-5-days-week-max-5500-career-trend-42ad407aaf8f53fb2a72e920990622b2
6,DBS BANK LTD.,Unknown,"Permanent, Full Time",Banking and Finance,"Roles & Responsibilities Drive enterprise strategy on testing and production deployment of machine learning and AI products  Drive the discussion between data science and IT on the architecture and solution design to ensure production and deployment is fully considered Drive the testing and deployment of the machine learning products into production Lead the requirement gathering and release road map for analytic platform features Develop enterprise standards and practice on testing and production deployment of machine learning and AI products Drive the adoption of software development practice in data science teams, such as agile development, software development life cycle (SDLC), continues improvement and continues deployment (CI/CD) and testing strategy. ","Requirements Solid track record of deploying machine learning solution into production environment and integrate into operation  Expert in identifying and solving issues when putting model into production – load balancing, distribution, through-put, latency, availability, stability, refactoring, repackaging, versioning, scoring, real time / online scoring, performance monitoring and management,   Expert on the open source stack of bid data and machine learning solutions such as Hadoop, Spark, YARN, Mesos, Hive, Impala, Spark Streaming, Kafka, API, Anaconda / R studio server, Kubernetes,  Familiar with development, deployment, production and operation life cycle of the machine learning product and software best practices such as SDLC, CICD, Test-Driven Development (TDD) Excellent problem-solving skills and strategic thinker Proficiency in Python, R, Spark, Java and Scala Good interpersonal skill and able to influence the decision making of data science and IT team Solid written and communication skills ","SVP / VP, Senior Data Scientist, Data & Transformation, Technology and Operations (1800039X)","$9,500to$19,000",Monthly,"Senior Management, Middle Management",https://www.mycareersfuture.sg/job/svp-vp-senior-data-scientist-data-transformation-technology-operations-dbs-bank-af5fcadc3df9dce77d6b77d10a7c84c8
7,SCHELLDEN GLOBAL PTE. LTD.,"INTERNATIONAL PLAZA, 10 ANSON ROAD 079903",Full Time,Information Technology,"Roles & ResponsibilitiesMassive data: You will source / examine, analyze, engineer data pipelines for gigabytes/terabytes of structured and unstructured data with our platform to create value for customers.  Pushing the limits: This role will be on the cutting edge of our Data / Machine Learning platform. As we push to solve more of our customer challenges, you will be prototyping new features, tools and ideas. Innovate at a very fast pace to maintain our competitive edge.  Linux hacking: You will be masterfully using the command line, including tools like vi/emacs and understanding beyond basics of grep, bash, awk, sed, etc to aggressively dive into data, systems, and compute platforms to get the results you are seeking.  Production deployment: You will be responsible for integration and deployment of the machine learning pipelines into production where your ideas can come to life.  Coordinate and work with cross functional teams, sometimes located at different geo locations.","RequirementsCommercial software engineering: You have 3+ years of professional software development experience with languages and systems such as Java, Python (PySpark), and version control (git), with good analytical & debugging skills.  Big data: You have extensive experience with data analytics and working knowledge of big data infrastructure such as Hadoop Eco System, HDFS, Spark, Google Cloud, Big Query, Data Flow (nice to have). You've routinely built data pipelines with gigabytes/terabytes of data and understand the challenges of manipulating such large datasets.  Data Modeling: Flair for data, schema, data model, PL/SQL, Star & snow flake schema, how to bring efficiency in data modeling for efficient querying data for analysis, understands criticality TDD and develops data validation techniques.  Real Time Systems: Understands evolution of databases for in-memory, NoSQL & indexing technologies along with experience on real-time & stream processing systems like kafka, Storm.  Project management: You demonstrate excellent project and time management skills, exposure to scrum or other agile practices in JIRA.",Big Data Engineer,"$4,000to$8,000",Monthly,Middle Management,https://www.mycareersfuture.sg/job/big-data-engineer-schellden-global-6fdb5be88c9cb16e84d51c2f07f72b40
8,SCHELLDEN GLOBAL PTE. LTD.,"INTERNATIONAL PLAZA, 10 ANSON ROAD 079903",Full Time,Information Technology,"Roles & Responsibilities Use machine learning and analytical techniques to build prediction models for different use cases.  Design, develop and test advanced models for predictive behavior.  Co-operate with software engineering teams to drive real-time model implementations and new feature creations.  Design efficient, scalable, automated processes for large scale data analyses, model development, model validation and model implementation  Research and evaluate pioneering machine learning and statistical model Requirement","Requirements Good understanding about supervised and unsupervised learning algorithms.  Generate and test working Hypothesis.  Mandatory coding experience in Python  Experience working with modern Deep Learning techniques, framework and applications.  Experience in DL framework (e.g Caffe, Tourch, Tensorflow).  Exposure to GPU technology and CUDA programming  2+ year experience in Algorithms, statistical analysis, computational NLP and/or machine learning.  Strong teamwork and interpersonal skills.  Action oriented with strong analytical and problem solving skill.",ML-AI Engineer,"$4,000to$8,000",Monthly,Middle Management,https://www.mycareersfuture.sg/job/ml-ai-engineer-schellden-global-9b6b43f90a5cc023a39fe57bbc0a624e
9,Institute of Technical Education,2 ANG MO KIO DRIVE 567720,Contract,"Education and Training, Public / Civil Service","Roles & ResponsibilitiesResponsibilities As a Lecturer, your contributions go beyond teaching and facilitating learning. You play a critical role in recognising and nurturing the many talents of your students. In addition, you will carry out industry or consultancy projects to help you remain relevant in your profession and industry changes, as well as maintain strong linkages with partners in the industry and schools. You will also have the opportunity to be attached to industry on a regular basis to update your skills and knowledge. Those with good and relevant experience can look forward to Senior Lecturer or equivalent positions, with career development opportunities.Requirements  College Central  You should be trained in Information Technology, Computer Science or Software Engineering, with at least 3 years of relevant work experience in Web/Mobile applications development, Content Management System or IT related field. You should be competent with Adobe CC applications and have good programming skills in iOS programming (SWIFT), C#, PHP, HTML5, CSS, JavaScript, Python. Candidates with experience and/or IT certifications in areas of Data Analytics, Internet of Things (IoT), or Artificial Intelligence (AI) and Machine Learning (ML) will have an advantage College East You should be trained in Information Technology, Computer Science, Data Science and/or Analytics, with at least 3 years of relevant work experience to be able to develop students' skills in implementing IoT/software applications, including data analytics solutions. You should possess relevant experience in one or more of the following areas: - development of IoT applications - data analytics technologies and Big Data - proficiency in programming languages such as Python, R or similar (familiarity with Python-based libraries such as scikit-learn, numpy/scipy and pandas is preferred) - programming web and mobile applications would be advantageous ",Unknown,Lecturer - IT Applications Development,"$3,000to$6,000",Monthly,Executive,https://www.mycareersfuture.sg/job/lecturer-applications-development-institute-technical-education-b94141d17ac8e368f676354f9cbe7d01
