,company,company_address,employment_type,job_category,job_description,job_requirements,job_title,salary_range,salary_type,seniority,url
0,PEOPLE PROFILERS PTE. LTD.,"SHAW TOWERS, 100 BEACH ROAD 189702",Permanent,Information Technology,Roles & Responsibilities Fast expanding company  Work with cutting edge technologies Central location Competitive salary based on experience  Role:  Developing scalable processes for large-scale data analysis and model development Apply machine learning to model complex business trends Project management Guide junior members Keep up to date with new technologies ,"RequirementsRequirements:  Master’s degree in Computer Science, Data Analytics or similar At least 3 years related work experience Previous experience in deep learning/machine learning/AI Very familiar with Python & Java, & Linux architecture  Interested applicants may wish to email your resume in a detailed Word format to ruth.gan@peopleprofilers.com. Please include last drawn and expected salaries and notice period. We regret that only shortlisted candidates will be notified.   Gan Huiru  Recruitment Consultant  Tel: +65 6594 9897 Fax +65 6835 7890  Address: 100 Beach Road #33-06 Shaw Tower Singapore 189702 Email: ruth.gan@peopleprofilers.com EA License Number: 02C4944 Registration Number: R1768917","Machine Learning Engineer (AI / Python, Java)","$5,000to$9,000",Monthly,Senior Executive,https://www.mycareersfuture.sg/job/machine-learning-engineer-people-profilers-86ca09b7c18737a29fe5afad398348ca
1,THE SUPREME HR ADVISORY PTE. LTD.,"AZ @ PAYA LEBAR, 140 PAYA LEBAR ROAD 409015",Full Time,Engineering,"Roles & Responsibilities J2EE,JAVA，spring mvc，hibernate，spring JPA data Nginx，bash shell 和Python， css，jQuery，bootstrap ",RequirementsDylan Then Reg No: R1878687 The Supreme HR Advisory Pte Ltd EA No: 14C7279,Software Engineer [ JAVA /  SPRING /  J2EE /  JPA],"$2,000to$3,000",Monthly,Fresh/entry level,https://www.mycareersfuture.sg/job/software-engineer-java-spring-j2ee-jpa-supreme-hr-advisory-39f5a2a575185efb70846f1c19d2a38f
2,THATZ INTERNATIONAL PTE LTD,"THE ADELPHI, 1 COLEMAN STREET 179803",Full Time,Information Technology,"Roles & Responsibilities Work on Application and Web development projects using Python Develop test plans and cases, as well as, the technical and functional documentations according to the adopted methodologies Perform data extraction, data maintenance which includes preparation, patching, update and migration Perform bug fixing Provide post-implementation maintenance and support ","Requirements A Bachelor Degree in Computer Science/Engineering, Science, IT, Engineering or related field from a recognized university 4+ years of object-oriented languages experience (using Python/PHP). Those with 1-2 years of relevant experience will be considered for the junior role. Hands-on experience with Java/J2EE, Javascript, Spring-boot, ReactJS/AngularJS, Maximo or similar cloud technology Experience with REST and SOAP web services Experience in Agile / Scrum methodologies will be an added advantage Good knowledge in relational databases (SQL) ","Senior  /  Software Developers (Python, AngularJS, Maximo)","$4,500to$7,000",Monthly,Executive,https://www.mycareersfuture.sg/job/senior-software-developers-thatz-international-6d217149408a35b9545029329db0f31c
3,THE SUPREME HR ADVISORY PTE. LTD.,"AZ @ PAYA LEBAR, 140 PAYA LEBAR ROAD 409015",Full Time,Engineering,"Roles & Responsibilities• 5 Day Work Week • Career Progression Oppi • Attractive Salary Package   Interested applicants can send your resume to supreme.tammytan@gmail.com and allow our Consultants to match you with our Clients. No Charges will be incurred by Candidates for any service rendered.   Role • Install and configure Server Operating Systems. • Develop, maintain and document the installation and configuration procedures. • Contribute to and maintain system standards. • To provide the end to end application support and maintenance to our existing customers. • Coordinate with team, documentation, implementation, training and support • Prepare, update and deliver regular project status updates","RequirementsRequirement  Diploma or Degree in Computer Science or equivalent. Knowledge of networking concepts like LAN Troubleshooting, WAN etc. Basic knowledge of database- MSSQL / MySQL will be an advantage.  Basic knowledge in Linux, IP Telephony will be an advantage Minimum 2 years related working experience Software development/support experience will be an advantage    Please include the following in your Resume Document * (*.DOC/PDF - Files should not exceed 2MB)       • Name    • Contact No.    • Nationality/PR Status    • Location/Address    • Recent Photo    • Expected Salary",Network  /  System Engineer ( Linux  /  Windows  /  Troubleshooting  /  Python ）,"$2,500to$3,500",Monthly,Junior Executive,https://www.mycareersfuture.sg/job/network-system-engineer-linux-windows-troubleshooting-python-%EF%BC%89-supreme-hr-advisory-5aca7bd23bfa61b52563d833c0043568
4,Institute of Technical Education,2 ANG MO KIO DRIVE 567720,Contract,"Education and Training, Public / Civil Service","Roles & ResponsibilitiesResponsibilities As a Lecturer, your contributions go beyond teaching and facilitating learning. You play a critical role in recognising and nurturing the many talents of your students. In addition, you will carry out industry or consultancy projects to help you remain relevant in your profession and industry changes, as well as maintain strong linkages with partners in the industry and schools. You will also have the opportunity to be attached to industry on a regular basis to update your skills and knowledge. Those with good and relevant experience can look forward to Senior Lecturer or equivalent positions, with career development opportunities.Requirements  College Central  You should be trained in Information Technology, Computer Science or Software Engineering, with at least 3 years of relevant work experience in Web/Mobile applications development, Content Management System or IT related field. You should be competent with Adobe CC applications and have good programming skills in iOS programming (SWIFT), C#, PHP, HTML5, CSS, JavaScript, Python. Candidates with experience and/or IT certifications in areas of Data Analytics, Internet of Things (IoT), or Artificial Intelligence (AI) and Machine Learning (ML) will have an advantage College East You should be trained in Information Technology, Computer Science, Data Science and/or Analytics, with at least 3 years of relevant work experience to be able to develop students' skills in implementing IoT/software applications, including data analytics solutions. You should possess relevant experience in one or more of the following areas: - development of IoT applications - data analytics technologies and Big Data - proficiency in programming languages such as Python, R or similar (familiarity with Python-based libraries such as scikit-learn, numpy/scipy and pandas is preferred) - programming web and mobile applications would be advantageous ",Unknown,Lecturer - IT Applications Development,"$3,000to$6,000",Monthly,Executive,https://www.mycareersfuture.sg/job/lecturer-applications-development-institute-technical-education-b94141d17ac8e368f676354f9cbe7d01
5,PERX TECHNOLOGIES PTE. LTD.,"THE RIVERWALK, 20 UPPER CIRCULAR ROAD 058416",Permanent,Information Technology,"Roles & ResponsibilitiesWhat You’ll Do:   As a Data Engineer on the Analytics team, you will be the “source of truth” for Perx’s most fundamental data - such as end-customer engagement and client usage data - along with core metrics such as daily (DAU) and monthly active users (MAU). Alongside designing & implementing the plumbing & infrastructure that will power the Analytics frameworks, you will also help lead the company’s decision to use bleeding-edge data technologies and features, working directly with our infrastructure team to integrate them into the services you design at scale. In doing so, you will help empower the Engineering department, tens of co-workers, thousands of marketing analysts and millions of end customers to dream of new insights and new possibilities.   Who You Are: You are a go-getter & dreamer, wanting to join a community of extremely talented, forward-thinking & diverse engineers in the industry & region. You gain happiness in building & scaling resilient, robust, well performing, and end-to-end tested distributed systems that can power the most business-critical applications. You want to learn, work with, and leverage on cutting-edge open-source technologies. The ideal candidate has experience with and/or history of contributions to Python, Hadoop, Spark, Redshift, Cassandra, PostGREs, Ruby (on Rails) or similar technologies. You have experience in distributed systems, database internals, or performance analysis.","RequirementsMS in computer science or a related field OR BS in computer science and 3 years of experience in software engineering. Backend development experience with a solid foundation in data pipelines, distributed systems, large-scale data processing. Experience with DBs like AWS Redshift, PostGREs, MySQL. Experience with ETL and query language. Proficiency with Python, Scala or Java. Experience with Ruby is a plus. Experience with Linux/Unix systems and AWS / cloud environments. Working knowledge of MapReduce, Hadoop, HDFS. Experience with Spark is a big plus!  ",Data Engineer,"$5,000to$8,000",Monthly,Executive,https://www.mycareersfuture.sg/job/data-engineer-perx-technologies-3ab22f9fa73f55baa27382245369a2e5
6,MONEYSMART SINGAPORE PTE. LTD.,"GRANDE BUILDING, 8 COMMONWEALTH LANE 149555",Permanent,Information Technology,"Roles & ResponsibilitiesAbout the job Moneysmart is hiring a Data Team lead to help lead our team of eager data engineers and analysts. Together you and your team will work to build a stable and scalable data infrastructure that will be able to help the business to collect, process and store masses of raw information securely, accurately and efficiently. With all that information on hand, we’ll be looking to you to help us design and build amazing data products to improve user experiences on our Moneysmart sites as well as build up the business intelligence capabilities within our organization. We’re looking for someone who is experienced and has done similar work like this elsewhere before. You will be working closely with people from other departments like Product, Marketing and Strategy to help understand their needs and design solutions that will enable them to deliver on their goals. Examples of this could be:  Onboarding customer data from external systems so further analysis can be conducted on it and we can discover/better understand customer preferences and trends Building a recommendation engine that can recommend products based on user’s past choices, creating a more personalized and desirable experience Creating a near real time reporting platform so that the country managers can get information in a more timely manner to make decisions quickly  To be able to do all these, you’ll need to plan and manage the Data Team’s roadmap well and help prioritize the work that needs to be done so that we can see the awesome impact it could bring sooner rather than later. You will be expected to be technical as well. Being able to build data pipelines, write code and tune database queries will be a requirement since you’ll need to review and vet the work your team has done. The engineers will be looking to you to learn about best practices in building pipelines and running analysis, industry standards on data infrastructure and what clean, maintainable code looks like. The team currently writes most of their code in Python and SQL at the moment (we use R sometimes as well). But fluency in any other Big Data framework language will be highly welcome. Our data engineers and analysts are a smart and talented bunch but they will require leadership and direction from their lead (which is you), someone who has been through the many phases of what it takes to build and maintain a production level data infrastructure, has seen the pitfalls and can help show them the way. Besides providing technical expertise to the team, a core part of this role will be to help mentor and develop the members of your team (as well as other developers in our department) professionally, and work towards creating a conducive environment for developers to thrive, making Moneysmart an ideal place to work and grow your career. If you’re ready to take up the important mantle of become a Data Team Lead in Moneysmart’s Technology department, send us your resume now! We would really love to hear from you.","RequirementsRequirements  6+ years of professional experience building data products Experienced in developing large scale, production, server side Big Data applications Experience with Big Data technologies like Hadoop / Spark / Kafka / HBase / Aerospike/ Elasticsearch Experience in data warehouse data modeling A strong software developer with a passion for technology and scalable world-class software systems Self-motivated, positive-thinking, team player, leader, problem-solver Passion for testing Knowledgeable on modern software development with a preference for Agile methods Ability to build APIs for the data infrastructure  Competencies  Estimate accurately Self motivated Accountable and responsible Follow rules Opinionated but rational  Cultural Competencies  Build a positive team and family spirit Engage, disagree and commit Be humble Do more with less Always pursue learning and growth Stay hungry and take ownership ",Data Team Lead,"$8,000to$140,000",Monthly,Manager,https://www.mycareersfuture.sg/job/data-team-lead-moneysmart-singapore-ad4580da0df279d6bf2cadbedab2f2e5
7,PALO IT SINGAPORE PTE. LTD.,51B CIRCULAR ROAD 049406,"Permanent, Full Time",Information Technology,"Roles & ResponsibilitiesYour profile & role on the project  YOU:   Thrive on challenge. When was the last time you fail?   Are curious & always learning. What are you up to right now?   Can deal with constant change. When were you last surprised?   Have mastered at least one skill of your trade but you’re not defined by it. What can you  teach us? Can you wear many hats?  YOU AGAIN:  Graduated from an Engineering School, you have a proven experience of 2 to 10 years on a  similar position. You are passionate about new technologies and digital innovation. You have  already worked in an Agile environment driven by Time-To-Market, you communicate easily, are  independent and able to make significant proposals. Most importantly, you are somone who  loves CODING!  Within exciting projects, you will initiate development projects, carry out scoping studies,  implement architectures and write architecture documents. You will assist our customers in  adopting the new architecture patterns imagined by Web giants. On these occasions, you will  carry out code, performance and security audits as well as architecture studies.  ➔ Writing reusable, testable, and efficient code  ➔ Ensuring high performance and responsiveness to any technical requests  ➔ You are familiar with Agile / Scrum Methodologies and will be part of daily stand up,  backlog management, demos, retros, etc.  ➔ Ensuring not only development but also testing, maintainance, and support  STILL YOU:  ✔ You have at least 3-5 years of hands-on experience in Front-end development (AngularJS, ReactJS etc) and Back end (NodeJS, Java, Python, Clojure, Databases, PHP, etc.), or mobile (Swift for IOS, Android, native or hybrid) development.  ✔ You are interested in designing scalable, reliable and secure softwares using a  combination of different languages, frameworks, libraries and technical environment.  ✔ You like to work in all phases of a rapid product development lifecycle: You are familiar  with Agile Methodologies, Scrum, Kanban, and interested in learning more about Design  Thinking, Lean Start-up, TDD, BDD, or XP.  ✔ You are communicative with good sense of idealism and pragmatism.  ✔ You’re endlessly curious and thrive in an environment where you’re continually  learning and solving new problems.  Your role at PALO IT  You will be invited to take part in R&D works done within our Practices. You will have the chance to assist or be a speaker at must-attend international IT conferences. You will have the opportunity to write articles for our Blog or specialized press. Genuine ambassador of PALO IT, you will present our offers and take an active role in the development of the company.  Your technical environment  # Digital projects: web, tablet and mobile applications # Understanding of systems engineering concepts, ability to conduct cost/benefit analysis, Business case studies, translating and simplifying requirements, management and communication # JavaScript : Angular, React, Node, Backbone, HTML5; CSS3 # Agile and Scrum methodologies  WHY US ?  PALO IT is a learning company guided by the values of Agility and craftsmanship offering you multiple possibilities to express yourself and enhance your skills through :  # Our monthly BarCamps; # Our R&D projects; # Our Practices (Development, Architecture, Lean & Agile, Big Data); # Our missions high added value missions in France and internationally that will make you discover new horizons; # Our participation to and sponsoring of major technical events; # And our parties parties = FUN !  Firmly focusing on international expansion, we have offices in France, Hong Kong, Singapore, Sydney and Mexico, meet us to continue this growth !  If you like what you just read, we’d love to have a chat with you!","Requirements✔ You have at least 1 to 2 years of hands-on experience in ReactJS and other Front-end development (Javascript, VueJS, MeteorJS, Clojurescript, AngularJS, etc) and Back end (NodeJS, Java, Python, Clojure, Databases, etc.), or mobile (Swift for IOS, Android, native or hybrid) development. ✔     You are passionate about new technologies and digital innovation. ✔     Experience in building and delivering web / mobile business solutions (e.g. in Banking, Travel, Finance, Healthcare, Information industries) and Restful API projects. ✔     Has a very good knowledge with deploying and maintaining a database (MongoDB, Postgres, Redis, Cassandra) and implementing software in at least one of these programming languages: python, javascript(node.js), java, C#, perl, ruby. Some experience with orchestration and configuration tools such as Rancher, Kubernetes, Swarm, Ansible, and Chef will be a plus. ✔     Practical knowledge and experience with Unified Modeling Language (UML) for business modeling (work flows) and object modelling. ✔     Proven/previous experience with Continuous Integration/Continuous Deployment and DevOps. ✔     Strong critical thinker with problem solving aptitude. ✔     Ability to communicate effectively in written documents and oral presentations, explaining concepts clearly to audiences at various levels of technical knowledge. ✔     General banking knowledge or Banking knowledge related to Wealth Management / Private banking is a plus. ✔     You have already worked in an Agile environment driven by Time-To-Market, you have good communication skills, are independent and able to make significant proposals. But most of all, you love CODING! Share your GitHub account!",Application Developer,"$5,000to$10,000",Monthly,Executive,https://www.mycareersfuture.sg/job/application-developer-palo-singapore-83fa6e3cae1dda9485e65bd0888f07d0
8,PALO IT SINGAPORE PTE. LTD.,51B CIRCULAR ROAD 049406,"Permanent, Full Time",Information Technology,"Roles & ResponsibilitiesYour profile & role on the project  YOU:   Thrive on challenge. When was the last time you fail?   Are curious & always learning. What are you up to right now?   Can deal with constant change. When were you last surprised?   Have mastered at least one skill of your trade but you’re not defined by it. What can you  teach us? Can you wear many hats?  YOU AGAIN:  Graduated from an Engineering School, you have a proven experience of 2 to 10 years on a  similar position. You are passionate about new technologies and digital innovation. You have  already worked in an Agile environment driven by Time-To-Market, you communicate easily, are  independent and able to make significant proposals. Most importantly, you are somone who  loves CODING!  Within exciting projects, you will initiate development projects, carry out scoping studies,  implement architectures and write architecture documents. You will assist our customers in  adopting the new architecture patterns imagined by Web giants. On these occasions, you will  carry out code, performance and security audits as well as architecture studies.  ➔ Writing reusable, testable, and efficient code  ➔ Ensuring high performance and responsiveness to any technical requests  ➔ You are familiar with Agile / Scrum Methodologies and will be part of daily stand up,  backlog management, demos, retros, etc.  ➔ Ensuring not only development but also testing, maintainance, and support  STILL YOU:  ✔ You have at least 3-5 years of hands-on experience in Front-end development (AngularJS, ReactJS etc) and Back end (NodeJS, Java, Python, Clojure, Databases, PHP, etc.), or mobile (Swift for IOS, Android, native or hybrid) development.  ✔ You are interested in designing scalable, reliable and secure softwares using a  combination of different languages, frameworks, libraries and technical environment.  ✔ You like to work in all phases of a rapid product development lifecycle: You are familiar  with Agile Methodologies, Scrum, Kanban, and interested in learning more about Design  Thinking, Lean Start-up, TDD, BDD, or XP.  ✔ You are communicative with good sense of idealism and pragmatism.  ✔ You’re endlessly curious and thrive in an environment where you’re continually  learning and solving new problems.  Your role at PALO IT  You will be invited to take part in R&D works done within our Practices. You will have the chance to assist or be a speaker at must-attend international IT conferences. You will have the opportunity to write articles for our Blog or specialized press. Genuine ambassador of PALO IT, you will present our offers and take an active role in the development of the company.  Your technical environment  # Digital projects: web, tablet and mobile applications # Understanding of systems engineering concepts, ability to conduct cost/benefit analysis, Business case studies, translating and simplifying requirements, management and communication # JavaScript : Angular, React, Node, Backbone, HTML5; CSS3 # Agile and Scrum methodologies  WHY US ?  PALO IT is a learning company guided by the values of Agility and craftsmanship offering you multiple possibilities to express yourself and enhance your skills through :  # Our monthly BarCamps; # Our R&D projects; # Our Practices (Development, Architecture, Lean & Agile, Big Data); # Our missions high added value missions in France and internationally that will make you discover new horizons; # Our participation to and sponsoring of major technical events; # And our parties parties = FUN !  Firmly focusing on international expansion, we have offices in France, Hong Kong, Singapore, Sydney and Mexico, meet us to continue this growth !  If you like what you just read, we’d love to have a chat with you!","Requirements✔ You have at least 1 to 2 years of hands-on experience in ReactJS and other Front-end development (Javascript, VueJS, MeteorJS, Clojurescript, AngularJS, etc) and Back end (NodeJS, Java, Python, Clojure, Databases, etc.), or mobile (Swift for IOS, Android, native or hybrid) development. ✔     You are passionate about new technologies and digital innovation. ✔     Experience in building and delivering web / mobile business solutions (e.g. in Banking, Travel, Finance, Healthcare, Information industries) and Restful API projects. ✔     Has a very good knowledge with deploying and maintaining a database (MongoDB, Postgres, Redis, Cassandra) and implementing software in at least one of these programming languages: python, javascript(node.js), java, C#, perl, ruby. Some experience with orchestration and configuration tools such as Rancher, Kubernetes, Swarm, Ansible, and Chef will be a plus. ✔     Practical knowledge and experience with Unified Modeling Language (UML) for business modeling (work flows) and object modelling. ✔     Proven/previous experience with Continuous Integration/Continuous Deployment and DevOps. ✔     Strong critical thinker with problem solving aptitude. ✔     Ability to communicate effectively in written documents and oral presentations, explaining concepts clearly to audiences at various levels of technical knowledge. ✔     General banking knowledge or Banking knowledge related to Wealth Management / Private banking is a plus. ✔     You have already worked in an Agile environment driven by Time-To-Market, you have good communication skills, are independent and able to make significant proposals. But most of all, you love CODING! Share your GitHub account!",Application Developer,"$5,000to$10,000",Monthly,Executive,https://www.mycareersfuture.sg/job/application-developer-palo-singapore-620792f8018a311dc93a90b1b136e75b
9,CLOUDSTREAM ASIA PACIFIC PTE. LTD.,"MYP CENTRE, 9 BATTERY ROAD 049910",Permanent,Information Technology,"Roles & ResponsibilitiesMinimum Qualifications  BS in Computer Science, Electrical Engineering, or a related degree MS or equivalent industry experience in Computer Science or Electrical Engineering Sustained practice (3 years of hands-on experience) developing and operating high scale, high performance, distributed applications on AWS or other cloud services in a service-oriented or microservice design Advanced knowledge (3 years of experience) of Linux/CentOS system configuration and troubleshooting (kernel features, security and policies, system service and logs management, network configuration and troubleshooting, package management) Intermediary knowledge (2 years of experience) of Java and Python development on Linux systems (build and version management, application packaging and deployment, performance and footprint optimization) Intermediary practice (2 years of hands-on experience) in managing the lifecycle of complex, distributed applications (validation and verification processes, change management, CI/CD, functional, synthetic and security testing) Knowledge and practice (1 year of hands-on experience) with operations and devops on the AWS technology stack (EC2, S3, IAM, RDS, CloudFront, CloudWatch, ECS, Lambda, CentOS) ","RequirementsPreferred Qualifications  Advanced practice of application development and full stack DevOps in an AWS-based SOA environment Hands-on experience of micro-services and container environments Knowledge of java-specific build processes, security management and configuration Prior experience or a strong interest with Big Data technologies (Hadoop, Kafka, Cassandra, Spark)- will help you be effective on the platform and interact efficiently with application developers Clarity of communication, pro-activeness and rigor will be key elements to work with a decentralized, global team ",Devops engineer,"$5,000to$7,000",Monthly,Middle Management,https://www.mycareersfuture.sg/job/devops-engineer-cloudstream-asia-pacific-bd292d8fe75150be510fd3c427e499d5
