,company,company_address,employment_type,job_category,job_description,job_requirements,job_title,salary_range,salary_type,seniority,url
0,THE SUPREME HR ADVISORY PTE. LTD.,"AZ @ PAYA LEBAR, 140 PAYA LEBAR ROAD 409015",Full Time,Information Technology,"Roles & ResponsibilitiesResponsibilities   • Project coordination with external vendors • Provide Warehouse Management System (WMS) support, track and troubleshoot WMS issues • Provide day-to-day administration of databases • Data extraction from WMS for reporting needs • Develop reports to meet business needs • Develop scripts / programs to enhance the effectiveness of applications and databases • Maintain or update the company intranet • Maintain the MHS servers • Other tasks as assigned by HOD",RequirementsDylan Then Reg No: R1878687 The Supreme HR Advisory Pte Ltd EA No: 14C7279,System Analyst [computer science /  IT /  SQL /  server],"$2,500to$3,500",Monthly,Junior Executive,https://www.mycareersfuture.sg/job/system-analyst-computer-science-sql-server-supreme-hr-advisory-a0fb9eda2e975f0dbbc8c29a0cd6d1d1
1,THE SUPREME HR ADVISORY PTE. LTD.,"AZ @ PAYA LEBAR, 140 PAYA LEBAR ROAD 409015",Full Time,Engineering,"Roles & Responsibilities Support clients’ daily operation. Conduct performance monitoring, and capacity monitoring/planning for all environments. Plan and complete system administration, and support application projects and tasks perform installation, configuration, upgrades and maintenance of environments including the related elements of applications. Liaise with 3rd party vendors. ",RequirementsDylan Then Reg No: R1878687 The Supreme HR Advisory Pte Ltd EA No: 14C7279,Network Engineer [ SQL /  NGINX /  VMWARE],"$2,000to$3,000",Monthly,Fresh/entry level,https://www.mycareersfuture.sg/job/network-engineer-sql-nginx-vmware-supreme-hr-advisory-3551d622a01667d70a4d4edc6958bc6f
2,Company Undisclosed,Unknown,"Contract, Full Time",Information Technology,"Roles & Responsibilities Total Experience of 8 to 11 years which includes on  Informatica (Power center and BDM) with hands on technical experience. Hands on Cognos and Tableau Reporting is also desired·         Minimum of 6 to 8 years of technical hands on experience in Informatica PowerCenter 9.1 or higher and Oracle 11g preferably as Database or other databases such as SQL Server/Teradata etc.·   Approx  5 years experience in Cognos Frame work Manager, Cognos Report Studio and other studios 10.1 preferably . Good to have Cognos 11 Analytics exposure.·         Hands-on knowledge on Informatica PowerCenter 9.1 or higher·         Hands-on knowledge on Unix Shell Scripting, PL/SQL Queries·         2-3 years of Informatica BDM Experience with Cloudera Big Data environment.·         Sound Technical knowledge in writing sql queries and well aware of performance tuning and optimization. Sound knowledge on uage of indexes and other optimization techniques·         Provide technical knowledge of Extract/Transform/Load (ETL) solutions for Business Intelligence projects·         Work closely with project Business Analyst, Data Modeler and Architects to ensure that the end to end designs meet the business and data requirements·         Develop the task plan for ETL developers for a specific project·         Assist in the ongoing development of technical best practices for data movement, data quality, data cleansing and other ETL and Reporting related activities.·         Participation and contribution in quality assurance walk through of ETL and reporting components·         Responsible for the design, development and deployment of List, Cross Tab, Charts, Dashboard and multi-dimensional reports using the Cognos Business Intelligence solution.·         Working with business users to design and develop Cognos BI 10.1 reports using Report Studio , Query Studio with data drill-down and slice-and-dice options·         Support development teams with performance tuning and troubleshooting issues·         Review of ETL and reporting design documents and working closely with Business/Architect team·         Should have good troubleshooting the Joins/performance issues at Cognos Framework Manager level and worked on Star and snow flake schemas designs.·         Understands the range of options and best practices for common ETL design techniques such as change data capture, key generation and optimization·         Perform root cause analysis on all processes and resolve all issues raised by business·         Be able to proactively monitor the overall system from the data load perspective and take appropriate actions to improve the overall implementation and performance·         Should have strong ability to troubleshoot performance and configuration related issues including connectivity issues due to firewalls, load balancers etc.·         Sound knowledge of SDLC, estimations and preparing POC’s as per client needs·         Good to have Telecom Domain experience·         Team handling experience of 10 to 15 resources and preferably direct responsible for their performance cycle , coaching and mentoring the Junior resources for their career growth.·         Good to have Project Management experience ",RequirementsMust have completed completed Bachelor's Degree,Software Consultant,"$6,000to$8,500",Monthly,Senior Executive,https://www.mycareersfuture.sg/job/software-consultant-8df2e0d22f14ec84418afbe29f5923e0
3,Company Undisclosed,Unknown,"Contract, Full Time",Information Technology,"Roles & Responsibilities  5 to 7 years of technical hands on experience in Informatica PowerCenter 9.1 or higher and Oracle 11g preferably as Database or other databases such as SQL Server/Teradata etc. ·Hands-on knowledge on Informatica PowerCenter 9.1 or higher·         Hands-on knowledge on Unix Shell Scripting, PL/SQL Queries·         Sound Technical knowledge in writing sql queries and well aware of performance tuning and optimization. Sound knowledge on uage of indexes and other optimization techniques Provide technical knowledge of Extract/Transform/Load (ETL) solutions for Business Intelligence projects Work closely with project Business Analyst, Data Modeler and Architects to ensure that the end to end designs meet the business and data requirements Develop the task plan for ETL developers for a specific project Assist in the ongoing development of technical best practices for data movement, data quality, data cleansing and other ETL-related activities. Participation and contribution in quality assurance walk through of ETL components Support development teams with performance tuning and troubleshooting issues Review of ETL design documents and working closely with Business/Architect team Understands the range of options and best practices for common ETL design techniques such as change data capture, key generation and optimization Perform root cause analysis on all processes and resolve all issues raised by business Be able to proactively monitor the overall system from the data load perspective and take appropriate actions to improve the overall implementation and performance Should have strong ability to troubleshoot performance and configuration related issues including connectivity issues due to firewalls, load balancers etc. Sound knowledge of SDLC, estimations and preparing POC’s as per client needs Good to have Telecom Domain experience Team handling experience of 10 to 15 resources and preferably direct responsible for their performance cycle , coaching and mentoring the Junior resources for their career growth. ",RequirementsMust have completed Bachelor's Degree.,Senior Software Consultant,"$6,500to$8,500",Monthly,Executive,https://www.mycareersfuture.sg/job/senior-software-consultant-465b209ef859c45aa6aac0edf4b97ba8
4,Company Undisclosed,Unknown,"Contract, Full Time",Information Technology,"Roles & Responsibilities  7 to 8 years of technical hands on experience in Informatica PowerCenter 9.1 or higher and Oracle 11g preferably as Database or other databases such as SQL Server/Teradata etc. ·Hands-on knowledge on Informatica PowerCenter 9.1 or higher·         Hands-on knowledge on Unix Shell Scripting, PL/SQL Queries·         Sound Technical knowledge in writing sql queries and well aware of performance tuning and optimization. Sound knowledge on uage of indexes and other optimization techniques Provide technical knowledge of Extract/Transform/Load (ETL) solutions for Business Intelligence projects Work closely with project Business Analyst, Data Modeler and Architects to ensure that the end to end designs meet the business and data requirements Develop the task plan for ETL developers for a specific project Assist in the ongoing development of technical best practices for data movement, data quality, data cleansing and other ETL-related activities. Participation and contribution in quality assurance walk through of ETL components Support development teams with performance tuning and troubleshooting issues Review of ETL design documents and working closely with Business/Architect team Understands the range of options and best practices for common ETL design techniques such as change data capture, key generation and optimization Perform root cause analysis on all processes and resolve all issues raised by business Be able to proactively monitor the overall system from the data load perspective and take appropriate actions to improve the overall implementation and performance Should have strong ability to troubleshoot performance and configuration related issues including connectivity issues due to firewalls, load balancers etc. Sound knowledge of SDLC, estimations and preparing POC’s as per client needs Good to have Telecom Domain experience Team handling experience of 10 to 15 resources and preferably direct responsible for their performance cycle , coaching and mentoring the Junior resources for their career growth. ",RequirementsMust have completed Bachelor's Degree.,Senior Software Consultant,"$5,500to$7,500",Monthly,Senior Executive,https://www.mycareersfuture.sg/job/senior-software-consultant-06f9f5f42b0982298c495aba350297a8
5,CAREER INTERNATIONAL - FOS PTE. LTD.,"NOVENA SQUARE, 238A THOMSON ROAD 307684",Full Time,Information Technology,"Roles & Responsibilities• Analyze the existing database, user requirement for new system as well as database design for new system to propose and document data migration design and data migration specification. • Discuss with key users to get the data migration specification signed off. • Coding of data migration scripts, SQL and programs. • Conduct Tests and mock runs of data migration exercise. Address all exceptions/errors properly with user agreement. • Final data migration during system rollout. • Fix any data migration issue post rollout.",Requirements Bachelor’s degree Contract for 12 months under agency payroll. Must have strong SQL skill. Pega skill is optional but preferred ,SQL Data Migration Consultant,"$5,000to$9,000",Monthly,Junior Executive,https://www.mycareersfuture.sg/job/sql-data-migration-consultant-career-international-fos-d4d310d15437860b554cbddc51c9667c
6,CAREER INTERNATIONAL - FOS PTE. LTD.,"NOVENA SQUARE, 238A THOMSON ROAD 307684",Full Time,Information Technology,"Roles & Responsibilities• Analyze the existing database, user requirement for new system as well as database design for new system to propose and document data migration design and data migration specification. • Discuss with key users to get the data migration specification signed off. • Coding of data migration scripts, SQL and programs. • Conduct Tests and mock runs of data migration exercise. Address all exceptions/errors properly with user agreement. • Final data migration during system rollout. • Fix any data migration issue post rollout.",Requirements Bachelor’s degree Contract for 12 months under agency payroll. Must have strong SQL skill. Pega skill is optional but preferred ,SQL Data Migration Consultant,"$2,000to$5,000",Monthly,Junior Executive,https://www.mycareersfuture.sg/job/sql-data-migration-consultant-career-international-fos-6d9f7f5214cdc38ae0010fbb9e2307f4
7,SCIENTE INTERNATIONAL PTE. LTD.,"THE SIGNATURE, 51 CHANGI BUSINESS PARK CENTRAL 2 486066",Contract,Information Technology,"Roles & ResponsibilitiesExciting opportunity for Database Administrator specialising in SQL Server to be part of the Infrastructure team to support the 24/7 mission critical environment.   ​Someone who wants to be a database specialist with rich hands-on experience and passionate to stay technical in today's popularity of interactive, web-based databases.","RequirementsMandatory Skill-set  Degree in Computer Science, Computer Engineering or Information Technology; Has at least 6 years of experience in database administration, operations and management in Microsoft SQL Enterprise Server; Good experience in resolving database problems with sound knowledge in software development and middleware technologies; Expert knowledge in data management technologies in Microsoft SQL; Strong experience in design, installation, configuration, patching, hardening and monitoring of databases; Strong experience in database clustering, performance tuning, security, backup and recovery for database; Good experience in setting up and maintaining mission critical databases including disaster recovery; Independent and a strong team player; Excellent spoken and written communication skills.   Desired Skill-set  Certifications in Database Administrator.  Responsibilities  Act as a Subject Matter Expert and go to person for technical changes related to database (Microsoft SQL); Responsible for database administration and operation, confidentiality, integrity and availability of data assets; Perform installation, design, implementation of high availability database environment and troubleshooting;  Handle database capacity planning, performance tuning and backup and recovery plan to ensure availability of database services;  Implement security policies to ensure integrity and accuracy of the database; Responsible to maintain up-to-date database related policy, architecture and design artefact / documentations; Ensure proper maintenance and monitoring of all database systems; Liaise with vendors on purchase, licensing and resolution of critical issues and bugs related to database.  Should you be interested in this opportunity, please send your updated resume to apply@sciente.com at the earliest. Confidentiality is assured, and only shortlisted candidates will be notified.  EA License: 07C5639",Database Administrator (SQL) (JD#4636),Salary undisclosed,Unknown,Senior Executive,https://www.mycareersfuture.sg/job/database-administrator-sciente-international-32c033f66272369c8654b112411e12a1
8,OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD,"PLAZA 8 @ CBP, 1 CHANGI BUSINESS PARK CRESCENT 486025",Full Time,Logistics / Supply Chain,"Roles & Responsibilities6 Months Contract Location: Central     We are looking for a talented Associate Instock Manager who will be responsible for supporting the team in ensuring stock availability for our customers by working with both internal and external stakeholders.   Your Responsibilities:   VENDOR MANAGEMENT · Act as first level of support for vendor queries · Monitor and improve vendor fulfilment of purchase orders · Educate vendor(s) on tools, processes and resources · Onboard new vendors and manage delivery compliance with site’s requirements   BUSINESS OPERATIONS & REPORTING · Ensure automated systems are updated and configured for optimal replenishment of stocks · Execute established processes for handling exceptions in supply chain . Support the import instock manager on procurement tasks · Update and sense check oversight reports · Perform system related housekeeping duties   Basic Qualifications · Bachelor’s degree · Familiarity with Microsoft Excel and Outlook, with ability to learn new systems quickly · Competent in communicating verbally and in writing with external stakeholders · Ability to collaborate effectively across multiple teams and stakeholders  ","RequirementsA preferred candidate will have: · Previous retail experience in inventory management, purchasing, procurement, logistics or supply chain · Intermediate level of Excel and/or knowledge of SQL · Experience/comfort in dealing with large amounts of data",Procurement Analyst (SQL & Excel & Immediate & 6 mths contract),"$3,000to$3,500",Monthly,Executive,https://www.mycareersfuture.sg/job/procurement-analyst-optimum-solutions-d8e7eed5d6593625328178a0b5d00c2b
9,WORKATO PTE. LTD.,71 AYER RAJAH CRESCENT 139951,"Permanent, Full Time","Engineering, Information Technology","Roles & ResponsibilitiesRole We are seeking a talented, self-directed Data Engineer to design, develop, implement, test, document, and operate large-scale, high-volume, high-performance data structures for our business stakeholders. Implement data structures using best practices in data modeling and ETL/ELT processes. Gather business and functional requirements and translate these requirements into robust, scalable, operable solutions that work well within the overall data architecture. Analyze source data systems and drive best practices in source teams. Participate in the full development life cycle, end-to-end, from design, implementation and testing, to documentation, delivery, support, and maintenance. Produce comprehensive, usable dataset documentation and metadata. Evaluate and make decisions around dataset implementations designed and proposed by peer data engineers. Evaluate and make decisions around the use of new or existing software products and tools. Mentor junior data engineers.  The ideal candidate relishes working with data, enjoys the challenge of highly complex technical contexts, and, above all else, is passionate about data and analytics. He/she is an expert with data modeling, ETL design and business intelligence tools and passionately partners with the business to identify strategic opportunities where improvements in data infrastructure creates outsized business impact. He/she is a self-starter, comfortable with ambiguity, able to think big (while paying careful attention to detail) and enjoys working in a fast-paced team. The ideal candidate needs to possess exceptional technical expertise in large scale data warehouse and BI systems with hands-on knowledge on SQL, Distributed/MPP data storage, and AWS services (S3, Redshift, EMR, RDS).   Responsibilities   Design, implement, and support a platform providing ad hoc access to large datasets   Interface with other technology teams to extract, transform, and load data from a wide variety of data sources using SQL   Implement data structures using best practices in data modeling, ETL/ELT processes, and SQL, and Redshift   Build robust and scalable data integration (ETL) pipelines using SQL, Python and Spark   Build and deliver high quality datasets to support business analysis and customer reporting needs   Interface with business customers, gathering requirements and delivering complete data structures  ","Requirements  Bachelor's degree in Computer Science, Computer Engineering, Business Administration, Mathematics or a related field   3+ years of industry experience as a Data Engineer or related specialty (e.g., Business Intelligence Engineer, Data Scientist)   Experience in data modeling, ETL development, and Data warehousing.   Data Warehousing Experience with Oracle, Redshift, Teradata, etc.   Experience providing technical leadership and mentor other engineers for the best practices on the data engineering space   Experience in continually improve ongoing reporting and analysis processes, automating or simplifying self-service support for customers   Experience building data products incrementally and integrating and managing datasets from multiple sources   Experience building/operating highly available, distributed systems of data extraction, ingestion, and processing of large data sets     Bonus Points   Experience leveraging Python, R or Matlab to manipulate data and set up automated processes as per business requirements   Experience with Big Data Technologies (Hadoop, Hive, Hbase, Pig, Spark, etc.)   Experience leading large-scale data warehousing and analytics projects, including using AWS technologies – Redshift, S3, EC2, Data-pipeline and other big data technologies   Strong ability to interact, communicate, present and influence within multiple levels of the organization   Track record of manipulating, processing, and extracting value from large datasets   Excellent communication skills to be able to work with business owners to develop and define key business questions and to build data sets that answer those questions   Master's degree  ",Data Engineer,"$2,000to$10,000",Monthly,Executive,https://www.mycareersfuture.sg/job/data-engineer-workato-ee0013cd49ea74c314c0cb339fdc5047
